timestamp_ms,green,red,yellow
1485174277486,1,0,0
1485174280540,0,0,1
1485174283549,0,0,1
1485174286556,0,0,1
1485174289616,0,0,1
1485174292622,0,0,1
1485174295628,0,0,1
1485174298635,0,0,1
1485174301642,0,0,1
1485174304653,0,0,1
1485174307661,0,0,1
1485174310670,0,0,1
1485174313718,0,0,1
1485174316739,0,0,1
1485174319776,0,0,1
1485174322802,0,0,1
1485174325816,0,0,1
1485174328837,0,0,1
1485174331867,0,0,1
1485174334878,0,0,1
1485174337892,0,0,1
1485174340910,0,0,1
1485174343937,0,0,1
1485174346964,0,0,1
1485174350020,0,0,1
1485174353033,0,0,1
1485174356144,0,0,1
1485174359211,0,0,1
1485174362233,0,0,1
1485174365284,0,0,1
1485174368552,0,0,1
1485174371588,0,0,1
1485174374651,0,0,1
1485174377665,0,0,1
1485174380715,0,0,1
1485174383767,0,0,1
1485174386931,1,0,0
1485174389945,0,1,0
1485174392962,1,0,0
1485174395984,1,0,0
1485174399024,1,0,0
1485174402183,1,0,0
1485174405284,1,0,0
1485174408326,1,0,0
1485174411559,1,0,0
1485174414599,1,0,0
1485174417676,1,0,0
1485174421112,1,0,0
1485174424193,1,0,0
1485174427304,1,0,0
1485174430471,1,0,0
1485174433583,1,0,0
1485174436599,1,0,0
1485174439629,1,0,0
1485174442675,1,0,0
1485174445735,1,0,0
1485174448747,1,0,0
1485174451896,1,0,0
1485174455014,1,0,0
1485174458123,1,0,0
1485174461219,1,0,0
1485174464677,1,0,0
1485174468425,1,0,0
1485174471450,1,0,0
1485174474652,1,0,0
1485174477671,1,0,0
1485174480683,1,0,0
1485174483713,1,0,0
1485174486727,1,0,0
1485174489806,1,0,0
1485174492825,1,0,0
1485174496120,1,0,0
1485174499222,1,0,0
1485174502370,1,0,0
1485174505466,1,0,0
1485174508509,1,0,0
1485174511524,1,0,0
1485174514539,1,0,0
1485174517555,1,0,0
1485174520574,1,0,0
1485174523622,1,0,0
1485174527123,1,0,0
1485174530312,1,0,0
1485174533333,1,0,0
1485174536511,1,0,0
1485174539757,1,0,0
1485174543076,1,0,0
1485174546218,1,0,0
1485174549488,1,0,0
1485174553100,1,0,0
1485174556121,1,0,0
1485174559369,1,0,0
1485174562389,1,0,0
1485174565734,1,0,0
1485174568761,1,0,0
1485174572019,1,0,0
1485174575138,1,0,0
1485174578380,1,0,0
1485174581502,1,0,0
1485174584516,1,0,0
1485174587691,1,0,0
1485174590951,1,0,0
1485174594094,1,0,0
1485174597162,1,0,0
1485174600231,1,0,0
1485174603246,1,0,0
1485174606333,1,0,0
1485174609562,1,0,0
1485174613115,1,0,0
1485174616603,1,0,0
1485174619961,1,0,0
1485174623470,1,0,0
1485174626862,1,0,0
1485174630110,1,0,0
1485174633186,1,0,0
1485174636212,1,0,0
1485174641475,1,0,0
1485174644944,1,0,0
1485174647976,1,0,0
1485174651219,1,0,0
1485174654309,1,0,0
1485174657324,1,0,0
1485174660354,1,0,0
