timestamp_ms,CPU_000,CPU_001,CPU_002,CPU_003,CPU_004,CPU_005,CPU_006,CPU_007
1424904532915.44,2.66452624198123,0,0,0,0,0,0,0
1424904536494.3,0.279418577419718,0,0,0,0,0,0,0
1424904539496.22,5.32992232184741,0,0,0,0,0,0,0
1424904542498.77,0.999150705637989,0,0,0,0,0,0,0
1424904545501.49,3.99637665752429,0,0,0,0,0,0,0
1424904548503.95,1.66530114141432,0,0,0,0,0,0,0
1424904551507.05,6.99277390600111,0,0,0,0,0,0,0
1424904554510.21,0.998947804245577,0,0,0,0,0,0,0
1424904557514.29,3.99456728446793,0,0,0,0,0,0,0
1424904560517.78,1.33178402891493,0,0,0,0,0,0,0
1424904563523.43,2.66165397166242,0,0,0,0,0,0,0
1424904566530.44,0.997668777375912,0,0,0,0,0,0,0
1424904569533.69,3.66269874302839,0,0,0,0,0,0,0
1424904572537.37,2.66339940733511,0,0,0,0,0,0,0
1424904575540.38,2.33099475070909,0,0,0,0,0,0,0
1424904578543.04,7.32683649003943,0,0,0,0,0,0,0
1424904581546.99,1.99737016179625,0,0,0,0,0,0,0
1424904584550.06,21.3115240547698,0,0,0,0,0,0,0
1424904587552.57,15.6535697956487,0,0,0,0,0,0,0
1424904590555.04,1.33223647164846,0,0,0,0,0,0,0
1424904593558.87,6.65816623438436,0,0,0,0,0,0,0
