timestamp_ms,IRQ_000_IR-IO-APIC-edge_timer,IRQ_001_IR-IO-APIC-edge_i8042,IRQ_008_IR-IO-APIC-edge_rtc0,IRQ_009_IR-IO-APIC-fasteoi_acpi,IRQ_012_IR-IO-APIC-edge_i8042,IRQ_016_IR-IO-APIC-fasteoi_ehci_hcd:usb1_mmc0,IRQ_018_IR-IO-APIC-fasteoi_i801_smbus,IRQ_019_IR-IO-APIC-fasteoi_firewire_ohci,IRQ_023_IR-IO-APIC-fasteoi_ehci_hcd:usb2,IRQ_040_DMAR_MSI-edge_dmar0,IRQ_041_DMAR_MSI-edge_dmar1,IRQ_042_IR-PCI-MSI-edge_ahci,IRQ_043_IR-PCI-MSI-edge_xhci_hcd,IRQ_044_IR-PCI-MSI-edge_i915,IRQ_045_IR-PCI-MSI-edge_mei_me,IRQ_046_IR-PCI-MSI-edge_snd_hda_intel,IRQ_047_IR-PCI-MSI-edge_iwlwifi,IRQ_048_IR-PCI-MSI-edge_em1,IRQ_CAL_Function_call_interrupts,IRQ_ERR,IRQ_IWI_IRQ_work_interrupts,IRQ_LOC_Local_timer_interrupts,IRQ_MCE_Machine_check_exceptions,IRQ_MCP_Machine_check_polls,IRQ_MIS,IRQ_NMI_Non-maskable_interrupts,IRQ_PMI_Performance_monitoring_interrupts,IRQ_RES_Rescheduling_interrupts,IRQ_RTR_APIC_ICR_read_retries,IRQ_SPU_Spurious_interrupts,IRQ_THR_Hypervisor_callback_interrupts,IRQ_THR_Threshold_APIC_interrupts,IRQ_TLB_TLB_shootdowns,IRQ_TRM_Thermal_event_interrupts
1424904532915.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.638841145756,0,0,403.009594099662,0,0,0,15.6540916716398,15.6540916716398,28.9767228815459,0,0,0,0,3.99678936297185,0
1424904536494.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0609218452732,0,0,0,8.66197590001126,8.66197590001126,0.838255732259154,0,0,0,0,0,0
1424904539496.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99936043534639,0,0,0,0,0,0.99936043534639,0,0,0,0,0,0
1424904542498.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333050235212663,0,0,1.66525117606332,0,0,0,0,0,0,0,0,0,0,0,0
1424904545501.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999094164381073,0,0,0,0.333031388127024,0.333031388127024,0,0,0,0,0,0,0
1424904548503.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66448182626291,0,0,0,0,0,0,0,0,0,0,0.333060228282863,0
1424904551507.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6649461680955,0,0,0,0,0,0,0,0,0,0,0,0
1424904554510.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3287738183975,0,0,0,8.32456503537981,8.32456503537981,0.332982601415192,0,0,0,0,0,0
1424904557514.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332880607038995,0,0,2.66304485631196,0,0,0,0,0,0,0,0,0,0,0,0
1424904560517.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332946007228733,0,0,7.65775816626085,0,0,0,0.332946007228733,0.332946007228733,2.99651406505859,0,0,0,0,0,0
1424904563523.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99248095749363,0,0,0,0,0,1.33082698583121,0,0,0,0,0,0
1424904566530.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332556259125304,0,0,9.64413151463381,0,0,0,0.332556259125304,0.332556259125304,3.32556259125304,0,0,0,0,0.332556259125304,0
1424904569533.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332972613002581,0,0,6.32647964704903,0,0,0,0.665945226005161,0.665945226005161,2.66378090402064,0,0,0,0,0,0
