timestamp_ms,total
1485174344113,0
1485174347294,0
1485174350355,8
1485174353377,14
1485174356394,24
1485174359463,24
1485174362487,32
1485174365510,44
1485174368731,54
1485174371882,60
1485174374914,64
1485174377979,76
1485174381289,88
1485174384302,104
1485174387324,114
1485174390400,130
1485174393649,157
1485174396667,157
1485174399716,159
1485174402762,176
1485174405789,183
1485174408806,185
1485174412456,193
1485174415947,201
1485174419090,207
1485174422342,213
1485174425418,217
1485174429186,230
1485174432390,242
1485174435569,251
1485174438697,255
1485174441751,266
1485174444857,272
1485174448401,278
1485174451504,282
1485174454662,289
1485174457844,294
1485174460859,302
1485174463889,306
1485174468474,315
1485174471559,326
1485174474578,330
1485174477601,338
1485174480641,340
1485174483691,346
1485174486733,350
1485174489762,356
1485174492815,360
1485174495843,368
1485174499186,374
1485174502302,383
1485174505436,389
1485174508452,395
1485174511636,401
1485174514665,407
1485174517676,417
1485174520691,421
1485174523716,425
1485174526980,433
1485174530133,437
1485174533340,441
1485174536355,445
1485174539697,451
1485174542769,453
1485174546007,459
1485174549075,463
1485174552813,467
1485174556168,471
1485174559298,475
1485174562313,479
1485174565536,483
1485174568871,489
1485174571890,494
1485174574977,497
1485174578094,504
1485174581448,508
1485174584473,512
1485174587493,519
1485174590716,525
1485174594007,532
1485174598583,541
1485174601975,548
1485174605387,554
1485174608408,560
1485174611664,564
1485174614702,568
1485174617730,576
1485174620756,580
1485174623792,584
1485174626812,589
1485174629987,594
1485174633047,598
1485174636206,602
1485174639362,608
1485174642685,613
1485174645703,621
1485174648723,626
1485174651854,629
1485174655264,634
1485174658739,640
1485174661839,648
1485174664934,598
1485174668024,606
1485174671213,612
1485174674483,617
1485174679868,627
1485174682977,633
1485174686185,641
1485174689615,647
1485174692781,651
1485174695867,655
1485174699156,661
1485174702180,669
1485174705205,673
1485174708696,677
1485174713765,685
1485174716973,691
1485174720305,697
1485174723481,701
1485174726556,705
1485174729684,711
1485174733091,719
1485174736257,725
1485174739529,734
1485174742960,742
1485174746101,749
1485174749166,755
1485174752294,766
1485174756089,772
1485174759117,776
1485174762265,783
1485174765970,793
1485174769143,797
1485174772679,762
1485174776577,775
1485174780349,782
1485174783621,795
1485174787119,803
1485174790553,816
1485174793812,821
1485174798084,833
1485174801669,844
1485174805032,855
1485174808235,862
1485174811463,873
1485174814822,885
1485174818025,894
1485174822001,904
1485174825027,914
1485174828190,923
1485174831274,934
1485174834511,939
1485174837675,945
1485174840952,953
1485174844198,960
1485174848502,968
1485174851918,974
1485174854937,984
1485174858676,992
1485174861883,1000
1485174864921,1008
1485174868171,1018
1485174872793,1026
1485174875915,1028
1485174879373,1036
1485174883230,1042
1485174886559,1051
1485174890032,1055
1485174894715,1060
1485174897796,1066
1485174900831,1071
1485174905152,1076
1485174908186,1081
1485174911777,1081
1485174915608,1085
1485174918950,1089
1485174922375,1093
1485174925966,1097
1485174929486,1102
1485174936101,1111
1485174939141,1115
1485174942357,1116
1485174945719,1120
1485174948954,1124
1485174952127,1126
1485174955150,1130
1485174958835,1133
1485174962401,1139
1485174965546,1141
1485174969098,1147
1485174972479,1151
1485174976076,1153
1485174980815,1162
1485174983862,1164
1485174986886,1168
1485174990093,1170
1485174993705,1174
1485174996869,1180
1485175000793,1185
1485175004292,1191
1485175007330,1195
1485175011334,1199
1485175014942,1202
1485175018113,1208
1485175021777,1213
1485175026123,1218
1485175029405,1223
1485175033125,1229
1485175036909,1234
1485175039942,1236
1485175043740,1242
1485175047957,1244
1485175051368,1249
1485175054942,1254
1485175058922,1256
1485175062185,1260
1485175065525,1262
1485175069446,1266
1485175072458,1270
1485175075933,1274
1485175079392,1278
1485175082735,1280
1485175086931,1284
1485175090516,1288
1485175093598,1293
1485175097404,1295
1485175100635,1301
1485175103768,1303
1485175107454,1309
1485175114023,1315
1485175117850,1319
1485175122404,1327
1485175125421,1331
1485175128963,1335
1485175132574,1339
1485175135602,1343
1485175139506,1347
1485175144082,1349
1485175147101,1353
1485175150407,1357
1485175154320,1359
1485175157477,1363
1485175160958,1367
1485175164721,1371
1485175167751,1373
1485175171234,1377
1485175175114,1381
1485175178131,1385
1485175181497,1387
1485175185711,1390
1485175189309,1394
1485175193110,1401
1485175196857,1403
1485175200132,1408
1485175204150,1293
1485175207703,1297
1485175210726,1299
1485175214042,1301
1485175217258,1306
1485175220773,1202
1485175224600,1206
1485175228162,1206
1485175231574,1210
1485175235444,1214
1485175238952,1216
1485175242485,1220
1485175246122,1225
1485175249697,1229
1485175253129,1233
1485175256807,1238
1485175260296,1242
1485175264616,1248
1485175268119,1253
1485175271138,1257
1485175274721,1261
1485175278955,1265
1485175282096,1269
1485175286175,1274
1485175290088,1278
1485175293157,1284
1485175296721,1290
1485175300788,1298
1485175303817,1304
1485175307430,1308
1485175310690,1312
1485175314030,1317
