timestamp_ms,heap_used_percent
1485174277484,5
1485174280537,7
1485174283548,7
1485174286555,8
1485174289564,6
1485174292621,5
1485174295627,12
1485174298634,13
1485174301640,13
1485174304649,14
1485174307659,13
1485174310666,14
1485174313717,19
1485174316736,10
1485174319772,7
1485174322800,13
1485174325813,11
1485174328834,13
1485174331855,18
1485174334875,6
1485174337890,6
1485174340901,7
1485174343920,10
1485174346947,12
1485174349973,9
1485174353028,14
1485174356048,15
1485174359155,16
1485174362226,17
1485174365249,15
1485174368303,7
1485174371585,8
1485174374607,8
1485174377663,13
1485174380681,16
1485174383723,12
1485174386776,18
1485174389939,10
1485174392953,6
1485174395969,6
1485174398994,9
1485174402038,13
1485174405233,12
1485174408304,13
1485174412851,11
1485174415962,14
1485174419274,18
1485174422217,15
1485174425400,16
1485174429133,8
1485174432062,15
1485174435575,13
1485174438045,17
1485174441361,17
1485174445371,15
1485174448218,9
1485174450509,12
1485174454664,14
1485174457412,12
1485174460862,16
1485174464016,16
1485174467689,16
1485174470746,16
1485174474453,15
1485174477603,17
1485174480632,12
1485174483711,9
1485174486725,11
1485174489741,16
1485174492011,14
1485174495861,16
1485174499221,12
1485174502233,11
1485174505439,15
1485174508473,18
1485174511521,19
1485174514537,12
1485174517267,12
1485174520361,12
1485174523582,18
1485174527003,21
1485174530131,16
1485174533328,13
1485174536340,16
1485174539735,18
1485174542764,17
1485174546011,19
1485174549227,19
1485174552697,14
1485174556116,14
1485174559135,16
1485174562378,13
1485174565400,16
1485174568744,17
1485174571772,17
1485174574924,17
1485174578117,15
1485174581389,11
1485174584477,15
1485174587528,17
1485174590727,17
1485174593961,19
1485174598843,15
1485174601867,15
1485174605394,17
1485174608413,20
1485174611677,13
1485174614708,18
1485174617740,10
1485174620764,13
1485174622972,14
1485174626480,18
1485174629869,21
1485174633086,18
1485174636198,11
1485174639280,14
1485174642690,18
1485174645707,19
1485174647956,20
1485174652189,19
1485174655328,16
1485174658827,16
1485174661846,14
1485174664940,16
