timestamp_ms,active,completed,largest,queue,rejected,threads
1485174344113,0,0,0,0,0,0
1485174347294,0,0,0,0,0,0
1485174350355,0,0,0,0,0,0
1485174353377,0,1,1,0,0,1
1485174356394,0,1,1,0,0,1
1485174359463,0,1,1,0,0,1
1485174362487,0,2,1,0,0,1
1485174365510,0,2,1,0,0,1
1485174368731,0,4,1,0,0,1
1485174371882,0,5,1,0,0,1
1485174374914,0,5,1,0,0,1
1485174377979,0,8,1,0,0,1
1485174381289,0,10,1,0,0,1
1485174384302,0,11,1,0,0,1
1485174387324,0,12,1,0,0,1
1485174390400,0,13,1,0,0,1
1485174393649,0,13,1,0,0,1
1485174396667,0,13,1,0,0,1
1485174399716,0,14,1,0,0,1
1485174402762,0,15,1,0,0,1
1485174405789,0,15,1,0,0,1
1485174408806,0,16,1,0,0,1
1485174412456,0,16,1,0,0,1
1485174415947,0,18,1,0,0,1
1485174419090,0,20,1,0,0,1
1485174422342,0,22,1,0,0,1
1485174425418,0,24,1,0,0,1
1485174429186,0,26,1,0,0,1
1485174432390,0,29,1,0,0,1
1485174435569,0,31,1,0,0,1
1485174438697,0,34,1,0,0,1
1485174441751,0,36,1,0,0,1
1485174444857,0,39,2,0,0,2
1485174448401,0,40,2,0,0,2
1485174451504,0,42,2,0,0,2
1485174454662,0,45,2,0,0,2
1485174457844,0,47,2,0,0,2
1485174460859,0,52,2,0,0,2
1485174463889,0,53,2,0,0,2
1485174468474,0,55,2,0,0,2
1485174471559,0,56,2,0,0,2
1485174474578,0,59,2,0,0,2
1485174477601,0,62,2,0,0,2
1485174480641,0,64,2,0,0,2
1485174483691,0,66,2,0,0,2
1485174486733,0,69,2,0,0,2
1485174489762,0,72,2,0,0,2
1485174492815,0,72,2,0,0,2
1485174495843,0,74,2,0,0,2
1485174499186,0,76,2,0,0,2
1485174502302,0,78,2,0,0,2
1485174505436,0,81,2,0,0,2
1485174508452,0,83,2,0,0,2
1485174511636,0,83,2,0,0,2
1485174514665,0,86,2,0,0,2
1485174517676,0,88,2,0,0,2
1485174520691,0,89,2,0,0,2
1485174523716,0,91,2,0,0,2
1485174526980,0,93,2,0,0,2
1485174530133,0,97,2,0,0,2
1485174533340,0,100,2,0,0,2
1485174536355,0,101,2,0,0,2
1485174539697,0,102,2,0,0,2
1485174542769,0,105,2,0,0,2
1485174546007,0,108,2,0,0,2
1485174549075,0,111,2,0,0,2
1485174552813,0,112,2,0,0,2
1485174556168,0,115,2,0,0,2
1485174559298,0,116,2,0,0,2
1485174562313,0,119,2,0,0,2
1485174565536,0,121,2,0,0,2
1485174568871,0,123,2,0,0,2
1485174571890,0,126,2,0,0,2
1485174574977,0,128,2,0,0,2
1485174578094,0,131,2,0,0,2
1485174581448,0,133,2,0,0,2
1485174584473,0,134,2,0,0,2
1485174587493,0,135,2,0,0,2
1485174590716,0,139,2,0,0,2
1485174594007,0,140,2,0,0,2
1485174598583,0,144,2,0,0,2
1485174601975,0,147,2,0,0,2
1485174605387,0,149,2,0,0,2
1485174608408,0,152,2,0,0,2
1485174611664,0,155,2,0,0,2
1485174614702,0,157,2,0,0,2
1485174617730,0,158,2,0,0,2
1485174620756,0,160,2,0,0,2
1485174623792,0,163,2,0,0,2
1485174626812,0,165,2,0,0,2
1485174629987,0,166,2,0,0,2
1485174633047,0,167,2,0,0,2
1485174636206,0,168,2,0,0,2
1485174639362,0,169,2,0,0,2
1485174642685,0,171,2,0,0,2
1485174645703,0,173,2,0,0,2
1485174648723,0,176,2,0,0,2
1485174651854,0,177,2,0,0,2
1485174655264,0,179,2,0,0,2
1485174658739,0,181,2,0,0,2
1485174661839,0,182,2,0,0,2
1485174664934,0,183,2,0,0,2
1485174668024,0,184,2,0,0,2
1485174671213,0,185,2,0,0,2
1485174674483,1,188,2,0,0,2
1485174679868,0,191,2,0,0,2
1485174682977,0,194,2,0,0,2
