timestamp_ms,total_auto_throttle_in_bytes,total_size_in_bytes
1485174277722,0,0
1485174280768,104857600,0
1485174283784,104857600,0
1485174286793,104857600,0
1485174289808,104857600,0
1485174292817,104857600,0
1485174295826,104857600,0
1485174298836,104857600,0
1485174301843,104857600,0
1485174304868,209715200,0
1485174307890,209715200,0
1485174310899,209715200,0
1485174313909,209715200,0
1485174316928,209715200,0
1485174319940,209715200,0
1485174322963,209715200,0
1485174325974,209715200,13825351
1485174328984,209715200,13825351
1485174332012,209715200,13825351
1485174335058,209715200,29145955
1485174338074,209715200,29145955
1485174341087,209715200,29145955
1485174344109,209715200,29145955
1485174347289,209715200,29145955
1485174350352,209715200,29145955
1485174353375,209715200,29145955
1485174356391,209715200,36395572
1485174359458,209715200,46032098
1485174362486,209715200,46032098
1485174365508,209715200,53152981
1485174368729,209715200,53152981
1485174371879,209715200,69466513
1485174374912,209715200,69466513
1485174377950,209715200,69466513
1485174381201,209715200,76414057
1485174384300,209715200,107651795
1485174387318,209715200,107651795
1485174390349,272629760,107651795
1485174393648,314572800,119382094
1485174396665,314572800,119382094
1485174399714,314572800,119382094
1485174402762,314572800,119382094
1485174405778,314572800,119382094
1485174408805,314572800,119382094
1485174412456,314572800,119382094
1485174415945,314572800,119382094
1485174419082,314572800,119382094
1485174422333,314572800,132614465
1485174425398,314572800,132614465
1485174429130,314572800,132614465
1485174432387,314572800,132614465
1485174435567,314572800,132614465
1485174438586,314572800,132614465
1485174441748,314572800,132614465
1485174444853,314572800,132614465
1485174448398,314572800,132614465
1485174451504,314572800,132614465
1485174454660,314572800,132614465
1485174457679,314572800,132614465
1485174460858,314572800,146767664
1485174463887,314572800,159319972
1485174468491,314572800,159319972
1485174471546,314572800,171047101
1485174474576,314572800,171047101
1485174477598,314572800,182859466
1485174480615,314572800,182859466
1485174483688,314572800,182859466
1485174486731,314572800,195947536
1485174489761,314572800,195947536
1485174492814,314572800,195947536
1485174495842,314572800,213964388
1485174499167,314572800,213964388
1485174502252,314572800,213964388
1485174505434,314572800,213964388
1485174508451,314572800,230824602
1485174511634,314572800,230824602
1485174514650,314572800,230824602
1485174517673,314572800,230824602
1485174520689,314572800,230824602
1485174523714,314572800,230824602
1485174526976,314572800,230824602
1485174530128,314572800,230824602
1485174533337,314572800,230824602
1485174536354,314572800,230824602
1485174539693,314572800,230824602
1485174542762,314572800,230824602
1485174546004,314572800,238897319
1485174549071,314572800,238897319
1485174552695,314572800,254303184
1485174556165,314572800,254303184
1485174559183,314572800,254303184
1485174562311,314572800,254303184
1485174565421,314572800,263044855
1485174568869,314572800,263044855
1485174571888,314572800,273087602
1485174574918,314572800,273087602
1485174578089,314572800,273087602
1485174581442,314572800,291916528
1485174584471,314572800,291916528
1485174587491,314572800,291916528
1485174590715,314572800,291916528
1485174594006,314572800,291916528
1485174598576,314572800,291916528
1485174601851,314572800,291916528
1485174605383,314572800,291916528
1485174608406,314572800,291916528
1485174611662,314572800,291916528
1485174614698,314572800,291916528
1485174617727,314572800,291916528
1485174620754,314572800,302872149
1485174623790,314572800,302872149
1485174626809,314572800,302872149
1485174629889,314572800,302872149
1485174633045,314572800,302872149
1485174636204,314572800,314260111
1485174639278,314572800,325061968
1485174642683,314572800,325061968
1485174645701,314572800,325061968
1485174648720,314572800,325061968
1485174651853,314572800,325061968
1485174655263,314572800,325061968
1485174658738,314572800,325061968
1485174661838,314572800,325061968
1485174664932,314572800,325061968
1485174668022,314572800,325061968
1485174671081,314572800,325061968
1485174674479,314572800,325061968
1485174679862,314572800,325061968
1485174682900,314572800,325061968
1485174686191,314572800,325061968
1485174689597,314572800,325061968
1485174692778,314572800,325061968
1485174695866,314572800,325061968
1485174699155,314572800,325061968
1485174702176,314572800,325061968
1485174705202,314572800,337666255
1485174708694,314572800,337666255
1485174713681,314572800,337666255
1485174716914,314572800,349463410
1485174720304,314572800,349463410
1485174723478,314572800,349463410
1485174726554,314572800,349463410
1485174729679,314572800,362406583
1485174733087,314572800,362406583
1485174736250,314572800,362406583
1485174739426,314572800,362406583
1485174742959,314572800,362406583
1485174746037,314572800,362406583
1485174749165,314572800,362406583
1485174752226,314572800,362406583
1485174756088,314572800,362406583
1485174759115,314572800,375292586
1485174762259,314572800,389215671
1485174765956,314572800,389215671
1485174769080,314572800,389215671
1485174772687,314572800,389215671
1485174776564,314572800,389215671
1485174780348,314572800,389215671
1485174783626,314572800,389215671
1485174787115,314572800,389215671
1485174790551,314572800,389215671
1485174793698,314572800,389215671
1485174798049,314572800,403732891
1485174801669,314572800,403732891
1485174804960,314572800,403732891
1485174808148,314572800,403732891
1485174811460,314572800,403732891
1485174814805,314572800,403732891
1485174818014,314572800,403732891
1485174821888,314572800,403732891
1485174825014,314572800,403732891
1485174828099,314572800,403732891
1485174831272,314572800,403732891
1485174834472,314572800,430537117
1485174837635,314572800,430537117
1485174840950,314572800,430537117
1485174843970,314572800,430537117
1485174848278,314572800,430537117
1485174851839,314572800,430537117
1485174854936,314572800,430537117
1485174858674,314572800,430537117
1485174861871,314572800,430537117
1485174864920,314572800,430537117
1485174868159,314572800,430537117
1485174872792,314572800,446924130
1485174875914,314572800,446924130
1485174879371,314572800,446924130
1485174883217,314572800,446924130
1485174886542,314572800,446924130
1485174890023,314572800,446924130
1485174894711,314572800,446924130
1485174897794,314572800,462803096
1485174900828,314572800,479126086
1485174904663,314572800,495365381
1485174908169,314572800,495365381
1485174911763,314572800,495365381
1485174915603,314572800,495365381
1485174918944,314572800,495365381
1485174922373,314572800,495365381
1485174925965,314572800,495365381
1485174929385,314572800,495365381
1485174936095,314572800,495365381
1485174939139,314572800,495365381
1485174942356,314572800,508803738
1485174945671,314572800,508803738
1485174948952,314572800,522186665
1485174952124,314572800,522186665
1485174955148,314572800,522186665
1485174958790,314572800,522186665
1485174962399,314572800,522186665
1485174965545,314572800,522186665
1485174969096,314572800,522186665
1485174972478,314572800,522186665
1485174976074,314572800,522186665
1485174980812,314572800,522186665
1485174983860,314572800,522186665
1485174986884,314572800,522186665
1485174990090,314572800,522186665
1485174993704,314572800,522186665
1485174996842,314572800,522186665
1485175000791,314572800,522186665
1485175004284,314572800,522186665
1485175007328,314572800,522186665
1485175010822,314572800,522186665
1485175014934,314572800,522186665
1485175018107,314572800,522186665
1485175021750,314572800,522186665
1485175026123,314572800,522186665
1485175029232,314572800,522186665
1485175033074,314572800,522186665
1485175036845,314572800,540304555
1485175039930,314572800,555627103
1485175043737,314572800,555627103
1485175047951,314572800,555627103
1485175051366,314572800,555627103
1485175054940,314572800,555627103
1485175058920,314572800,555627103
1485175062181,314572800,555627103
1485175065477,314572800,555627103
1485175069435,314572800,555627103
1485175072457,314572800,555627103
1485175075933,314572800,555627103
1485175079390,314572800,555627103
1485175082728,314572800,555627103
