timestamp_ms,count,deleted
1485174344113,0,0
1485174347294,0,0
1485174350355,297,0
1485174353377,374,0
1485174356394,738,0
1485174359463,738,0
1485174362487,1344,0
1485174365510,1407,0
1485174368731,1537,0
1485174371882,1944,0
1485174374914,2338,0
1485174377979,2433,0
1485174381289,2587,0
1485174384302,3554,0
1485174387324,3698,0
1485174390400,3854,0
1485174393649,4006,0
1485174396667,4006,0
1485174399716,4035,0
1485174402762,4211,0
1485174405789,4250,0
1485174408806,4258,0
1485174412456,4321,0
1485174415947,4392,0
1485174419090,4446,0
1485174422342,4536,0
1485174425418,4580,0
1485174429186,4720,0
1485174432390,4793,0
1485174435569,4889,0
1485174438697,4955,0
1485174441751,5064,0
1485174444857,5146,0
1485174448401,5288,0
1485174451504,5375,0
1485174454662,5459,0
1485174457844,5525,0
1485174460859,5638,0
1485174463889,5690,0
1485174468474,5829,0
1485174471559,6013,0
1485174474578,6102,0
1485174477601,6261,0
1485174480641,6296,0
1485174483691,6418,0
1485174486733,6481,0
1485174489762,6598,0
1485174492815,6658,0
1485174495843,6840,0
1485174499186,6939,0
1485174502302,7074,0
1485174505436,7162,0
1485174508452,7274,0
1485174511636,7365,0
1485174514665,7460,0
1485174517676,7598,0
1485174520691,7671,0
1485174523716,7744,0
1485174526980,7889,0
1485174530133,7978,0
1485174533340,8062,0
1485174536355,8163,0
1485174539697,8287,0
1485174542769,8323,0
1485174546007,8478,0
1485174549075,8583,0
1485174552813,8680,0
1485174556168,8756,0
1485174559298,8858,0
1485174562313,8928,0
1485174565536,9009,0
1485174568871,9128,0
1485174571890,9226,0
1485174574977,9262,0
1485174578094,9371,0
1485174581448,9436,0
1485174584473,9504,0
1485174587493,9620,0
1485174590716,9730,0
1485174594007,9859,0
1485174598583,10031,0
1485174601975,10119,0
1485174605387,10234,0
1485174608408,10320,0
1485174611664,10378,0
1485174614702,10466,0
1485174617730,10626,0
1485174620756,10689,0
1485174623792,10762,0
1485174626812,10850,0
1485174629987,10961,0
1485174633047,11048,0
1485174636206,11131,0
1485174639362,11214,0
1485174642685,11301,0
1485174645703,11417,0
1485174648723,11505,0
1485174651854,11527,0
1485174655264,11611,0
1485174658739,11688,0
1485174661839,11817,0
1485174664934,11038,0
