timestamp_ms,available_in_bytes,free_in_bytes,total_in_bytes
1485174343923,155766038528,165455716352,190287155200
1485174346962,155759022080,165448699904,190287155200
1485174349974,155747393536,165437071360,190287155200
1485174353030,155727912960,165417590784,190287155200
1485174356044,155713695744,165403373568,190287155200
1485174359190,155705425920,165395103744,190287155200
1485174362226,155693993984,165383671808,190287155200
1485174365248,155667537920,165357215744,190287155200
1485174368308,155649523712,165339201536,190287155200
1485174371583,155643289600,165332967424,190287155200
1485174374605,155623292928,165312970752,190287155200
1485174377660,155598737408,165288415232,190287155200
1485174380684,155575185408,165264863232,190287155200
1485174383731,155572760576,165262438400,190287155200
1485174386867,155557519360,165247197184,190287155200
1485174389940,155543457792,165233135616,190287155200
1485174392950,155525394432,165215072256,190287155200
1485174395972,155537203200,165226881024,190287155200
1485174398992,155530543104,165220220928,190287155200
1485174402041,155515170816,165204848640,190287155200
1485174405250,155497578496,165187256320,190287155200
1485174408300,155483832320,165173510144,190287155200
1485174412607,155468660736,165158338560,190287155200
1485174416072,155457003520,165146681344,190287155200
1485174419099,155444305920,165133983744,190287155200
1485174422387,155429720064,165119397888,190287155200
1485174425421,155418853376,165108531200,190287155200
1485174429192,155417862144,165107539968,190287155200
1485174432073,155431333888,165121011712,190287155200
1485174435575,155430477824,165120155648,190287155200
1485174438057,155418116096,165107793920,190287155200
1485174441359,155399835648,165089513472,190287155200
1485174444890,155374858240,165064536064,190287155200
1485174448274,155359080448,165048758272,190287155200
1485174451563,155338592256,165028270080,190287155200
1485174454249,155323568128,165013245952,190287155200
1485174457217,155309281280,164998959104,190287155200
1485174460880,155304153088,164993830912,190287155200
1485174464640,155300122624,164989800448,190287155200
1485174467687,155283435520,164973113344,190287155200
1485174470745,155279286272,164968964096,190287155200
1485174474498,155286802432,164976480256,190287155200
1485174477604,155279777792,164969455616,190287155200
1485174480676,155276181504,164965859328,190287155200
1485174483700,155265617920,164955295744,190287155200
1485174485745,155255521280,164945199104,190287155200
1485174489740,155249725440,164939403264,190287155200
1485174491999,155252813824,164942491648,190287155200
1485174495858,155234045952,164923723776,190287155200
1485174499180,155238645760,164928323584,190287155200
1485174502275,155224788992,164914466816,190287155200
1485174505440,155211698176,164901376000,190287155200
1485174508475,155200643072,164890320896,190287155200
1485174511519,155207454720,164897132544,190287155200
1485174514261,155215826944,164905504768,190287155200
1485174517264,155204263936,164893941760,190287155200
1485174520362,155194617856,164884295680,190287155200
1485174523584,155182010368,164871688192,190287155200
1485174526982,155167764480,164857442304,190287155200
1485174530137,155157991424,164847669248,190287155200
1485174533322,155146326016,164836003840,190287155200
1485174536344,155135418368,164825096192,190287155200
1485174539751,155122008064,164811685888,190287155200
1485174542774,155107848192,164797526016,190287155200
1485174546012,155094433792,164784111616,190287155200
1485174549230,155074359296,164764037120,190287155200
1485174552822,155066306560,164755984384,190287155200
1485174556112,155051569152,164741246976,190287155200
1485174559130,155038539776,164728217600,190287155200
1485174562324,155023228928,164712906752,190287155200
1485174565540,155024859136,164714536960,190287155200
1485174568758,155010629632,164700307456,190287155200
1485174571767,154992836608,164682514432,190287155200
1485174574669,154983464960,164673142784,190287155200
1485174578150,154974593024,164664270848,190287155200
1485174581458,154962583552,164652261376,190287155200
1485174584478,154964492288,164654170112,190287155200
1485174587509,154960482304,164650160128,190287155200
1485174590729,154976108544,164665786368,190287155200
1485174593958,154959384576,164649062400,190287155200
1485174598585,154930618368,164620296192,190287155200
1485174602373,154937249792,164626927616,190287155200
1485174604853,154935001088,164624678912,190287155200
1485174608414,154932252672,164621930496,190287155200
1485174611678,154915368960,164605046784,190287155200
1485174614710,154899636224,164589314048,190287155200
1485174617743,154883657728,164573335552,190287155200
1485174620765,154874494976,164564172800,190287155200
1485174622975,154864685056,164554362880,190287155200
1485174626477,154864635904,164554313728,190287155200
1485174629993,154848157696,164537835520,190287155200
1485174633180,154834182144,164523859968,190287155200
1485174636208,154838192128,164527869952,190287155200
1485174639366,154826321920,164515999744,190287155200
1485174642688,154823213056,164512890880,190287155200
1485174645708,154831970304,164521648128,190287155200
1485174647962,154829844480,164519522304,190287155200
1485174650991,154823413760,164513091584,190287155200
1485174655681,154816200704,164505878528,190287155200
1485174658801,154809769984,164499447808,190287155200
1485174661883,154793914368,164483592192,190287155200
1485174664936,154811244544,164500922368,190287155200
1485174668031,154804367360,164494045184,190287155200
1485174671215,154836959232,164526637056,190287155200
1485174674499,154823536640,164513214464,190287155200
1485174679394,154812129280,164501807104,190287155200
1485174682506,154796744704,164486422528,190287155200
1485174685705,154779488256,164469166080,190287155200
1485174689054,154763509760,164453187584,190287155200
1485174692355,154750205952,164439883776,190287155200
1485174695226,154736320512,164425998336,190287155200
1485174698606,154717773824,164407451648,190287155200
1485174702093,154702319616,164391997440,190287155200
1485174705215,154688761856,164378439680,190287155200
1485174709042,154666704896,164356382720,190287155200
1485174712912,154648215552,164337893376,190287155200
1485174717190,154621263872,164310941696,190287155200
1485174720374,154623598592,164313276416,190287155200
1485174722769,154621726720,164311404544,190287155200
1485174726558,154609340416,164299018240,190287155200
1485174730080,154591408128,164281085952,190287155200
1485174732327,154582929408,164272607232,190287155200
1485174735432,154566811648,164256489472,190287155200
1485174738644,154549190656,164238868480,190287155200
1485174743026,154534965248,164224643072,190287155200
1485174745314,154519969792,164209647616,190287155200
1485174748464,154517950464,164207628288,190287155200
1485174752994,154505347072,164195024896,190287155200
1485174756101,154487431168,164177108992,190287155200
1485174759120,154469101568,164158779392,190287155200
1485174762378,154465038336,164154716160,190287155200
1485174766017,154449526784,164139204608,190287155200
1485174769635,154426175488,164115853312,190287155200
1485174773068,154445996032,164135673856,190287155200
1485174777342,154454892544,164144570368,190287155200
1485174780439,154461270016,164150947840,190287155200
1485174783677,154453254144,164142931968,190287155200
