timestamp_ms,server_open
1485174277722,0
1485174280768,0
1485174283784,0
1485174286793,0
1485174289808,0
1485174292817,0
1485174295826,0
1485174298836,0
1485174301843,0
1485174304868,0
1485174307890,0
1485174310899,0
1485174313909,0
1485174316928,0
1485174319940,0
1485174322963,0
1485174325974,0
1485174328984,0
1485174332012,0
1485174335058,0
1485174338074,1
1485174341087,13
1485174344109,13
1485174347289,13
1485174350352,13
1485174353375,13
1485174356391,13
1485174359458,13
1485174362486,13
1485174365508,13
1485174368729,13
1485174371879,13
1485174374912,13
1485174377950,13
1485174381201,13
1485174384300,13
1485174387318,13
1485174390349,13
1485174393648,13
1485174396665,13
1485174399714,13
1485174402762,13
1485174405778,13
1485174408805,13
1485174412456,13
1485174415945,13
1485174419082,13
1485174422333,13
1485174425398,13
1485174429130,13
1485174432387,13
1485174435567,13
1485174438586,13
1485174441748,13
1485174444853,13
1485174448398,13
1485174451504,13
1485174454660,13
1485174457679,13
1485174460858,13
1485174463887,13
1485174468491,13
1485174471546,13
1485174474576,13
1485174477598,13
1485174480615,13
1485174483688,13
1485174486731,13
1485174489761,13
1485174492814,13
1485174495842,13
1485174499167,13
1485174502252,13
1485174505434,13
1485174508451,13
1485174511634,13
1485174514650,13
1485174517673,26
1485174520689,26
1485174523714,26
1485174526976,26
1485174530128,26
1485174533337,26
1485174536354,26
1485174539693,26
1485174542762,26
1485174546004,26
1485174549071,26
1485174552695,26
1485174556165,26
1485174559183,26
1485174562311,26
1485174565421,26
1485174568869,26
1485174571888,26
1485174574918,26
1485174578089,26
1485174581442,26
1485174584471,26
1485174587491,26
1485174590715,26
1485174594006,26
1485174598576,26
1485174601851,26
1485174605383,26
1485174608406,26
1485174611662,26
1485174614698,26
1485174617727,26
1485174620754,26
1485174623790,26
1485174626809,26
1485174629889,26
1485174633045,26
1485174636204,26
1485174639278,26
1485174642683,26
1485174645701,26
1485174648720,26
1485174651853,26
1485174655263,26
1485174658738,26
1485174661838,26
1485174664932,26
1485174668022,26
1485174671081,26
1485174674479,26
1485174679862,26
1485174682900,26
1485174686191,26
1485174689597,26
1485174692778,26
1485174695866,26
1485174699155,26
1485174702176,26
1485174705202,26
1485174708694,26
1485174713681,26
1485174716914,26
1485174720304,26
1485174723478,26
1485174726554,26
1485174729679,26
1485174733087,26
1485174736250,26
1485174739426,26
1485174742959,26
1485174746037,26
1485174749165,26
1485174752226,26
1485174756088,26
1485174759115,26
1485174762259,26
1485174765956,26
1485174769080,26
1485174772687,26
1485174776564,26
1485174780348,26
1485174783626,26
1485174787115,26
1485174790551,26
1485174793698,26
1485174798049,26
1485174801669,26
1485174804960,26
1485174808148,26
1485174811460,26
1485174814805,26
1485174818014,26
1485174821888,26
1485174825014,26
1485174828099,26
1485174831272,26
1485174834472,26
1485174837635,26
1485174840950,26
1485174843970,26
1485174848278,26
1485174851839,26
1485174854936,26
1485174858674,26
1485174861871,26
1485174864920,26
1485174868159,26
1485174872792,26
1485174875914,26
1485174879371,26
1485174883217,26
1485174886542,26
1485174890023,26
1485174894711,26
1485174897794,26
1485174900828,26
1485174904663,26
1485174908169,26
1485174911763,26
1485174915603,26
1485174918944,26
1485174922373,26
1485174925965,26
1485174929385,26
1485174936095,26
1485174939139,26
1485174942356,26
1485174945671,26
1485174948952,26
1485174952124,26
1485174955148,26
1485174958790,26
1485174962399,26
1485174965545,26
1485174969096,26
1485174972478,26
1485174976074,26
1485174980812,26
1485174983860,26
1485174986884,26
1485174990090,26
1485174993704,26
1485174996842,26
1485175000791,26
1485175004284,26
1485175007328,26
1485175010822,26
1485175014934,26
1485175018107,26
1485175021750,26
1485175026123,26
1485175029232,26
1485175033074,26
1485175036845,26
1485175039930,26
1485175043737,26
1485175047951,26
1485175051366,26
1485175054940,26
1485175058920,26
1485175062181,26
1485175065477,26
1485175069435,26
1485175072457,26
1485175075933,26
1485175079390,26
1485175082728,26
1485175086789,26
1485175090253,26
1485175093598,26
1485175097400,26
1485175100633,26
1485175103767,26
1485175107453,26
1485175114022,26
1485175117849,26
1485175122401,26
1485175125420,26
1485175128851,26
1485175132572,26
1485175135601,26
1485175139472,26
1485175144079,26
1485175147099,26
1485175150322,26
1485175154318,26
1485175157474,26
1485175160956,26
1485175164718,26
1485175167748,26
1485175171230,26
1485175175062,26
1485175178129,26
1485175181497,26
1485175185708,26
1485175189301,26
1485175193109,26
1485175196853,26
1485175200128,26
1485175204063,26
1485175207693,26
1485175210724,26
1485175214039,26
1485175217200,26
1485175220772,26
1485175224582,26
1485175228151,26
1485175231575,26
1485175235443,26
1485175238934,26
1485175242484,26
1485175246091,26
1485175249691,26
1485175253105,26
1485175256806,26
1485175260251,26
1485175264617,26
1485175268116,26
1485175271136,26
1485175274702,26
1485175278959,26
1485175282040,26
1485175286173,26
1485175290084,26
1485175293139,26
1485175296643,26
1485175300786,26
1485175303814,26
1485175307373,26
1485175310690,26
1485175314029,26
1485175318129,26
1485175321416,26
1485175324433,26
1485175327902,26
1485175331306,26
1485175334484,26
1485175338505,26
1485175341825,26
1485175345071,26
1485175348971,26
1485175352821,26
1485175356202,26
1485175359478,26
1485175362690,26
1485175366010,26
1485175369067,26
1485175373112,26
1485175376964,26
1485175380235,26
1485175383771,26
1485175387468,26
1485175391141,26
1485175394521,26
1485175398132,26
1485175401238,26
1485175404769,26
1485175408397,26
1485175411412,26
1485175414483,26
1485175417639,26
1485175420921,26
1485175423991,26
1485175427016,26
1485175430210,26
1485175433403,26
1485175436559,26
1485175439590,26
1485175442884,26
1485175446246,26
1485175449268,26
1485175452308,26
1485175455438,26
1485175458579,26
1485175461606,26
1485175464623,26
1485175467666,26
1485175470793,26
1485175473810,26
1485175476822,26
