timestamp_ms,count
1485174277722,0
1485174280768,0
1485174283784,0
1485174286793,0
1485174289808,4
1485174292817,11
1485174295826,15
1485174298836,18
1485174301843,25
1485174304868,25
1485174307890,30
1485174310899,31
1485174313909,35
1485174316928,43
1485174319940,45
1485174322963,56
1485174325974,53
1485174328984,44
1485174332012,54
1485174335058,61
1485174338074,43
1485174341087,50
1485174344109,57
1485174347289,57
1485174350352,58
1485174353375,66
1485174356391,66
1485174359458,57
1485174362486,57
1485174365508,65
1485174368729,65
1485174371879,49
1485174374912,50
1485174377950,60
1485174381201,61
1485174384300,35
1485174387318,41
1485174390349,47
1485174393648,42
1485174396665,42
1485174399714,47
1485174402762,50
1485174405778,54
1485174408805,60
1485174412456,63
1485174415945,66
1485174419082,73
1485174422333,76
1485174425398,79
1485174429130,75
1485174432387,79
1485174435567,82
1485174438586,87
1485174441748,90
1485174444853,94
1485174448398,97
1485174451504,99
1485174454660,101
1485174457679,104
1485174460858,106
1485174463887,108
1485174468491,104
1485174471546,106
1485174474576,99
1485174477598,101
1485174480615,95
1485174483688,98
1485174486731,100
1485174489761,93
1485174492814,87
1485174495842,89
1485174499167,84
1485174502252,88
1485174505434,90
1485174508451,93
1485174511634,95
1485174514650,89
1485174517673,92
1485174520689,94
1485174523714,97
1485174526976,98
1485174530128,102
1485174533337,104
1485174536354,106
1485174539693,108
1485174542762,109
1485174546004,112
1485174549071,114
1485174552695,107
1485174556165,108
1485174559183,110
1485174562311,112
1485174565421,105
1485174568869,107
1485174571888,109
1485174574918,101
1485174578089,93
1485174581442,95
1485174584471,97
1485174587491,97
1485174590715,90
1485174594006,90
1485174598576,93
1485174601851,95
1485174605383,97
1485174608406,98
1485174611662,100
1485174614698,101
1485174617727,103
1485174620754,95
1485174623790,96
1485174626809,98
1485174629889,98
1485174633045,100
1485174636204,100
1485174639278,102
1485174642683,94
1485174645701,87
1485174648720,89
1485174651853,90
1485174655263,91
1485174658738,92
1485174661838,94
1485174664932,96
1485174668022,100
1485174671081,93
1485174674479,96
1485174679862,98
1485174682900,100
1485174686191,103
1485174689597,105
1485174692778,106
1485174695866,108
1485174699155,109
1485174702176,111
1485174705202,113
1485174708694,114
1485174713681,118
1485174716914,120
1485174720304,113
1485174723478,106
1485174726554,107
1485174729679,108
1485174733087,110
1485174736250,112
1485174739426,114
1485174742959,117
1485174746037,118
1485174749165,120
1485174752226,112
1485174756088,114
1485174759115,115
1485174762259,117
1485174765956,119
1485174769080,119
1485174772687,113
1485174776564,115
1485174780348,107
1485174783626,110
1485174787115,111
1485174790551,113
1485174793698,114
1485174798049,116
1485174801669,110
1485174804960,110
1485174808148,113
1485174811460,116
1485174814805,117
1485174818014,119
1485174821888,120
1485174825014,123
1485174828099,126
1485174831272,127
1485174834472,128
1485174837635,129
1485174840950,121
1485174843970,122
1485174848278,125
1485174851839,118
1485174854936,119
1485174858674,114
1485174861871,115
1485174864920,117
1485174868159,118
1485174872792,121
1485174875914,121
1485174879371,123
1485174883217,124
1485174886542,124
1485174890023,126
1485174894711,127
1485174897794,129
1485174900828,121
1485174904663,114
1485174908169,115
1485174911763,106
1485174915603,108
1485174918944,109
1485174922373,110
1485174925965,103
1485174929385,96
1485174936095,97
1485174939139,98
1485174942356,99
1485174945671,91
1485174948952,92
1485174952124,85
1485174955148,86
1485174958790,87
1485174962399,88
1485174965545,90
1485174969096,91
1485174972478,92
1485174976074,94
1485174980812,94
1485174983860,96
1485174986884,97
1485174990090,99
1485174993704,100
1485174996842,101
1485175000791,103
1485175004284,105
1485175007328,107
1485175010822,107
1485175014934,109
1485175018107,110
1485175021750,112
1485175026123,115
1485175029232,117
1485175033074,118
1485175036845,119
1485175039930,120
1485175043737,122
1485175047951,124
1485175051366,124
1485175054940,124
1485175058920,127
1485175062181,119
1485175065477,120
1485175069435,113
1485175072457,114
1485175075933,115
1485175079390,117
1485175082728,117
1485175086789,119
1485175090253,120
1485175093598,122
1485175097400,114
1485175100633,117
1485175103767,117
1485175107453,110
1485175114022,112
1485175117849,114
1485175122401,115
1485175125420,116
1485175128851,118
1485175132572,119
1485175135601,120
1485175139472,122
1485175144079,123
1485175147099,124
1485175150322,125
1485175154318,117
1485175157474,118
1485175160956,120
1485175164718,121
1485175167748,122
1485175171230,122
1485175175062,124
1485175178129,126
1485175181497,126
1485175185708,119
1485175189301,112
1485175193109,112
1485175196853,106
1485175200128,106
1485175204063,99
1485175207693,99
1485175210724,101
1485175214039,103
1485175217200,96
1485175220772,88
1485175224582,89
1485175228151,92
1485175231575,94
1485175235443,94
1485175238934,96
1485175242484,97
1485175246091,99
1485175249691,99
1485175253105,101
1485175256806,103
1485175260251,105
1485175264617,106
1485175268116,108
1485175271136,108
1485175274702,110
1485175278959,111
1485175282040,112
1485175286173,105
1485175290084,107
1485175293139,109
1485175296643,109
1485175300786,112
1485175303814,113
1485175307373,114
1485175310690,116
1485175314029,116
1485175318129,118
1485175321416,120
1485175324433,122
1485175327902,124
1485175331306,124
1485175334484,126
1485175338505,127
1485175341825,130
1485175345071,130
1485175348971,132
1485175352821,124
1485175356202,116
1485175359478,119
1485175362690,120
1485175366010,121
1485175369067,122
1485175373112,123
1485175376964,125
1485175380235,127
1485175383771,127
1485175387468,129
1485175391141,130
1485175394521,131
1485175398132,127
1485175401238,130
1485175404769,127
1485175408397,134
1485175411412,139
1485175414483,135
1485175417639,124
1485175420921,123
1485175423991,120
1485175427016,127
1485175430210,118
1485175433403,114
1485175436559,122
1485175439590,129
1485175442884,137
1485175446246,143
1485175449268,139
1485175452308,146
1485175455438,120
1485175458579,111
1485175461606,99
1485175464623,92
1485175467666,92
1485175470793,90
1485175473810,90
1485175476822,95
