timestamp_ms,load_average
1485174344113,92
1485174347294,99
1485174350355,99
1485174353377,100
1485174356394,100
1485174359463,100
1485174362487,99
1485174365510,100
1485174368731,100
1485174371882,99
1485174374914,97
1485174377979,100
1485174381289,99
1485174384302,98
1485174387324,89
1485174390400,92
1485174393649,99
1485174396667,97
1485174399716,99
1485174402762,100
1485174405789,100
1485174408806,100
1485174412456,100
1485174415947,100
1485174419090,100
1485174422342,100
1485174425418,100
1485174429186,100
1485174432390,100
1485174435569,100
1485174438697,100
1485174441751,100
1485174444857,100
1485174448401,100
1485174451504,100
1485174454662,100
1485174457844,100
1485174460859,100
1485174463889,100
1485174468474,100
1485174471559,100
1485174474578,100
1485174477601,100
1485174480641,100
1485174483691,100
1485174486733,100
1485174489762,100
1485174492815,100
1485174495843,100
1485174499186,100
1485174502302,100
1485174505436,100
1485174508452,100
1485174511636,100
1485174514665,100
1485174517676,100
1485174520691,100
1485174523716,100
1485174526980,100
1485174530133,100
1485174533340,100
1485174536355,100
1485174539697,100
1485174542769,100
1485174546007,100
1485174549075,100
1485174552813,100
1485174556168,100
1485174559298,100
1485174562313,100
1485174565536,100
1485174568871,100
1485174571890,100
1485174574977,100
1485174578094,100
1485174581448,100
1485174584473,100
1485174587493,100
1485174590716,100
1485174594007,100
1485174598583,100
1485174601975,100
1485174605387,100
1485174608408,100
1485174611664,100
1485174614702,100
1485174617730,100
1485174620756,99
1485174623792,100
1485174626812,100
1485174629987,100
1485174633047,100
1485174636206,100
1485174639362,100
1485174642685,100
1485174645703,100
1485174648723,100
1485174651854,100
1485174655264,100
1485174658739,100
1485174661839,100
1485174664934,100
1485174668024,100
1485174671213,100
1485174674483,100
1485174679868,100
1485174682977,100
1485174686185,100
1485174689615,100
1485174692781,100
1485174695867,100
1485174699156,100
1485174702180,100
1485174705205,100
1485174708696,100
1485174713765,100
1485174716973,100
1485174720305,100
1485174723481,100
1485174726556,100
1485174729684,100
1485174733091,100
1485174736257,100
1485174739529,100
1485174742960,100
1485174746101,100
1485174749166,100
1485174752294,100
1485174756089,100
1485174759117,100
1485174762265,100
1485174765970,100
1485174769143,100
1485174772679,100
1485174776577,100
1485174780349,100
1485174783621,100
1485174787119,100
1485174790553,100
1485174793812,100
1485174798084,100
1485174801669,100
1485174805032,100
1485174808235,100
1485174811463,100
1485174814822,100
1485174818025,100
1485174822001,100
1485174825027,100
1485174828190,100
1485174831274,100
1485174834511,100
1485174837675,100
1485174840952,100
1485174844198,100
1485174848502,100
1485174851918,100
1485174854937,100
1485174858676,100
1485174861883,100
1485174864921,100
1485174868171,100
1485174872793,100
1485174875915,100
1485174879373,100
1485174883230,100
1485174886559,100
1485174890032,100
1485174894715,100
1485174897796,100
1485174900831,100
1485174905152,100
1485174908186,100
1485174911777,100
1485174915608,100
1485174918950,100
1485174922375,100
1485174925966,100
1485174929486,100
1485174936101,100
1485174939141,100
1485174942357,100
1485174945719,100
1485174948954,100
1485174952127,100
1485174955150,100
1485174958835,100
1485174962401,100
1485174965546,100
1485174969098,100
1485174972479,100
1485174976076,100
1485174980815,100
1485174983862,100
1485174986886,100
1485174990093,100
1485174993705,100
1485174996869,100
1485175000793,100
1485175004292,100
1485175007330,100
1485175011334,100
1485175014942,100
1485175018113,100
1485175021777,100
1485175026123,100
1485175029405,100
1485175033125,100
1485175036909,100
1485175039942,100
1485175043740,100
1485175047957,100
1485175051368,100
1485175054942,100
1485175058922,100
1485175062185,100
1485175065525,100
1485175069446,100
1485175072458,100
1485175075933,100
1485175079392,100
1485175082735,100
1485175086931,100
1485175090516,100
1485175093598,100
1485175097404,100
1485175100635,100
1485175103768,100
1485175107454,100
1485175114023,100
1485175117850,100
1485175122404,100
1485175125421,100
1485175128963,100
1485175132574,100
1485175135602,100
1485175139506,100
1485175144082,100
1485175147101,100
1485175150407,100
1485175154320,100
1485175157477,100
1485175160958,100
1485175164721,100
1485175167751,100
1485175171234,100
1485175175114,100
1485175178131,100
1485175181497,100
1485175185711,100
1485175189309,100
1485175193110,100
1485175196857,100
1485175200132,100
1485175204150,100
1485175207703,100
1485175210726,100
1485175214042,100
1485175217258,100
1485175220773,100
1485175224600,100
1485175228162,100
1485175231574,100
1485175235444,100
1485175238952,100
1485175242485,100
1485175246122,100
1485175249697,100
1485175253129,100
1485175256807,100
1485175260296,100
1485175264616,100
1485175268119,100
1485175271138,100
1485175274721,100
1485175278955,100
1485175282096,100
1485175286175,100
1485175290088,100
1485175293157,100
1485175296721,100
1485175300788,100
1485175303817,100
1485175307430,100
1485175310690,100
1485175314030,100
1485175318148,100
1485175321423,100
1485175324436,100
1485175327903,100
1485175331458,100
1485175334847,100
1485175338639,100
1485175341828,100
1485175345086,100
1485175348972,100
1485175352823,100
1485175356237,100
1485175359491,100
1485175362700,100
1485175366014,100
1485175369079,100
1485175373119,100
1485175376984,100
1485175380237,100
1485175383765,100
1485175387591,100
1485175391142,100
1485175394522,100
1485175398198,100
1485175401390,100
1485175404770,100
1485175408399,100
1485175411415,100
1485175414486,100
1485175417651,99
1485175420923,100
1485175423993,100
1485175427013,100
1485175430218,100
1485175433540,100
1485175436569,99
1485175439592,100
1485175442886,100
1485175446248,99
1485175449269,100
1485175452311,99
1485175455441,99
1485175458586,94
1485175461609,83
1485175464624,67
1485175467672,49
1485175470799,72
1485175473811,35
1485175476829,63
