timestamp_ms,total_in_millis
1485174343923,11910
1485174346961,16380
1485174349973,20660
1485174353027,23890
1485174356044,26350
1485174359189,29380
1485174362225,33700
1485174365248,36510
1485174368307,38440
1485174371582,42070
1485174374604,45480
1485174377659,47840
1485174380683,50450
1485174383726,53120
1485174386854,54430
1485174389939,56130
1485174392950,57700
1485174395971,57780
1485174398991,58030
1485174402040,60560
1485174405250,63200
1485174408299,65690
1485174412598,69470
1485174415998,71640
1485174419098,73760
1485174422386,76000
1485174425420,77920
1485174429191,80350
1485174432072,82040
1485174435571,83980
1485174438057,85520
1485174441358,87410
1485174444890,89210
1485174448274,91010
1485174451563,92810
1485174454665,94460
1485174457217,95770
1485174460871,97430
1485174464638,99330
1485174467686,100660
1485174470744,102090
1485174474491,103710
1485174477602,105410
1485174480666,106810
1485174483699,108150
1485174485745,109000
1485174489740,110830
1485174491998,111960
1485174495857,113780
1485174499179,115140
1485174502274,116410
1485174505438,117700
1485174508475,118980
1485174511519,120270
1485174514533,121530
1485174517263,122730
1485174520361,123980
1485174523584,125320
1485174526982,126690
1485174530136,127770
1485174533322,128680
1485174536343,129570
1485174539750,130780
1485174542774,131860
1485174546011,133130
1485174549230,134250
1485174552817,135540
1485174556111,136830
1485174559130,138040
1485174562323,139460
1485174565539,140790
1485174568757,142130
1485174571767,143470
1485174574979,144950
1485174578149,146530
1485174581456,148230
1485174584478,149810
1485174587497,151370
1485174590729,152830
1485174593958,154400
1485174598585,156630
1485174602372,158540
1485174605392,159960
1485174608413,161220
1485174611678,162730
1485174614710,163940
1485174617742,165400
1485174620764,166870
1485174622970,167840
1485174626476,169250
1485174629992,170680
1485174633179,171910
1485174636193,173050
1485174639366,174150
1485174642688,175390
1485174645704,176630
1485174647962,177500
1485174650985,178550
1485174655668,180360
1485174658788,181630
1485174661882,182800
1485174664935,184010
1485174668031,185080
1485174671214,186220
1485174674498,187470
1485174679393,189170
1485174682505,190380
1485174685704,191390
1485174689053,192500
1485174692354,193680
1485174695483,194640
1485174698605,195410
1485174702092,196500
1485174705214,197390
1485174709041,198690
1485174712911,199980
1485174717189,201800
1485174720373,202830
1485174722769,203600
1485174725791,204560
1485174730079,206270
1485174732326,207280
1485174735432,208540
1485174738644,209910
1485174743025,211590
1485174745312,212480
1485174748463,213620
1485174752835,215940
1485174756091,217340
1485174759120,218580
1485174762378,219950
1485174766017,221790
1485174769635,223520
1485174773067,225450
1485174777341,227180
1485174780438,228320
1485174783676,229690
1485174787496,231270
1485174790680,232750
1485174793985,234150
1485174798627,236200
1485174801871,237490
1485174805138,238670
1485174808349,239820
1485174811465,240730
1485174814865,241610
1485174818048,242650
1485174822003,244050
1485174825053,245360
1485174828192,246820
1485174830946,247970
1485174834488,249250
1485174837657,250500
1485174840766,251510
1485174844202,252710
1485174848504,254370
1485174851787,255480
1485174854982,256860
1485174858568,258450
1485174861875,260090
1485174869186,263370
1485174872816,265050
1485174875930,266560
1485174879227,268080
1485174883240,270030
1485174886521,271390
1485174890196,273090
1485174893989,274880
1485174897275,276290
1485174900963,277810
1485174905154,279420
1485174908184,280750
1485174911721,282280
1485174915566,283900
1485174918952,285250
1485174922279,286610
1485174925400,287820
1485174928541,289300
1485174936103,292150
1485174939145,293130
1485174942298,293940
1485174945561,295000
1485174948890,296190
1485174952088,297280
1485174955159,298370
1485174958839,299310
1485174962403,300270
1485174965564,301430
1485174969080,302590
