timestamp_ms,operations
1485174344113,0
1485174347294,0
1485174350355,297
1485174353377,401
1485174356394,738
1485174359463,738
1485174362487,1344
1485174365510,1506
1485174368731,1550
1485174371882,1944
1485174374914,2338
1485174377979,2484
1485174381289,2604
1485174384302,3554
1485174387324,3829
1485174390400,3957
1485174393649,4006
1485174396667,4006
1485174399716,4108
1485174402762,4250
1485174405789,4262
1485174408806,4356
1485174412456,4396
1485174415947,4453
1485174419090,4572
1485174422342,4697
1485174425418,4743
1485174429186,4833
1485174432390,4944
1485174435569,5038
1485174438697,5177
1485174441751,5310
1485174444857,5397
1485174448401,5498
1485174451504,5594
1485174454662,5679
1485174457844,5771
1485174460859,5887
1485174463889,6013
1485174468474,6162
1485174471559,6238
1485174474578,6344
1485174477601,6494
1485174480641,6578
1485174483691,6649
1485174486733,6755
1485174489762,6887
1485174492815,7013
1485174495843,7117
1485174499186,7198
1485174502302,7286
1485174505436,7404
1485174508452,7511
1485174511636,7617
1485174514665,7720
1485174517676,7849
1485174520691,7953
1485174523716,8069
1485174526980,8209
1485174530133,8295
1485174533340,8423
1485174536355,8522
1485174539697,8675
1485174542769,8774
1485174546007,8870
1485174549075,8946
1485174552813,9029
1485174556168,9126
1485174559298,9205
1485174562313,9292
1485174565536,9373
1485174568871,9456
1485174571890,9544
1485174574977,9637
1485174578094,9736
1485174581448,9838
1485174584473,9907
1485174587493,9997
1485174590716,10086
1485174594007,10155
1485174598583,10270
1485174601975,10376
1485174605387,10506
1485174608408,10632
1485174611664,10740
1485174614702,10816
1485174617730,10922
1485174620756,11034
1485174623792,11144
1485174626812,11230
1485174629987,11294
1485174633047,11374
1485174636206,11425
1485174639362,11472
1485174642685,11542
1485174645703,11638
1485174648723,11717
1485174651854,11780
1485174655264,11885
1485174658739,11996
1485174661839,12074
1485174664934,11316
1485174668024,11391
1485174671213,11470
1485174674483,11587
1485174679868,11759
1485174682977,11906
1485174686185,12045
1485174689615,12191
1485174692781,12331
1485174695867,12422
1485174699156,12531
1485174702180,12614
1485174705205,12736
1485174708696,12886
1485174713765,13032
1485174716973,13157
1485174720305,13246
1485174723481,13307
1485174726556,13362
1485174729684,13468
1485174733091,13559
1485174736257,13626
1485174739529,13726
1485174742960,13822
1485174746101,13912
1485174749166,14007
1485174752294,14124
1485174756089,14195
1485174759117,14239
1485174762265,14316
1485174765970,14434
1485174769143,14529
1485174772679,13890
1485174776577,13988
1485174780349,14039
1485174783621,14119
1485174787119,14198
1485174790553,14332
1485174793812,14423
1485174798084,14566
1485174801669,14729
1485174805032,14830
1485174808235,14913
1485174811463,14996
1485174814822,15083
1485174818025,15162
1485174822001,15252
1485174825027,15378
1485174828190,15484
1485174831274,15566
1485174834511,15658
1485174837675,15746
1485174840952,15798
1485174844198,15878
1485174848502,15983
1485174851918,16004
1485174854937,16087
1485174858676,16155
1485174861883,16201
1485174864921,16262
1485174868171,16354
1485174872793,16445
1485174875915,16516
1485174879373,16621
1485174883230,16715
1485174886559,16807
1485174890032,16865
1485174894715,16964
1485174897796,17033
1485174900831,17124
1485174905152,17216
1485174908186,17277
1485174911777,17377
1485174915608,17461
1485174918950,17549
1485174922375,17634
1485174925966,17726
1485174929486,17820
1485174936101,17954
1485174939141,18045
1485174942357,18109
1485174945719,18188
1485174948954,18261
1485174952127,18334
1485174955150,18408
1485174958835,18498
1485174962401,18571
1485174965546,18677
1485174969098,18794
1485174972479,18887
1485174976076,18987
1485174980815,19118
1485174983862,19166
1485174986886,19254
1485174990093,19346
1485174993705,19443
1485174996869,19528
1485175000793,19617
1485175004292,19707
1485175007330,19789
1485175011334,19889
1485175014942,19976
1485175018113,20092
1485175021777,20222
1485175026123,20333
1485175029405,20419
1485175033125,20506
1485175036909,20591
1485175039942,20682
1485175043740,20794
1485175047957,20868
1485175051368,20943
1485175054942,21033
1485175058922,21116
1485175062185,21172
1485175065525,21265
1485175069446,21346
1485175072458,21396
1485175075933,21486
1485175079392,21531
1485175082735,21620
1485175086931,21718
1485175090516,21804
1485175093598,21902
1485175097404,22031
1485175100635,22107
1485175103768,22176
1485175107454,22255
1485175114023,22402
1485175117850,22499
1485175122404,22597
1485175125421,22660
1485175128963,22754
1485175132574,22874
1485175135602,22976
1485175139506,23087
1485175144082,23189
1485175147101,23292
1485175150407,23380
1485175154320,23462
1485175157477,23541
1485175160958,23637
1485175164721,23702
1485175167751,23759
1485175171234,23832
1485175175114,23932
1485175178131,24006
1485175181497,24107
1485175185711,24174
1485175189309,24246
1485175193110,24341
1485175196857,24411
1485175200132,24487
1485175204150,22500
1485175207703,22568
1485175210726,22678
1485175214042,22768
1485175217258,22845
1485175220773,21015
1485175224600,21122
1485175228162,21214
1485175231574,21311
1485175235444,21405
1485175238952,21467
1485175242485,21564
1485175246122,21598
1485175249697,21656
