timestamp_ms,size_in_bytes
1485174277722,0
1485174280768,260
1485174283784,260
1485174286793,260
1485174289808,260
1485174292817,5781634
1485174295826,5781634
1485174298836,5781634
1485174301843,17310206
1485174304868,17310466
1485174307890,17310466
1485174310899,17310466
1485174313909,23200948
1485174316928,24737380
1485174319940,24737380
1485174322963,43543249
1485174325974,43543249
1485174328984,44567016
1485174332012,44567016
1485174335058,62465823
1485174338074,62465823
1485174341087,65865215
1485174344109,65099431
1485174347289,65099431
1485174350352,65844535
1485174353375,65844535
1485174356391,79670242
1485174359458,79670242
1485174362486,79113250
1485174365508,79113250
1485174368729,91395303
1485174371879,91395303
1485174374912,92647806
1485174377950,92647806
1485174381201,106302396
1485174384300,106302396
1485174387318,107984135
1485174390349,108963870
1485174393648,100772166
1485174396665,100772166
1485174399714,101651642
1485174402762,105126515
1485174405778,105126515
1485174408805,105126515
1485174412456,119277724
1485174415945,119277724
1485174419082,119277724
1485174422333,123602292
1485174425398,133979231
1485174429130,133979231
1485174432387,135268814
1485174435567,130094128
1485174438586,130094128
1485174441748,130094128
1485174444853,151245982
1485174448398,151245982
1485174451504,151245982
1485174454660,159575382
1485174457679,175177897
1485174460858,175177897
1485174463887,180644402
1485174468491,206196916
1485174471546,206196916
1485174474576,196463916
1485174477598,196463916
1485174480615,207621601
1485174483688,207621601
1485174486731,210140374
1485174489761,199290582
1485174492814,208311373
1485174495842,211112882
1485174499167,211786079
1485174502252,202724230
1485174505434,197439061
1485174508451,200478492
1485174511634,200478492
1485174514650,193827101
1485174517673,193827101
1485174520689,196997837
1485174523714,196997837
1485174526976,209928304
1485174530128,212355352
1485174533337,217243388
1485174536354,225758123
1485174539693,228978038
1485174542762,234116914
1485174546004,234116914
1485174549071,250784230
1485174552695,250915297
1485174556165,254253973
1485174559183,254533940
1485174562311,265642946
1485174565421,269423084
1485174568869,272606111
1485174571888,261725786
1485174574918,266771867
1485174578089,253992033
1485174581442,253992033
1485174584471,254262328
1485174587491,262193964
1485174590715,263102982
1485174594006,265657671
1485174598576,254619044
1485174601851,256695440
1485174605383,262013210
1485174608406,262013210
1485174611662,268750885
1485174614698,272338572
1485174617727,272042385
1485174620754,290435631
1485174623790,290836943
1485174626809,292203359
1485174629889,289146386
1485174633045,292938345
1485174636204,292938345
1485174639278,296647302
1485174642683,291180283
1485174645701,293129888
1485174648720,295103503
1485174651853,288266775
1485174655263,292425840
1485174658738,293040116
1485174661838,293400480
1485174664932,299415552
1485174668022,301212386
1485174671081,283896723
1485174674479,290086124
1485174679862,294574149
1485174682900,295745122
1485174686191,304671770
1485174689597,306757617
1485174692778,308328296
1485174695866,317168429
1485174699155,319987415
1485174702176,320880190
1485174705202,329863071
1485174708694,338512531
1485174713681,343233752
1485174716914,359968957
1485174720304,360722444
1485174723478,361149147
1485174726554,350629175
1485174729679,347529551
1485174733087,349183779
1485174736250,351461287
1485174739426,362742303
1485174742959,370954805
1485174746037,372390018
1485174749165,373168078
1485174752226,372278170
1485174756088,373879181
1485174759115,373879181
1485174762259,385330554
1485174765956,386002213
1485174769080,387209267
1485174772687,378910071
1485174776564,380054858
1485174780348,380958996
1485174783626,391523077
1485174787115,381671389
1485174790551,383913622
1485174793698,383913622
1485174798049,396117339
1485174801669,396358476
1485174804960,396358476
1485174808148,390227658
1485174811460,390227658
1485174814805,392795467
1485174818014,407143117
1485174821888,415439063
1485174825014,418525884
1485174828099,418951684
1485174831272,428671124
1485174834472,437451425
1485174837635,436360098
1485174840950,436360098
1485174843970,431302386
1485174848278,442848429
1485174851839,444298091
1485174854936,440051287
1485174858674,408617992
1485174861871,408773612
1485174864920,408773612
1485174868159,420825929
1485174872792,431167242
1485174875914,442140390
1485174879371,442146632
1485174883217,446373145
1485174886542,448476825
1485174890023,459504761
1485174894711,459676742
1485174897794,469398943
1485174900828,458104751
1485174904663,458719026
1485174908169,461018901
1485174911763,440455765
1485174915603,425092028
1485174918944,431529835
1485174922373,438679621
1485174925965,440149825
1485174929385,417595528
1485174936095,419428921
1485174939139,419428921
1485174942356,430301945
1485174945671,433416640
1485174948952,433875323
