timestamp_ms,percent
1485174520456,3
1485174523619,2
1485174527116,2
1485174530139,3
1485174533324,5
1485174536325,5
1485174539733,4
1485174542772,4
1485174546059,5
1485174549077,6
1485174552771,5
1485174556113,5
1485174559132,4
1485174562315,4
1485174565408,4
1485174568742,4
1485174571769,4
1485174574920,4
1485174578098,2
1485174581386,2
1485174584475,2
1485174587494,3
1485174590721,4
1485174593960,2
1485174598604,2
1485174601860,2
1485174605389,3
1485174608410,4
1485174611672,3
1485174614706,4
1485174617733,2
1485174620757,2
1485174622971,5
1485174626479,5
1485174629868,6
1485174633050,5
1485174636196,7
1485174639671,6
1485174642686,6
1485174645705,6
1485174647964,6
1485174650986,7
1485174655266,7
1485174658743,6
1485174661841,5
1485174665011,6
1485174668069,7
1485174671176,6
1485174674502,7
1485174679394,8
1485174682490,11
1485174685600,10
1485174689029,8
1485174692465,7
1485174695560,9
1485174698602,10
1485174702094,7
1485174705213,8
1485174708718,6
1485174712915,7
1485174715989,8
1485174720337,8
1485174722780,7
1485174725794,8
1485174728809,9
1485174732423,8
1485174735586,8
1485174738646,5
1485174742963,5
1485174745454,5
1485174748471,5
1485174751486,3
1485174756098,3
1485174759219,7
1485174761315,7
1485174766068,10
1485174769128,8
1485174772855,7
1485174776579,8
1485174780364,7
1485174783823,7
1485174787118,7
1485174790569,7
1485174793719,7
1485174798109,7
1485174801694,7
1485174805114,8
1485174808158,8
1485174811468,7
1485174814902,7
1485174818181,8
1485174821949,8
1485174825064,6
1485174828260,5
1485174830898,7
1485174834486,8
1485174837663,10
1485174840772,7
1485174843855,6
1485174848284,6
1485174851725,5
1485174854926,6
1485174858407,4
1485174861878,6
1485174868182,7
1485174872906,7
1485174875931,6
1485174879375,6
1485174883507,7
1485174886522,8
1485174890044,5
1485174893990,5
1485174897277,6
1485174901011,7
1485174904881,8
1485174908185,7
1485174911792,8
1485174915568,8
1485174918958,7
1485174922363,7
1485174925374,8
1485174928611,7
1485174936128,7
1485174939237,9
1485174942249,11
1485174945558,8
1485174948891,9
1485174952086,9
1485174955189,9
1485174958665,9
1485174962481,11
1485174965736,10
1485174969177,11
1485174972874,9
1485174976227,9
1485174980847,10
1485174983479,9
1485174986973,9
1485174990040,10
1485174993741,9
1485174997084,9
1485175000114,10
1485175004231,9
1485175007462,7
1485175010487,5
1485175014979,5
1485175018157,8
1485175021836,8
1485175026140,8
1485175029824,6
1485175032971,8
1485175036811,7
1485175040213,8
1485175043758,7
1485175047927,6
1485175051302,10
1485175054897,10
1485175059068,8
1485175062197,9
1485175065493,8
1485175069324,8
1485175072627,8
1485175075936,8
1485175079449,7
1485175082770,7
1485175086792,7
1485175090199,9
1485175093587,9
1485175096766,8
1485175100744,7
1485175103917,8
1485175107475,9
1485175114248,8
1485175117902,9
1485175122408,7
1485175125620,6
1485175128834,5
1485175132578,4
1485175135627,3
1485175139738,7
1485175143747,8
1485175146763,6
1485175150210,7
1485175154315,8
1485175157491,8
1485175160875,8
1485175164727,7
1485175167747,9
1485175171110,9
1485175175025,6
1485175178239,4
1485175181525,7
1485175185716,6
1485175189763,6
1485175193012,8
1485175196860,10
1485175200130,9
1485175203646,9
1485175207707,9
1485175210800,8
1485175214051,10
1485175217195,10
1485175220670,9
1485175223707,6
1485175228163,8
1485175232043,10
1485175235507,11
1485175238963,12
1485175242810,9
1485175246099,11
1485175249441,8
1485175253163,11
1485175256793,10
1485175260331,8
1485175264435,9
1485175267981,10
1485175271008,10
1485175275831,14
1485175278964,13
1485175282096,12
1485175286662,10
1485175289753,10
1485175293140,10
1485175296726,9
1485175300164,8
1485175303820,12
1485175307343,11
1485175310710,10
1485175313991,8
1485175317983,9
1485175321289,12
1485175324475,9
1485175327907,8
1485175331312,9
1485175334490,9
1485175338565,10
1485175341881,9
1485175345082,10
1485175349422,9
1485175352577,8
1485175355860,9
1485175359393,10
1485175362704,8
1485175365950,8
1485175369045,4
1485175373122,7
1485175377085,6
1485175380164,8
1485175383697,7
1485175387472,10
1485175390716,10
1485175394221,16
1485175397844,14
1485175401229,14
1485175404688,19
1485175408382,21
1485175411421,22
1485175414482,20
1485175420918,19
1485175423941,19
1485175427046,19
1485175430223,28
1485175433410,26
1485175436556,27
1485175439761,19
1485175442861,24
1485175446188,23
1485175449269,12
1485175452287,12
1485175455475,13
1485175458559,8
1485175461611,18
1485175464635,10
1485175467660,0
1485175470786,17
1485175473807,0
1485175476814,12
