timestamp_ms,count,peak_count
1485174277484,41,41
1485174280537,45,45
1485174283548,45,45
1485174286555,45,45
1485174289564,51,51
1485174292621,51,51
1485174295627,51,51
1485174298634,51,51
1485174301640,53,53
1485174304649,54,54
1485174307659,54,54
1485174310666,53,54
1485174313717,53,54
1485174316736,53,54
1485174319772,53,54
1485174322800,54,54
1485174325813,53,55
1485174328834,53,55
1485174331855,53,55
1485174334875,52,55
1485174337890,52,55
1485174340901,54,55
1485174343920,55,55
1485174346947,55,55
1485174349973,55,55
1485174353028,57,57
1485174356048,57,57
1485174359155,56,57
1485174362226,56,57
1485174365249,57,57
1485174368303,58,58
1485174371585,56,58
1485174374607,56,58
1485174377663,58,58
1485174380681,59,59
1485174383723,56,59
1485174386776,56,59
1485174389939,56,59
1485174392953,59,60
1485174395969,59,60
1485174398994,59,60
1485174402038,59,60
1485174405233,59,60
1485174408304,60,60
1485174412851,60,60
1485174415962,60,60
1485174419274,60,60
1485174422217,54,60
1485174425400,54,60
1485174429133,54,60
1485174432062,54,60
1485174435575,55,60
1485174438045,55,60
1485174441361,56,60
1485174445371,56,60
1485174448218,56,60
1485174450509,57,60
1485174454664,56,60
1485174457412,57,60
1485174460862,56,60
1485174464016,56,60
1485174467689,57,60
1485174470746,56,60
1485174474453,56,60
1485174477603,55,60
1485174480632,56,60
1485174483711,56,60
1485174486725,55,60
1485174489741,55,60
1485174492011,55,60
1485174495861,54,60
1485174499221,54,60
1485174502233,54,60
1485174505439,54,60
1485174508473,53,60
1485174511521,53,60
1485174514537,53,60
1485174517267,54,60
1485174520361,55,60
1485174523582,55,60
1485174527003,55,60
1485174530131,57,60
1485174533328,58,60
1485174536340,59,60
1485174539735,59,60
1485174542764,59,60
1485174546011,58,60
1485174549227,60,60
1485174552697,59,60
1485174556116,59,60
1485174559135,59,60
1485174562378,59,60
1485174565400,58,60
1485174568744,58,60
1485174571772,57,60
1485174574924,57,60
1485174578117,57,60
1485174581389,56,60
1485174584477,56,60
1485174587528,56,60
1485174590727,55,60
1485174593961,55,60
1485174598843,56,60
1485174601867,56,60
1485174605394,56,60
1485174608413,56,60
1485174611677,57,60
1485174614708,57,60
1485174617740,58,60
1485174620764,57,60
1485174622972,57,60
1485174626480,57,60
1485174629869,57,60
1485174633086,57,60
1485174636198,56,60
1485174639280,55,60
1485174642690,55,60
1485174645707,55,60
1485174647956,55,60
1485174652189,55,60
1485174655328,55,60
1485174658827,55,60
1485174661846,55,60
1485174664940,55,60
1485174668035,55,60
1485174671088,56,60
1485174674843,56,60
1485174679377,56,60
1485174682479,56,60
1485174685599,57,60
1485174689052,57,60
1485174692389,57,60
1485174695486,57,60
1485174698585,58,60
1485174702093,58,60
1485174705644,57,60
1485174708716,58,60
1485174712918,58,60
1485174717185,57,60
1485174720406,57,60
1485174722766,57,60
1485174725789,57,60
1485174728805,57,60
1485174732325,56,60
1485174735435,56,60
1485174739908,57,60
1485174742973,57,60
1485174745313,57,60
1485174748470,57,60
1485174751489,57,60
1485174756109,57,60
1485174759119,56,60
1485174762899,55,60
1485174766028,55,60
1485174769119,55,60
1485174773504,55,60
1485174776742,56,60
1485174780373,56,60
1485174783675,56,60
1485174787157,56,60
1485174790595,56,60
1485174793715,56,60
1485174798083,55,60
1485174801699,54,60
1485174804978,54,60
1485174808169,54,60
1485174811463,56,60
1485174814883,56,60
1485174818475,56,60
1485174821913,56,60
1485174825063,56,60
1485174828104,56,60
1485174830907,56,60
1485174834491,55,60
1485174837658,55,60
1485174840767,55,60
1485174843855,55,60
1485174848253,55,60
1485174851729,55,60
1485174854944,56,60
1485174858408,58,60
1485174861873,58,60
1485174864925,59,60
1485174868187,59,60
1485174872843,58,60
1485174876180,58,60
1485174879379,58,60
1485174883281,58,60
1485174886524,58,60
1485174890201,58,60
1485174893988,58,60
1485174897281,57,60
1485174900904,56,60
1485174904683,55,60
1485174908168,56,60
1485174911717,57,60
1485174915571,58,60
1485174918960,58,60
1485174922277,58,60
1485174925387,58,60
1485174930093,58,60
1485174936119,58,60
1485174939149,58,60
1485174942245,57,60
1485174945560,57,60
1485174948907,56,60
