timestamp_ms,max_file_descriptors,open_file_descriptors
1485174520456,64000,199
1485174523619,64000,199
1485174527116,64000,199
1485174530139,64000,205
1485174533324,64000,207
1485174536325,64000,207
1485174539733,64000,207
1485174542772,64000,207
1485174546059,64000,211
1485174549077,64000,211
1485174552771,64000,211
1485174556113,64000,211
1485174559132,64000,211
1485174562315,64000,211
1485174565408,64000,211
1485174568742,64000,211
1485174571769,64000,211
1485174574920,64000,211
1485174578098,64000,211
1485174581386,64000,211
1485174584475,64000,211
1485174587494,64000,211
1485174590721,64000,211
1485174593960,64000,211
1485174598604,64000,211
1485174601860,64000,211
1485174605389,64000,211
1485174608410,64000,211
1485174611672,64000,211
1485174614706,64000,211
1485174617733,64000,211
1485174620757,64000,211
1485174622971,64000,207
1485174626479,64000,207
1485174629868,64000,203
1485174633050,64000,207
1485174636196,64000,207
1485174639671,64000,219
1485174642686,64000,219
1485174645705,64000,219
1485174647964,64000,219
1485174650986,64000,221
1485174655266,64000,219
1485174658743,64000,219
1485174661841,64000,214
1485174665011,64000,212
1485174668069,64000,213
1485174671176,64000,216
1485174674502,64000,220
1485174679394,64000,227
1485174682490,64000,234
1485174685600,64000,233
1485174689029,64000,231
1485174692465,64000,236
1485174695560,64000,238
1485174698602,64000,246
1485174702094,64000,243
1485174705213,64000,243
1485174708718,64000,243
1485174712915,64000,246
1485174715989,64000,246
1485174720337,64000,243
1485174722780,64000,244
1485174725794,64000,246
1485174728809,64000,250
1485174732423,64000,249
1485174735586,64000,247
1485174738646,64000,242
1485174742963,64000,242
1485174745454,64000,244
1485174748471,64000,239
1485174751486,64000,238
1485174756098,64000,239
1485174759219,64000,246
1485174761315,64000,250
1485174766068,64000,256
1485174769128,64000,255
1485174772855,64000,262
1485174776579,64000,265
1485174780364,64000,263
1485174783823,64000,266
1485174787118,64000,242
1485174790569,64000,245
1485174793719,64000,250
1485174798109,64000,251
1485174801694,64000,256
1485174805114,64000,263
1485174808158,64000,266
1485174811468,64000,263
1485174814902,64000,265
1485174818181,64000,272
1485174821949,64000,249
1485174825064,64000,258
1485174828260,64000,260
1485174830898,64000,260
1485174834486,64000,260
1485174837663,64000,260
1485174840772,64000,262
1485174843855,64000,263
1485174848284,64000,268
1485174851725,64000,265
1485174854926,64000,270
1485174858407,64000,274
1485174861878,64000,287
1485174868182,64000,292
1485174872906,64000,282
1485174875931,64000,286
1485174879375,64000,272
1485174883507,64000,285
1485174886522,64000,290
1485174890044,64000,286
1485174893990,64000,289
1485174897277,64000,298
1485174901011,64000,296
1485174904881,64000,307
1485174908185,64000,287
1485174911792,64000,298
1485174915568,64000,304
1485174918958,64000,303
1485174922363,64000,313
1485174925374,64000,314
1485174928611,64000,308
1485174936128,64000,308
1485174939237,64000,320
1485174942249,64000,325
1485174945558,64000,313
1485174948891,64000,304
1485174952086,64000,310
1485174955189,64000,314
1485174958665,64000,306
1485174962481,64000,313
1485174965736,64000,320
1485174969177,64000,318
1485174972874,64000,323
1485174976227,64000,316
1485174980847,64000,321
1485174983479,64000,312
1485174986973,64000,323
1485174990040,64000,323
1485174993741,64000,310
1485174997084,64000,313
1485175000114,64000,315
1485175004231,64000,306
1485175007462,64000,302
1485175010487,64000,309
1485175014979,64000,298
1485175018157,64000,306
1485175021836,64000,300
1485175026140,64000,296
1485175029824,64000,312
1485175032971,64000,320
1485175036811,64000,320
1485175040213,64000,319
1485175043758,64000,307
1485175047927,64000,316
1485175051302,64000,329
1485175054897,64000,335
1485175059068,64000,338
1485175062197,64000,326
1485175065493,64000,326
1485175069324,64000,331
1485175072627,64000,305
1485175075936,64000,308
1485175079449,64000,322
1485175082770,64000,319
1485175086792,64000,320
1485175090199,64000,329
1485175093587,64000,327
1485175096766,64000,337
1485175100744,64000,331
1485175103917,64000,310
1485175107475,64000,317
1485175114248,64000,328
1485175117902,64000,330
1485175122408,64000,304
1485175125620,64000,305
1485175128834,64000,306
1485175132578,64000,302
1485175135627,64000,298
1485175139738,64000,313
1485175143747,64000,320
1485175146763,64000,321
1485175150210,64000,332
1485175154315,64000,340
1485175157491,64000,333
1485175160875,64000,338
1485175164727,64000,336
1485175167747,64000,338
1485175171110,64000,326
1485175175025,64000,301
1485175178239,64000,308
1485175181525,64000,313
1485175185716,64000,307
1485175189763,64000,312
1485175193012,64000,323
1485175196860,64000,333
1485175200130,64000,326
1485175203646,64000,339
1485175207707,64000,344
1485175210800,64000,341
1485175214051,64000,358
1485175217195,64000,350
1485175220670,64000,337
1485175223707,64000,338
1485175228163,64000,338
1485175232043,64000,350
1485175235507,64000,337
1485175238963,64000,350
1485175242810,64000,357
1485175246099,64000,363
1485175249441,64000,370
1485175253163,64000,376
1485175256793,64000,375
1485175260331,64000,375
1485175264435,64000,373
1485175267981,64000,370
1485175271008,64000,378
1485175275831,64000,393
1485175278964,64000,397
1485175282096,64000,395
1485175286662,64000,372
1485175289753,64000,364
1485175293140,64000,368
1485175296726,64000,374
1485175300164,64000,380
1485175303820,64000,381
1485175307343,64000,377
1485175310710,64000,382
1485175313991,64000,363
1485175317983,64000,355
1485175321289,64000,360
1485175324475,64000,364
1485175327907,64000,369
1485175331312,64000,367
1485175334490,64000,359
1485175338565,64000,368
1485175341881,64000,374
1485175345082,64000,383
1485175349422,64000,369
1485175352577,64000,356
1485175355860,64000,338
1485175359393,64000,341
1485175362704,64000,351
1485175365950,64000,352
1485175369045,64000,351
1485175373122,64000,360
1485175377085,64000,368
1485175380164,64000,369
1485175383697,64000,371
1485175387472,64000,380
1485175390716,64000,378
1485175394221,64000,391
1485175397844,64000,402
1485175401229,64000,404
1485175404688,64000,381
1485175408382,64000,362
1485175411421,64000,352
1485175414482,64000,355
1485175420918,64000,342
1485175423941,64000,336
1485175427046,64000,328
1485175430223,64000,350
1485175433410,64000,354
1485175436556,64000,361
1485175439761,64000,368
1485175442861,64000,357
1485175446188,64000,345
1485175449269,64000,345
1485175452287,64000,350
1485175455475,64000,357
1485175458559,64000,380
1485175461611,64000,380
1485175464635,64000,370
1485175467660,64000,372
1485175470786,64000,366
1485175473807,64000,366
1485175476814,64000,375
