timestamp_ms,total_virtual_in_bytes
1485174343923,4822499328
1485174346961,4822499328
1485174349973,4822638592
1485174353027,4828954624
1485174356044,4828954624
1485174359189,4828954624
1485174362225,4828954624
1485174365248,4833157120
1485174368307,4833157120
1485174371582,4833157120
1485174374604,4833157120
1485174377659,4833157120
1485174380683,4833157120
1485174383726,4833157120
1485174386854,4833157120
1485174389939,4833157120
1485174392950,4835262464
1485174395971,4835262464
1485174398991,4835262464
1485174402040,4836315136
1485174405250,4839473152
1485174408299,4839473152
1485174412598,4840525824
1485174415998,4841730048
1485174419098,4841730048
1485174422386,4841730048
1485174425420,4841730048
1485174429191,4846694400
1485174432072,4850188288
1485174435571,4850188288
1485174438057,4850188288
1485174441358,4850188288
1485174444890,4850188288
1485174448274,4850188288
1485174451563,4850188288
1485174454665,4852436992
1485174457217,4854611968
1485174460871,4854611968
1485174464638,4854611968
1485174467686,4856934400
1485174470744,4859101184
1485174474491,4859101184
1485174477602,4859101184
1485174480666,4859101184
1485174483699,4859101184
1485174485745,4859101184
1485174489740,4859101184
1485174491998,4859101184
1485174495857,4859101184
1485174499179,4859101184
1485174502274,4861657088
1485174505438,4861657088
1485174508475,4861657088
1485174511519,4861657088
1485174514533,4861657088
1485174517263,4861657088
1485174520361,4861657088
1485174523584,4861657088
1485174526982,4861657088
1485174530136,4861657088
1485174533322,4861657088
1485174536343,4861657088
1485174539750,4861657088
1485174542774,4861657088
1485174546011,4861657088
1485174549230,4861657088
1485174552817,4861657088
1485174556111,4861657088
1485174559130,4861657088
1485174562323,4861657088
1485174565539,4861657088
1485174568757,4861657088
1485174571767,4863303680
1485174574979,4864987136
1485174578149,4867432448
1485174581456,4867432448
1485174584478,4867809280
1485174587497,4869402624
1485174590729,4869402624
1485174593958,4871196672
1485174598585,4872998912
1485174602372,4873887744
1485174605392,4873887744
1485174608413,4873887744
1485174611678,4873887744
1485174614710,4873887744
1485174617742,4873887744
1485174620764,4873887744
1485174622970,4873887744
1485174626476,4874817536
1485174629992,4877414400
1485174633179,4877414400
1485174636193,4875767808
1485174639366,4878925824
1485174642688,4878925824
1485174645704,4880621568
1485174647962,4880621568
1485174650985,4880621568
1485174655668,4883828736
1485174658788,4883828736
1485174661882,4883828736
1485174664935,4881383424
1485174668031,4881383424
1485174671214,4881383424
1485174674498,4883001344
1485174679393,4883001344
1485174682505,4883001344
1485174685704,4883001344
1485174689053,4883001344
1485174692354,4883001344
1485174695483,4883001344
1485174698605,4883001344
1485174702092,4883001344
1485174705214,4883001344
1485174709041,4883001344
1485174712911,4883001344
1485174717189,4883001344
1485174720373,4883001344
1485174722769,4883001344
1485174725791,4883001344
1485174730079,4883001344
1485174732326,4883001344
1485174735432,4883001344
1485174738644,4884615168
1485174743025,4884615168
1485174745312,4887056384
1485174748463,4885463040
1485174752835,4885463040
1485174756091,4887060480
1485174759120,4887060480
1485174762378,4888424448
1485174766017,4888424448
1485174769635,4888424448
1485174773067,4890038272
1485174777341,4891652096
1485174780438,4891652096
1485174783676,4894760960
1485174787496,4894760960
1485174790680,4896301056
1485174793985,4897894400
1485174798627,4897894400
1485174801871,4899618816
1485174805138,4899618816
1485174808349,4901199872
1485174811465,4901199872
1485174814865,4901199872
1485174818048,4901199872
1485174822003,4901457920
1485174825053,4901199872
1485174828192,4902330368
1485174830946,4903399424
1485174834488,4903399424
1485174837657,4903399424
1485174840766,4903399424
1485174844202,4903399424
1485174848504,4903399424
1485174851787,4903399424
1485174854982,4903399424
1485174858568,4903399424
1485174861875,4903399424
1485174869186,4905787392
1485174872816,4905787392
1485174875930,4905787392
1485174879227,4909891584
1485174883240,4906717184
1485174886521,4906717184
1485174890196,4906717184
1485174893989,4908122112
1485174897275,4910948352
1485174900963,4913795072
1485174905154,4910624768
1485174908184,4911935488
1485174911721,4911935488
1485174915566,4911935488
1485174918952,4911935488
1485174922279,4908736512
1485174925400,4908736512
1485174928541,4908736512
1485174936103,4910034944
1485174939145,4910034944
1485174942298,4913897472
1485174945561,4913897472
1485174948890,4913897472
1485174952088,4913897472
1485174955159,4912828416
1485174958839,4915904512
1485174962403,4910788608
1485174965564,4910788608
1485174969080,4910788608
1485174972486,4910788608
1485174975903,4907683840
1485174980816,4909096960
1485174983482,4909096960
1485174986683,4909096960
1485174990037,4909096960
1485174993720,4909096960
1485174996867,4910469120
1485175001272,4910473216
1485175004204,4910473216
1485175007349,4910473216
1485175011922,4910473216
1485175014944,4910473216
1485175018120,4910473216
1485175022661,4911841280
1485175026151,4911841280
1485175029399,4913872896
1485175033126,4912697344
1485175036911,4914413568
1485175039955,4914413568
1485175044903,4914413568
1485175047923,4914413568
1485175051271,4916006912
1485175054896,4916338688
1485175058738,4916006912
1485175062187,4916006912
1485175065658,4916006912
1485175069319,4916006912
1485175072460,4916006912
1485175075934,4916006912
1485175079394,4916006912
1485175082737,4916006912
1485175086934,4918120448
1485175090576,4918120448
1485175093593,4918120448
1485175096763,4918120448
1485175100637,4922744832
1485175103770,4922744832
1485175108811,4922744832
1485175114024,4922744832
1485175119372,4922744832
1485175122410,4919799808
1485175125433,4919799808
1485175128964,4919799808
1485175132583,4919799808
1485175135604,4919799808
1485175141033,4919799808
1485175143640,4919799808
1485175146761,4919799808
1485175150211,4920307712
1485175154312,4919799808
1485175157483,4919799808
1485175160872,4919799808
1485175164733,4919799808
1485175167745,4919799808
1485175171108,4919799808
1485175175116,4919799808
1485175178133,4919799808
1485175182651,4923822080
1485175185715,4923822080
1485175189311,4923822080
1485175193011,4925927424
1485175196862,4925927424
1485175200134,4927823872
1485175203751,4921229312
1485175207710,4916387840
1485175210727,4916387840
1485175214048,4916387840
1485175217259,4918214656
1485175220676,4910690304
1485175224745,4910690304
1485175228540,4910690304
1485175231576,4910690304
1485175235605,4910690304
1485175239105,4910690304
1485175242498,4910690304
1485175246137,4912877568
1485175249443,4912877568
1485175253147,4912877568
1485175256673,4912877568
1485175261541,4912877568
1485175264552,4912877568
1485175267979,4917104640
1485175271010,4917104640
1485175274424,4917104640
1485175278957,4917104640
1485175283097,4917891072
1485175286177,4917891072
1485175289754,4917891072
1485175293157,4917891072
1485175296723,4922429440
1485175300669,4922429440
1485175303842,4921401344
1485175307432,4921401344
1485175310706,4921401344
1485175314003,4923449344
1485175317646,4924936192
1485175321358,4924936192
1485175324612,4924936192
1485175327904,4924936192
1485175331459,4924936192
1485175335112,4924936192
1485175338640,4926857216
1485175341974,4926857216
1485175345135,4926857216
1485175348315,4926857216
1485175352448,4926857216
1485175355868,4926857216
1485175359493,4926857216
1485175362697,4926857216
1485175365931,4929089536
1485175369051,4927713280
1485175373116,4927713280
1485175377127,4927713280
1485175380162,4927713280
1485175383566,4931194880
1485175387588,4932976640
1485175390757,4933115904
1485175394220,4933115904
1485175397842,4940091392
1485175401220,4940091392
1485175404688,4941697024
1485175408380,4943114240
1485175411421,4943732736
1485175414630,4943732736
1485175417664,4943732736
1485175420899,4943732736
1485175423938,4946022400
1485175427043,4938240000
1485175430223,4938022912
1485175433546,4939833344
1485175436561,4939833344
1485175439583,4939833344
1485175442864,4943921152
1485175446190,4943921152
1485175449271,4943921152
1485175452314,4943921152
1485175455472,4941049856
1485175458553,4938407936
1485175461611,4929929216
1485175464637,4932030464
1485175467658,4927250432
1485175470784,4927250432
1485175473806,4927250432
1485175476813,4927250432
