timestamp_ms,heap_committed_in_bytes,heap_max_in_bytes,heap_used_in_bytes
1485174277484,259522560,1038876672,59920808
1485174280537,259522560,1038876672,82515528
1485174283548,259522560,1038876672,82515528
1485174286555,259522560,1038876672,83236632
1485174289564,259522560,1038876672,62697768
1485174292621,259522560,1038876672,61295760
1485174295627,259522560,1038876672,132595440
1485174298634,259522560,1038876672,137670144
1485174301640,259522560,1038876672,143714376
1485174304649,259522560,1038876672,152088504
1485174307659,259522560,1038876672,141616416
1485174310666,259522560,1038876672,155779048
1485174313717,259522560,1038876672,202611096
1485174316736,259522560,1038876672,105833528
1485174319772,259522560,1038876672,74366480
1485174322800,259522560,1038876672,144168080
1485174325813,259522560,1038876672,116365264
1485174328834,259522560,1038876672,140748056
1485174331855,259522560,1038876672,188692896
1485174334875,259522560,1038876672,65816800
1485174337890,259522560,1038876672,68613504
1485174340901,259522560,1038876672,74392592
1485174343920,259522560,1038876672,110846648
1485174346947,259522560,1038876672,124885680
1485174349973,259522560,1038876672,93735192
1485174353028,259522560,1038876672,150086424
1485174356048,259522560,1038876672,158089392
1485174359155,259522560,1038876672,171424072
1485174362226,259522560,1038876672,180619880
1485174365249,259522560,1038876672,162203832
1485174368303,259522560,1038876672,74672176
1485174371585,259522560,1038876672,83396184
1485174374607,259522560,1038876672,84621792
1485174377663,259522560,1038876672,144544448
1485174380681,259522560,1038876672,169067896
1485174383723,259522560,1038876672,130601488
1485174386776,259522560,1038876672,188302696
1485174389939,259522560,1038876672,110154240
1485174392953,259522560,1038876672,62377208
1485174395969,259522560,1038876672,63981536
1485174398994,259522560,1038876672,94640616
1485174402038,259522560,1038876672,144695576
1485174405233,259522560,1038876672,133629432
1485174408304,259522560,1038876672,143619088
1485174412851,259522560,1038876672,117653112
1485174415962,259522560,1038876672,155756664
1485174419274,259522560,1038876672,190079832
1485174422217,259522560,1038876672,160469440
1485174425400,259522560,1038876672,167923288
1485174429133,259522560,1038876672,90729288
1485174432062,259522560,1038876672,158497456
1485174435575,259522560,1038876672,137695016
1485174438045,259522560,1038876672,181040120
1485174441361,259522560,1038876672,179747784
1485174445371,259522560,1038876672,157635056
1485174448218,259522560,1038876672,98731216
1485174450509,259522560,1038876672,126849216
1485174454664,259522560,1038876672,151643040
1485174457412,259522560,1038876672,130935016
1485174460862,259522560,1038876672,175160904
1485174464016,259522560,1038876672,171692312
1485174467689,259522560,1038876672,166781848
1485174470746,259522560,1038876672,167135552
1485174474453,259522560,1038876672,162540384
1485174477603,259522560,1038876672,186066368
1485174480632,259522560,1038876672,127002240
1485174483711,259522560,1038876672,99795680
1485174486725,259522560,1038876672,120939200
1485174489741,259522560,1038876672,171087496
1485174492011,259522560,1038876672,150693736
1485174495861,259522560,1038876672,175248104
1485174499221,259522560,1038876672,127595584
1485174502233,259522560,1038876672,120588408
1485174505439,259522560,1038876672,155838552
1485174508473,259522560,1038876672,190761048
1485174511521,259522560,1038876672,203633288
1485174514537,259522560,1038876672,124697360
1485174517267,259522560,1038876672,128732480
1485174520361,259522560,1038876672,133288192
1485174523582,259522560,1038876672,188862088
1485174527003,259522560,1038876672,222921392
1485174530131,259522560,1038876672,173066584
1485174533328,259522560,1038876672,143234800
1485174536340,259522560,1038876672,171758376
1485174539735,259522560,1038876672,196403544
1485174542764,259522560,1038876672,178300128
1485174546011,259522560,1038876672,197496016
1485174549227,259522560,1038876672,203227520
1485174552697,259522560,1038876672,155746624
1485174556116,259522560,1038876672,151364312
1485174559135,259522560,1038876672,168564440
1485174562378,259522560,1038876672,144987960
1485174565400,259522560,1038876672,173350536
1485174568744,259522560,1038876672,180855336
1485174571772,270557184,1038876672,186377568
1485174574924,270557184,1038876672,185360320
1485174578117,270557184,1038876672,159101760
1485174581389,270557184,1038876672,123776768
1485174584477,270557184,1038876672,158362832
1485174587528,270557184,1038876672,186000168
1485174590727,270557184,1038876672,183966232
1485174593961,270557184,1038876672,199305416
1485174598843,270557184,1038876672,162273200
1485174601867,270557184,1038876672,158851592
1485174605394,270557184,1038876672,180978344
1485174608413,270557184,1038876672,213807328
1485174611677,270557184,1038876672,137192744
1485174614708,270557184,1038876672,190027880
1485174617740,270557184,1038876672,113262536
1485174620764,270557184,1038876672,145437984
1485174622972,270557184,1038876672,150286448
1485174626480,270557184,1038876672,189499376
1485174629869,270557184,1038876672,221206512
1485174633086,270557184,1038876672,188060136
