timestamp_ms,size_in_bytes
1485174344113,0
1485174347294,0
1485174350355,0
1485174353377,9222192
1485174356394,10049478
1485174359463,14485065
1485174362487,19253634
1485174365510,20722695
1485174368731,36534863
1485174371882,37809566
1485174374914,60194537
1485174377979,60194537
1485174381289,63231644
1485174384302,78674969
1485174387324,94128952
1485174390400,97428638
1485174393649,97428638
1485174396667,100522316
1485174399716,103851851
1485174402762,106871307
1485174405789,106871307
1485174408806,106871307
1485174412456,137829451
1485174415947,141242034
1485174419090,141242034
1485174422342,151517613
1485174425418,156562208
1485174429186,156589171
1485174432390,139329785
1485174435569,148912129
1485174438697,158202793
1485174441751,158202793
1485174444857,150982810
1485174448401,166076784
1485174451504,166076784
1485174454662,171516524
1485174457844,176119032
1485174460859,177602698
1485174463889,183940366
1485174468474,172873619
1485174471559,165258619
1485174474578,171045263
1485174477601,171462939
1485174480641,173379335
1485174483691,161904248
1485174486733,176542202
1485174489762,179458709
1485174492815,181447322
1485174495843,190929786
1485174499186,192377405
1485174502302,196765020
1485174505436,198185502
1485174508452,208539930
1485174511636,208539930
1485174514665,213913273
1485174517676,213913273
1485174520691,202838097
1485174523716,202838097
1485174526980,207119566
1485174530133,210687065
1485174533340,212744916
1485174536355,214987706
1485174539697,216695707
1485174542769,222637646
1485174546007,227014087
1485174549075,230785333
1485174552813,236752300
1485174556168,243722731
1485174559298,246059609
1485174562313,246708180
1485174565536,259300747
1485174568871,264587165
1485174571890,266629091
1485174574977,266850232
1485174578094,292554578
1485174581448,296354313
1485174584473,305876045
1485174587493,305876045
1485174590716,283641629
1485174594007,291246584
1485174598583,295686732
1485174601975,293710950
1485174605387,298623021
1485174608408,298623021
1485174611664,298623021
1485174614702,302047359
1485174617730,296677411
1485174620756,296677411
1485174623792,308499797
1485174626812,324360862
1485174629987,324776526
1485174633047,311549977
1485174636206,312705969
1485174639362,335479994
1485174642685,335479994
1485174645703,322533728
1485174648723,315576300
1485174651854,314019839
1485174655264,319979882
1485174658739,310936666
1485174661839,294833653
1485174664934,274501303
1485174668024,285230401
1485174671213,286728700
1485174674483,289371476
1485174679868,300820329
1485174682977,303397883
1485174686185,297901737
1485174689615,297901737
1485174692781,300287408
1485174695867,303162141
1485174699156,310680134
1485174702180,312970906
1485174705205,312970906
1485174708696,320729901
1485174713765,323665101
1485174716973,326161890
1485174720305,344470351
1485174723481,347292693
1485174726556,347292693
1485174729684,357124342
1485174733091,358093577
1485174736257,359542324
1485174739529,365222096
1485174742960,378709539
1485174746101,380752655
1485174749166,380752655
1485174752294,378188431
1485174756089,379650272
1485174759117,389636467
1485174762265,381199471
1485174765970,399140328
1485174769143,406150283
1485174772679,389788992
1485174776577,395710014
1485174780349,382352054
1485174783621,386203882
1485174787119,376477221
1485174790553,384042598
1485174793812,368753530
1485174798084,370808336
1485174801669,375604817
1485174805032,377938737
1485174808235,383957886
1485174811463,386174772
1485174814822,377623065
1485174818025,379375506
1485174822001,378502927
1485174825027,379947325
1485174828190,383160525
1485174831274,386942920
1485174834511,389698481
1485174837675,400067494
1485174840952,400859176
1485174844198,399515565
1485174848502,412544000
1485174851918,417793790
1485174854937,424590804
1485174858676,447312554
1485174861883,450742185
1485174864921,450742185
1485174868171,454550240
1485174872793,466156373
1485174875915,466156373
1485174879373,486510253
1485174883230,492636719
1485174886559,492636719
1485174890032,503590648
1485174894715,490800511
1485174897796,490800511
1485174900831,501057117
1485174905152,506484410
1485174908186,506484410
1485174911777,502268221
1485174915608,504653935
1485174918950,504653935
1485174922375,486911226
1485174925966,492741236
1485174929486,492741236
1485174936101,493546185
1485174939141,493921444
1485174942357,493921444
1485174945719,495443050
1485174948954,505485856
1485174952127,505920134
1485174955150,505920134
1485174958835,509359305
1485174962401,506063171
1485174965546,506063171
1485174969098,477081669
1485174972479,486036586
1485174976076,486036586
1485174980815,464527747
1485174983862,464527747
1485174986886,464527747
1485174990093,476178730
1485174993705,477301562
1485174996869,477301562
1485175000793,484729505
1485175004292,480699682
1485175007330,480699682
1485175011334,492857485
1485175014942,497590130
1485175018113,497590130
1485175021777,516049833
1485175026123,518267171
1485175029405,518267171
1485175033125,507098774
1485175036909,517701378
1485175039942,517701378
1485175043740,530347390
1485175047957,536434146
1485175051368,536434146
1485175054942,552956452
1485175058922,546758880
1485175062185,546758880
1485175065525,548920707
1485175069446,555355943
1485175072458,555355943
1485175075933,562204898
1485175079392,570821319
1485175082735,570821319
1485175086931,565045574
1485175090516,568198145
1485175093598,568198145
1485175097404,564698474
1485175100635,567943084
1485175103768,567943084
1485175107454,581181042
1485175114023,581181042
1485175117850,584238495
1485175122404,584238495
1485175125421,584238495
1485175128963,565847321
1485175132574,575928818
1485175135602,575928818
1485175139506,588029174
1485175144082,588029174
1485175147101,588029174
1485175150407,594865913
1485175154320,598754020
