timestamp_ms,collection_count
1485174520456,1
1485174523619,1
1485174527116,1
1485174530139,1
1485174533324,1
1485174536326,1
1485174539733,1
1485174542772,1
1485174546059,1
1485174549077,1
1485174552771,1
1485174556114,1
1485174559132,1
1485174562316,1
1485174565416,1
1485174568743,1
1485174571769,1
1485174574920,1
1485174578098,1
1485174581386,1
1485174584476,1
1485174587494,1
1485174590721,1
1485174593964,1
1485174598604,1
1485174601860,1
1485174605390,1
1485174608410,1
1485174611673,1
1485174614707,1
1485174617733,1
1485174620758,1
1485174622971,1
1485174626479,1
1485174629868,1
1485174633051,1
1485174636196,1
1485174639671,1
1485174642687,2
1485174645706,2
1485174647965,2
1485174650987,2
1485174655267,2
1485174658743,2
1485174661842,2
1485174665012,2
1485174668069,2
1485174671177,2
1485174674502,2
1485174679394,2
1485174682490,2
1485174685600,2
1485174689029,2
1485174692466,3
1485174695560,3
1485174698603,3
1485174702094,3
1485174705213,3
1485174708719,3
1485174712915,3
1485174715989,3
1485174720337,3
1485174722780,3
1485174725795,3
1485174728809,3
1485174732424,3
1485174735587,4
1485174738646,4
1485174742964,4
1485174745455,4
1485174748472,4
1485174751486,4
1485174756099,4
1485174759219,4
1485174761315,4
1485174766069,4
1485174769128,4
1485174772856,4
1485174776579,4
1485174780364,5
1485174783823,5
1485174787124,5
1485174790588,5
1485174793719,5
1485174798109,5
1485174801694,5
1485174805114,5
1485174808159,5
1485174811468,5
1485174814941,6
1485174818181,6
1485174821950,6
1485174825073,6
1485174828260,6
1485174830898,6
1485174834486,6
1485174837664,6
1485174840772,6
1485174843855,6
1485174848284,7
1485174851725,7
1485174854927,7
1485174858407,7
1485174861878,7
1485174864925,7
1485174868182,7
1485174872906,7
1485174875931,7
1485174879381,7
1485174883507,7
1485174886523,7
1485174890044,7
1485174893990,7
1485174897277,8
1485174901011,8
1485174904881,8
1485174908185,8
1485174911792,8
1485174915568,8
1485174918962,8
1485174922364,8
1485174925400,8
1485174928612,8
1485174936128,8
1485174939237,8
1485174942249,8
1485174945559,9
1485174948891,9
1485174952086,9
1485174955189,9
1485174958666,9
1485174962487,9
1485174965736,9
1485174969177,9
1485174972874,9
1485174976227,9
1485174980848,10
1485174983480,10
1485174986973,10
1485174990040,10
1485174993741,10
1485174997085,10
1485175000114,10
1485175004231,10
1485175007462,11
1485175010487,11
1485175014979,11
1485175018157,11
1485175021837,11
1485175026141,11
1485175029824,11
1485175032972,11
1485175036811,12
1485175040214,12
1485175043759,12
1485175047981,12
1485175051303,12
1485175054898,12
1485175059068,12
1485175062204,13
1485175065493,13
1485175069324,13
1485175072628,13
1485175075936,13
1485175079449,13
1485175082770,13
1485175086793,14
1485175090199,14
1485175093588,14
1485175096766,14
1485175100745,14
1485175103917,14
1485175107475,14
1485175114248,15
1485175117902,15
1485175122409,15
1485175125621,15
1485175128834,15
1485175132578,15
1485175135627,15
1485175139739,15
1485175143748,16
1485175146763,16
1485175150210,16
1485175154315,16
1485175157491,16
1485175160876,16
1485175164727,16
1485175167760,16
1485175171110,16
1485175175025,17
1485175178240,17
1485175181525,17
1485175185716,17
1485175189763,17
1485175193013,17
1485175196860,17
1485175200131,18
1485175203646,18
1485175207713,18
1485175210800,18
1485175214051,18
1485175217196,18
1485175220670,18
1485175223707,18
1485175228164,18
1485175232143,18
1485175235512,19
1485175238998,19
1485175242811,19
1485175246099,19
1485175249442,19
1485175253164,19
1485175256794,19
1485175260331,20
1485175264436,20
1485175267981,20
1485175271008,20
1485175275831,20
1485175278964,21
1485175282096,21
1485175286662,21
1485175289754,21
1485175293141,21
1485175296727,22
1485175300165,22
1485175303821,22
1485175307343,22
1485175310710,22
1485175313992,22
1485175317984,22
1485175321290,23
1485175324476,23
1485175327907,23
1485175331312,23
1485175334491,23
1485175338566,23
1485175341881,24
1485175345084,24
1485175349422,24
1485175352577,24
1485175355861,24
1485175359394,24
1485175362704,25
1485175365950,25
1485175369045,25
1485175373123,25
1485175377086,25
1485175380165,25
1485175383697,25
1485175387472,25
1485175390716,26
1485175394221,26
1485175397844,26
1485175401229,26
1485175404688,27
1485175408382,27
1485175411422,27
1485175414482,27
1485175417881,28
1485175420918,28
1485175423941,28
1485175427046,28
1485175430224,29
1485175433410,29
1485175436557,29
1485175439761,30
1485175442861,30
1485175446188,30
1485175449269,31
1485175452288,31
1485175455476,31
1485175458559,31
1485175461611,31
1485175464636,31
1485175467661,31
1485175470787,31
1485175473807,31
1485175476814,31
