timestamp_ms,heap_committed_in_bytes,heap_max_in_bytes,heap_used_in_bytes
1485174520456,259522560,1038876672,63352832
1485174523619,259522560,1038876672,69084272
1485174527116,259522560,1038876672,74815432
1485174530139,259522560,1038876672,85159248
1485174533324,259522560,1038876672,94029792
1485174536326,259522560,1038876672,45935488
1485174539733,259522560,1038876672,57647944
1485174542772,259522560,1038876672,64917504
1485174546059,259522560,1038876672,79506608
1485174549077,259522560,1038876672,96621920
1485174552771,259522560,1038876672,58153032
1485174556114,259522560,1038876672,72032184
1485174559132,259522560,1038876672,85445272
1485174562316,259522560,1038876672,96352544
1485174565416,259522560,1038876672,108337224
1485174568743,259522560,1038876672,67877200
1485174571769,259522560,1038876672,87763648
1485174574920,259522560,1038876672,107284496
1485174578098,259522560,1038876672,122807872
1485174581386,259522560,1038876672,133036920
1485174584476,259522560,1038876672,93077352
1485174587494,259522560,1038876672,114447584
1485174590721,259522560,1038876672,132457480
1485174593964,259522560,1038876672,142587784
1485174598604,259522560,1038876672,114530008
1485174601860,259522560,1038876672,126500040
1485174605390,259522560,1038876672,138555952
1485174608410,259522560,1038876672,154239376
1485174611673,259522560,1038876672,172827616
1485174614707,259522560,1038876672,131426336
1485174617733,259522560,1038876672,141016632
1485174620758,259522560,1038876672,151456352
1485174622971,259522560,1038876672,163605440
1485174626479,259522560,1038876672,174451936
1485174629868,259522560,1038876672,177352328
1485174633051,259522560,1038876672,179014296
1485174636196,259522560,1038876672,188043048
1485174639671,259522560,1038876672,169124760
1485174642687,259522560,1038876672,102675104
1485174645706,259522560,1038876672,87597000
1485174647965,259522560,1038876672,131599752
1485174650987,259522560,1038876672,119312248
1485174655267,259522560,1038876672,159701960
1485174658743,259522560,1038876672,119033824
1485174661842,259522560,1038876672,106549520
1485174665012,259522560,1038876672,130713216
1485174668069,259522560,1038876672,104198744
1485174671177,259522560,1038876672,147418152
1485174674502,259522560,1038876672,119363968
1485174679394,259522560,1038876672,167339824
1485174682490,259522560,1038876672,143670632
1485174685600,259522560,1038876672,171005280
1485174689029,259522560,1038876672,207304504
1485174692466,259522560,1038876672,86362600
1485174695560,259522560,1038876672,82071320
1485174698603,259522560,1038876672,86841440
1485174702094,259522560,1038876672,128851024
1485174705213,259522560,1038876672,104805880
1485174708719,259522560,1038876672,142302000
1485174712915,259522560,1038876672,145287536
1485174715989,259522560,1038876672,145787928
1485174720337,259522560,1038876672,142548792
1485174722780,259522560,1038876672,183356216
1485174725795,259522560,1038876672,186952712
1485174728809,259522560,1038876672,190973240
1485174732424,259522560,1038876672,203231496
1485174735587,259522560,1038876672,143402296
1485174738646,259522560,1038876672,142604416
1485174742964,259522560,1038876672,121913360
1485174745455,259522560,1038876672,113292432
1485174748472,259522560,1038876672,175279088
1485174751486,259522560,1038876672,120658952
1485174756099,259522560,1038876672,177251696
1485174759219,259522560,1038876672,178140504
1485174761315,259522560,1038876672,166580704
1485174766069,259522560,1038876672,148165024
1485174769128,259522560,1038876672,167051312
1485174772856,259522560,1038876672,178802232
