timestamp_ms,count,peak_count
1485174343923,46,46
1485174346962,46,46
1485174349973,46,46
1485174353030,52,52
1485174356044,52,52
1485174359189,52,52
1485174362225,52,52
1485174365248,54,54
1485174368308,54,54
1485174371583,54,54
1485174374604,54,54
1485174377660,54,54
1485174380684,54,54
1485174383731,54,54
1485174386867,54,54
1485174389940,54,54
1485174392950,56,56
1485174395972,56,56
1485174398992,55,56
1485174402040,57,57
1485174405250,60,60
1485174408300,60,60
1485174412607,61,61
1485174416072,62,62
1485174419098,62,62
1485174422386,58,62
1485174425421,58,62
1485174429191,55,62
1485174432073,54,62
1485174435575,55,62
1485174438057,55,62
1485174441359,55,62
1485174444890,58,62
1485174448274,58,62
1485174451563,56,62
1485174454666,55,62
1485174457217,54,62
1485174460880,54,62
1485174464640,55,62
1485174467687,54,62
1485174470745,53,62
1485174474498,54,62
1485174477604,54,62
1485174480666,54,62
1485174483699,54,62
1485174485745,54,62
1485174489740,54,62
1485174491999,54,62
1485174495857,54,62
1485174499179,54,62
1485174502275,53,62
1485174505438,53,62
1485174508475,53,62
1485174511519,53,62
1485174514533,53,62
1485174517263,53,62
1485174520362,53,62
1485174523584,53,62
1485174526982,53,62
1485174530137,53,62
1485174533322,53,62
1485174536344,53,62
1485174539750,54,62
1485174542774,54,62
1485174546012,54,62
1485174549230,55,62
1485174552822,56,62
1485174556112,56,62
1485174559130,56,62
1485174562323,56,62
1485174565539,56,62
1485174568758,58,62
1485174571767,58,62
1485174574979,57,62
1485174578150,57,62
1485174581456,57,62
1485174584478,57,62
1485174587509,56,62
1485174590729,57,62
1485174593958,57,62
1485174598585,56,62
1485174602373,55,62
1485174605392,55,62
1485174608414,55,62
1485174611678,55,62
1485174614710,55,62
1485174617743,57,62
1485174620764,57,62
1485174622974,58,62
1485174626477,57,62
1485174629992,57,62
1485174633180,58,62
1485174636194,58,62
1485174639366,56,62
1485174642688,56,62
1485174645708,55,62
1485174647962,55,62
1485174650985,55,62
1485174655668,53,62
1485174658801,54,62
1485174661882,54,62
1485174664936,54,62
1485174668031,54,62
1485174671215,54,62
1485174674498,53,62
1485174679393,53,62
1485174682505,53,62
1485174685704,53,62
1485174689054,53,62
1485174692354,53,62
1485174695484,53,62
1485174698605,53,62
1485174702092,53,62
1485174705215,53,62
1485174709041,54,62
1485174712912,54,62
1485174717189,55,62
1485174720373,55,62
1485174722769,55,62
1485174725792,55,62
1485174730080,55,62
1485174732326,55,62
1485174735432,55,62
1485174738644,55,62
1485174743026,55,62
1485174745314,55,62
1485174748464,57,62
1485174752836,58,62
1485174756101,58,62
1485174759120,58,62
1485174762378,58,62
1485174766017,59,62
1485174769635,60,62
1485174773068,60,62
1485174777341,59,62
1485174780438,60,62
1485174783677,58,62
1485174787497,58,62
1485174790681,58,62
1485174793985,57,62
1485174798647,57,62
1485174801893,56,62
1485174805139,56,62
1485174808350,55,62
1485174811465,55,62
1485174814865,56,62
1485174818048,57,62
1485174822003,57,62
1485174825064,57,62
1485174828193,57,62
1485174830947,56,62
1485174834489,55,62
1485174837657,56,62
1485174840766,56,62
1485174844202,57,62
1485174848504,58,62
1485174851787,59,62
1485174854982,60,62
1485174858568,61,62
1485174861875,61,62
1485174864949,59,62
1485174869199,59,62
1485174872817,61,62
1485174875936,61,62
1485174879227,59,62
1485174883240,59,62
1485174886525,60,62
1485174890196,61,62
1485174893992,60,62
1485174897275,59,62
1485174900963,58,62
1485174905155,58,62
1485174908205,58,62
1485174911722,58,62
1485174915566,58,62
1485174918953,58,62
1485174922280,58,62
1485174925401,58,62
1485174928541,58,62
1485174936111,56,62
1485174939145,55,62
1485174942299,54,62
1485174945561,54,62
1485174948910,54,62
1485174952089,54,62
1485174955159,54,62
1485174958839,53,62
1485174962412,54,62
1485174965565,54,62
1485174969080,54,62
1485174972486,54,62
1485174975904,54,62
1485174980817,54,62
1485174983483,54,62
1485174986684,54,62
1485174990037,54,62
1485174993721,54,62
1485174996867,54,62
1485175001272,53,62
1485175004205,55,62
1485175007349,55,62
1485175011923,56,62
1485175014944,56,62
1485175018121,56,62
1485175022662,55,62
1485175026151,55,62
1485175029400,56,62
1485175033127,56,62
1485175036912,55,62
1485175039964,55,62
1485175044904,56,62
1485175047923,56,62
1485175051271,55,62
1485175054896,55,62
1485175058738,56,62
1485175062191,56,62
1485175065658,56,62
1485175069320,56,62
1485175072460,56,62
1485175075934,56,62
1485175079402,57,62
1485175082737,57,62
1485175086934,55,62
1485175090576,55,62
1485175093594,55,62
1485175096764,55,62
1485175100637,54,62
1485175103771,54,62
1485175108811,54,62
1485175114031,54,62
1485175119372,54,62
1485175122410,54,62
1485175125433,54,62
1485175128965,54,62
1485175132584,54,62
1485175135612,54,62
1485175141033,54,62
1485175143641,54,62
1485175146761,54,62
1485175150212,54,62
1485175154313,54,62
1485175157483,55,62
1485175160872,55,62
1485175164733,55,62
1485175167746,55,62
1485175171108,56,62
1485175175117,56,62
1485175178134,56,62
1485175182652,56,62
1485175185715,55,62
1485175189312,56,62
1485175193011,55,62
1485175196862,55,62
1485175200135,54,62
1485175203752,54,62
1485175207710,54,62
1485175210734,54,62
1485175214048,54,62
1485175217259,54,62
1485175220676,54,62
1485175224745,55,62
1485175228541,55,62
1485175231576,55,62
1485175235605,55,62
1485175239106,55,62
1485175242498,56,62
1485175246174,55,62
1485175249444,55,62
1485175253148,56,62
1485175256673,57,62
1485175261543,57,62
1485175264553,58,62
1485175267980,56,62
1485175271011,56,62
1485175274425,56,62
1485175278957,56,62
1485175283098,56,62
1485175286177,56,62
1485175289755,56,62
1485175293176,56,62
1485175296724,54,62
1485175300670,55,62
1485175303843,55,62
1485175307433,56,62
1485175310706,56,62
1485175314004,55,62
1485175317646,54,62
1485175321359,54,62
1485175324613,54,62
1485175327905,55,62
1485175331459,55,62
1485175335112,55,62
1485175338641,54,62
1485175341975,54,62
1485175345135,54,62
1485175348316,54,62
1485175352448,55,62
1485175355869,55,62
1485175359493,55,62
1485175362698,57,62
1485175365932,57,62
1485175369051,57,62
1485175373117,58,62
1485175377127,59,62
1485175380162,59,62
1485175383567,58,62
1485175387588,57,62
1485175390757,62,62
1485175394221,62,62
1485175397842,66,67
1485175401221,66,67
1485175404688,65,67
1485175408380,64,67
1485175411421,63,67
1485175414630,63,67
1485175417665,65,67
1485175420900,64,67
1485175423939,63,67
1485175427044,62,67
1485175430224,62,67
1485175433547,62,67
1485175436562,64,67
1485175439584,63,67
1485175442865,62,67
1485175446191,62,67
1485175449271,63,67
1485175452315,63,67
1485175455473,62,67
1485175458553,61,67
1485175461611,63,67
1485175464637,62,67
1485175467659,61,67
1485175470784,61,67
1485175473806,61,67
1485175476813,61,67
