timestamp_ms,percent
1485174277483,7
1485174280536,13
1485174283547,6
1485174286554,1
1485174289564,29
1485174292621,35
1485174295626,23
1485174298633,4
1485174301640,22
1485174304649,2
1485174307659,17
1485174310666,0
1485174313717,19
1485174316736,14
1485174319766,6
1485174322800,30
1485174325812,39
1485174328834,1
1485174331854,29
1485174334875,26
1485174337889,0
1485174340901,19
1485174343920,12
1485174346947,6
1485174349973,8
1485174353028,16
1485174356047,22
1485174359154,10
1485174362226,2
1485174365249,24
1485174368303,25
1485174371584,14
1485174374607,7
1485174377658,23
1485174380681,24
1485174383723,20
1485174386776,17
1485174389938,16
1485174392953,14
1485174395968,2
1485174398994,11
1485174402038,5
1485174405232,7
1485174408304,9
1485174412843,7
1485174415962,12
1485174419096,14
1485174422216,10
1485174425400,10
1485174429132,9
1485174432062,10
1485174435574,15
1485174438044,11
1485174441322,12
1485174445365,11
1485174448218,11
1485174450508,16
1485174454664,10
1485174457411,12
1485174460862,12
1485174463987,11
1485174467689,13
1485174470746,15
1485174474453,15
1485174477603,12
1485174480631,13
1485174483710,12
1485174486725,12
1485174489741,11
1485174491996,11
1485174495842,12
1485174499221,11
1485174502233,11
1485174505439,11
1485174508472,10
1485174511521,10
1485174514537,10
1485174517266,10
1485174520361,11
1485174523581,11
1485174527003,12
1485174530130,12
1485174533327,12
1485174536340,12
1485174539735,11
1485174542763,11
1485174546010,10
1485174549226,10
1485174552697,10
1485174556116,9
1485174559134,10
1485174562377,9
1485174565400,10
1485174568744,10
1485174571772,9
1485174574923,8
1485174578117,9
1485174581388,9
1485174584477,8
1485174587527,8
1485174590726,9
1485174593961,10
1485174598842,11
1485174601867,11
1485174605394,10
1485174608412,10
1485174611677,10
1485174614708,10
1485174617739,10
1485174620763,10
1485174622972,8
1485174626480,9
1485174629869,8
1485174633086,9
1485174636197,7
1485174639279,9
1485174642689,8
1485174645707,8
1485174647955,8
1485174652189,8
1485174655285,8
1485174658827,8
1485174661846,7
1485174664939,9
1485174668034,10
1485174671087,11
1485174674807,13
1485174679376,10
1485174682479,9
1485174685599,9
1485174689051,11
1485174692371,10
1485174695486,9
1485174698584,11
1485174702093,11
1485174705644,11
1485174708708,11
1485174712917,11
1485174717184,12
1485174720406,10
1485174722766,9
1485174725789,8
1485174728805,7
1485174732325,8
1485174735435,7
1485174739908,14
1485174742972,10
1485174745312,10
1485174748469,12
1485174751489,9
1485174756108,11
1485174759119,7
1485174762898,6
1485174766028,7
1485174769118,8
1485174773504,7
1485174776741,7
1485174780372,8
1485174783675,8
