timestamp_ms,memory_size_in_bytes
1485174277722,-1
1485174280768,-1
1485174283784,-1
1485174286793,-1
1485174289808,-1
1485174292817,-1
1485174295826,-1
1485174298836,-1
1485174301843,-1
1485174304868,-1
1485174307890,-1
1485174310899,-1
1485174313909,-1
1485174316928,-1
1485174319940,-1
1485174322963,-1
1485174325974,-1
1485174328984,-1
1485174332012,-1
1485174335058,-1
1485174338074,-1
1485174341087,-1
1485174344109,-1
1485174347289,-1
1485174350352,-1
1485174353375,-1
1485174356391,-1
1485174359458,-1
1485174362486,-1
1485174365508,-1
1485174368729,-1
1485174371879,-1
1485174374912,-1
1485174377950,-1
1485174381201,-1
1485174384300,-1
1485174387318,-1
1485174390349,-1
1485174393648,-1
1485174396665,-1
1485174399714,-1
1485174402762,-1
1485174405778,-1
1485174408805,-1
1485174412456,-1
1485174415945,-1
1485174419082,-1
1485174422333,-1
1485174425398,-1
1485174429130,-1
1485174432387,-1
1485174435567,-1
1485174438586,-1
1485174441748,-1
1485174444853,-1
1485174448398,-1
1485174451504,-1
1485174454660,-1
1485174457679,-1
1485174460858,-1
1485174463887,-1
1485174468491,-1
1485174471546,-1
1485174474576,-1
1485174477598,-1
1485174480615,-1
1485174483688,-1
1485174486731,-1
1485174489761,-1
1485174492814,-1
1485174495842,-1
1485174499167,-1
1485174502252,-1
1485174505434,-1
1485174508451,-1
1485174511634,-1
1485174514650,-1
1485174517673,-1
1485174520689,-1
1485174523714,-1
1485174526976,-1
1485174530128,-1
1485174533337,-1
1485174536354,-1
1485174539693,-1
1485174542762,-1
1485174546004,-1
1485174549071,-1
1485174552695,-1
1485174556165,-1
1485174559183,-1
1485174562311,-1
1485174565421,-1
1485174568869,-1
1485174571888,-1
1485174574918,-1
1485174578089,-1
1485174581442,-1
1485174584471,-1
1485174587491,-1
1485174590715,-1
1485174594006,-1
1485174598576,-1
1485174601851,-1
1485174605383,-1
1485174608406,-1
1485174611662,-1
1485174614698,-1
1485174617727,-1
1485174620754,-1
1485174623790,-1
1485174626809,-1
1485174629889,-1
1485174633045,-1
1485174636204,-1
1485174639278,-1
1485174642683,-1
1485174645701,-1
1485174648720,-1
1485174651853,-1
1485174655263,-1
1485174658738,-1
1485174661838,-1
1485174664932,-1
1485174668022,-1
1485174671081,-1
1485174674479,-1
1485174679862,-1
1485174682900,-1
1485174686191,-1
1485174689597,-1
1485174692778,-1
1485174695866,-1
1485174699155,-1
1485174702176,-1
1485174705202,-1
1485174708694,-1
1485174713681,-1
1485174716914,-1
1485174720304,-1
1485174723478,-1
1485174726554,-1
1485174729679,-1
1485174733087,-1
1485174736250,-1
1485174739426,-1
1485174742959,-1
1485174746037,-1
1485174749165,-1
1485174752226,-1
1485174756088,-1
1485174759115,-1
1485174762259,-1
1485174765956,-1
1485174769080,-1
1485174772687,-1
1485174776564,-1
1485174780348,-1
1485174783626,-1
1485174787115,-1
1485174790551,-1
1485174793698,-1
1485174798049,-1
1485174801669,-1
1485174804960,-1
1485174808148,-1
1485174811460,-1
1485174814805,-1
1485174818014,-1
1485174821888,-1
1485174825014,-1
1485174828099,-1
1485174831272,-1
1485174834472,-1
1485174837635,-1
1485174840950,-1
1485174843970,-1
1485174848278,-1
1485174851839,-1
1485174854936,-1
1485174858674,-1
1485174861871,-1
1485174864920,-1
1485174868159,-1
