timestamp_ms,rx_size_in_bytes,tx_size_in_bytes
1485174344113,420511,21047
1485174347294,1923626,41773
1485174350355,3374922,72938
1485174353377,4633068,97014
1485174356394,5472239,116583
1485174359463,8091212,144051
1485174362487,9114885,165687
1485174365510,11605435,199684
1485174368731,12916356,220853
1485174371882,14368933,252583
1485174374914,17504777,276682
1485174377979,19591629,300165
1485174381289,21233609,334002
1485174384302,22208440,364292
1485174387324,23439054,389869
1485174390400,24692542,416605
1485174393649,24700878,461005
1485174396667,24704120,506085
1485174399716,25692721,536799
1485174402762,25931462,576215
1485174405789,26108340,615586
1485174408806,27155840,655010
1485174412456,27631245,686318
1485174415947,27812533,735550
1485174419090,28537526,1249014
1485174422342,29245413,1301231
1485174425418,29439961,1348654
1485174429186,30898566,1379552
1485174432390,31614771,1685177
1485174435569,32532485,2025849
1485174438697,32998445,2100177
1485174441751,33860409,2152205
1485174444857,34805264,2204167
1485174448401,35478266,2278933
1485174451504,35952730,2600919
1485174454662,36612168,2949042
1485174457844,37061097,3000952
1485174460859,37880464,3031824
1485174463889,38631185,3437943
1485174468474,39118770,3500035
1485174471559,39593944,3574391
1485174474578,40771779,3585288
1485174477601,41500649,3617863
1485174480641,42219052,3875229
1485174483691,42711541,4278648
1485174486733,43194655,4358024
1485174489762,43999913,4368982
1485174492815,45148297,4421127
1485174495843,45356328,4883381
1485174499186,46050285,4916441
1485174502302,47017915,4928493
1485174505436,47976491,4959434
1485174508452,48772639,5151656
1485174511636,49200354,5478902
1485174514665,50069226,5515621
1485174517676,50708217,5568783
1485174520691,51895448,5626826
1485174523716,52660117,5887719
1485174526980,52661980,6156245
1485174530133,53687285,6196123
1485174533340,54187750,6247142
1485174536355,54935470,6281128
1485174539697,55407012,6321879
1485174542769,55893926,6821717
1485174546007,56372654,6869448
1485174549075,56623592,6920596
1485174552813,57829840,6949354
1485174556168,58259857,7009240
1485174559298,59058444,7030885
1485174562313,59201235,7327228
1485174565536,59809961,7809012
1485174568871,60621784,7848888
1485174571890,60845999,8034859
1485174574977,61531730,8071721
1485174578094,62168280,8329286
1485174581448,62337646,8340370
1485174584473,63207238,8380336
1485174587493,63724322,8411376
1485174590716,64114363,8463789
1485174594007,64429268,8525407
1485174598583,65710096,8560412
1485174601975,66442892,8791517
1485174605387,67108778,9079542
1485174608408,67754095,9110632
1485174611664,68020351,9141742
1485174614702,68924022,9654120
1485174617730,69393148,9685170
1485174620756,69853039,9716268
1485174623792,70326522,9747346
1485174626812,70813422,9758432
1485174629987,71288759,9789510
1485174633047,71889769,9850479
1485174636206,71892179,9889994
1485174639362,72633234,9929960
1485174642685,73476131,9961035
1485174645703,74397205,10138235
1485174648723,74540111,10170360
1485174651854,74986142,10586576
1485174655264,75911102,10617705
1485174658739,76449354,11088976
1485174661839,77284033,11120045
1485174664934,77685286,11152001
1485174668024,77998085,11201073
1485174671213,78784574,11232805
1485174674483,80051728,11264366
1485174679868,81454931,11773232
1485174682977,82136522,11803206
1485174686185,82951184,12290952
1485174689615,83754957,12320808
1485174692781,84368392,12359266
1485174695867,84791444,12397488
1485174699156,85610062,12427601
1485174702180,86158593,12457536
1485174705205,86883466,12468030
1485174708696,87928377,12501087
1485174713765,89043926,13091724
1485174716973,89445145,13512794
1485174720305,89716241,13542781
1485174723481,90103789,13581023
1485174726556,90930860,13616492
1485174729684,91917060,13646480
1485174733091,92448513,13676488
