timestamp_ms,collection_count
1485174520456,4
1485174523619,4
1485174527116,4
1485174530139,4
1485174533324,4
1485174536326,5
1485174539733,5
1485174542772,5
1485174546059,5
1485174549077,5
1485174552771,6
1485174556114,6
1485174559132,6
1485174562316,6
1485174565416,6
1485174568743,7
1485174571769,7
1485174574920,7
1485174578098,7
1485174581386,7
1485174584476,8
1485174587494,8
1485174590721,8
1485174593964,8
1485174598604,9
1485174601860,9
1485174605390,9
1485174608410,9
1485174611673,9
1485174614707,10
1485174617733,10
1485174620758,10
1485174622971,10
1485174626479,10
1485174629868,10
1485174633051,10
1485174636196,10
1485174639671,11
1485174642687,12
1485174645706,13
1485174647965,13
1485174650987,14
1485174655267,15
1485174658743,17
1485174661842,18
1485174665012,18
1485174668069,19
1485174671177,19
1485174674502,20
1485174679394,21
1485174682490,24
1485174685600,25
1485174689029,25
1485174692466,26
1485174695560,27
1485174698603,28
1485174702094,28
1485174705213,29
1485174708719,29
1485174712915,30
1485174715989,31
1485174720337,32
1485174722780,32
1485174725795,33
1485174728809,34
1485174732424,36
1485174735587,37
1485174738646,38
1485174742964,40
1485174745455,41
1485174748472,41
1485174751486,42
1485174756099,42
1485174759219,43
1485174761315,44
1485174766069,46
1485174769128,47
1485174772856,48
1485174776579,49
1485174780364,51
1485174783823,52
1485174787124,53
1485174790588,55
1485174793719,56
1485174798109,57
1485174801694,58
1485174805114,60
1485174808159,61
1485174811468,62
1485174814941,63
1485174818181,65
1485174821950,67
1485174825073,68
1485174828260,70
1485174830898,71
1485174834486,73
1485174837664,74
1485174840772,76
1485174843855,77
1485174848284,78
1485174851725,80
1485174854927,81
1485174858407,82
1485174861878,84
1485174864925,86
1485174868182,88
1485174872906,91
1485174875931,92
1485174879381,93
1485174883507,94
1485174886523,95
1485174890044,96
1485174893990,97
1485174897277,99
1485174901011,101
1485174904881,103
1485174908185,105
1485174911792,107
1485174915568,109
1485174918962,111
1485174922364,113
1485174925400,115
1485174928612,117
1485174936128,120
1485174939237,122
1485174942249,124
1485174945559,125
1485174948891,127
1485174952086,128
1485174955189,130
1485174958666,132
1485174962487,135
1485174965736,138
1485174969177,142
1485174972874,144
1485174976227,145
1485174980848,148
1485174983480,150
1485174986973,152
1485174990040,154
1485174993741,156
1485174997085,160
1485175000114,162
1485175004231,165
1485175007462,167
1485175010487,168
1485175014979,169
1485175018157,171
1485175021837,173
1485175026141,175
1485175029824,178
1485175032972,180
1485175036811,182
1485175040214,184
1485175043759,185
1485175047981,186
1485175051303,187
1485175054898,190
1485175059068,192
1485175062204,194
1485175065493,196
1485175069324,198
1485175072628,201
1485175075936,203
1485175079449,204
1485175082770,206
1485175086793,208
1485175090199,210
1485175093588,211
1485175096766,213
1485175100745,216
1485175103917,217
1485175107475,219
1485175114248,223
1485175117902,225
1485175122409,229
1485175125621,231
1485175128834,232
1485175132578,233
1485175135627,233
1485175139739,235
1485175143748,238
1485175146763,239
1485175150210,240
1485175154315,243
1485175157491,244
1485175160876,246
1485175164727,249
1485175167760,251
1485175171110,253
1485175175025,255
1485175178240,256
1485175181525,258
1485175185716,260
1485175189763,261
1485175193013,263
1485175196860,265
1485175200131,268
1485175203646,269
1485175207713,272
1485175210800,274
1485175214051,276
1485175217196,278
1485175220670,281
1485175223707,283
1485175228164,285
1485175232143,287
1485175235512,289
1485175238998,292
1485175242811,294
1485175246099,296
1485175249442,298
1485175253164,301
1485175256794,303
1485175260331,305
1485175264436,307
1485175267981,310
1485175271008,313
1485175275831,318
1485175278964,320
1485175282096,324
1485175286662,328
1485175289754,330
1485175293141,332
1485175296727,335
1485175300165,338
1485175303821,342
1485175307343,344
1485175310710,346
1485175313992,348
1485175317984,350
1485175321290,353
1485175324476,355
1485175327907,358
1485175331312,360
1485175334491,362
1485175338566,365
1485175341881,367
1485175345084,370
1485175349422,374
1485175352577,377
1485175355861,379
1485175359394,382
1485175362704,383
1485175365950,385
1485175369045,386
1485175373123,389
1485175377086,391
1485175380165,392
1485175383697,394
1485175387472,396
1485175390716,397
1485175394221,401
1485175397844,406
1485175401229,410
1485175404688,415
1485175408382,421
1485175411422,426
1485175414482,430
1485175417881,433
1485175420918,438
1485175423941,442
1485175427046,446
1485175430224,451
1485175433410,456
1485175436557,463
1485175439761,468
1485175442861,474
1485175446188,480
1485175449269,481
1485175452288,483
1485175455476,486
1485175458559,488
1485175461611,493
1485175464636,495
1485175467661,495
1485175470787,501
1485175473807,501
1485175476814,505
