timestamp_ms,memory_size_in_bytes
1485174344113,-1
1485174347294,-1
1485174350355,-1
1485174353377,-1
1485174356394,-1
1485174359463,-1
1485174362487,-1
1485174365510,-1
1485174368731,-1
1485174371882,-1
1485174374914,-1
1485174377979,-1
1485174381289,-1
1485174384302,-1
1485174387324,-1
1485174390400,-1
1485174393649,-1
1485174396667,-1
1485174399716,-1
1485174402762,-1
1485174405789,-1
1485174408806,-1
1485174412456,-1
1485174415947,-1
1485174419090,-1
1485174422342,-1
1485174425418,-1
1485174429186,-1
1485174432390,-1
1485174435569,-1
1485174438697,-1
1485174441751,-1
1485174444857,-1
1485174448401,-1
1485174451504,-1
1485174454662,-1
1485174457844,-1
1485174460859,-1
1485174463889,-1
1485174468474,-1
1485174471559,-1
1485174474578,-1
1485174477601,-1
1485174480641,-1
1485174483691,-1
1485174486733,-1
1485174489762,-1
1485174492815,-1
1485174495843,-1
1485174499186,-1
1485174502302,-1
1485174505436,-1
1485174508452,-1
1485174511636,-1
1485174514665,-1
1485174517676,-1
1485174520691,-1
1485174523716,-1
1485174526980,-1
1485174530133,-1
1485174533340,-1
1485174536355,-1
1485174539697,-1
1485174542769,-1
1485174546007,-1
1485174549075,-1
1485174552813,-1
1485174556168,-1
1485174559298,-1
1485174562313,-1
1485174565536,-1
1485174568871,-1
1485174571890,-1
1485174574977,-1
1485174578094,-1
1485174581448,-1
1485174584473,-1
1485174587493,-1
1485174590716,-1
1485174594007,-1
1485174598583,-1
1485174601975,-1
1485174605387,-1
1485174608408,-1
1485174611664,-1
1485174614702,-1
1485174617730,-1
1485174620756,-1
1485174623792,-1
1485174626812,-1
1485174629987,-1
1485174633047,-1
1485174636206,-1
1485174639362,-1
1485174642685,-1
1485174645703,-1
1485174648723,-1
1485174651854,-1
1485174655264,-1
1485174658739,-1
1485174661839,-1
1485174664934,-1
1485174668024,-1
1485174671213,-1
1485174674483,-1
1485174679868,-1
1485174682977,-1
1485174686185,-1
1485174689615,-1
1485174692781,-1
1485174695867,-1
1485174699156,-1
1485174702180,-1
1485174705205,-1
1485174708696,-1
1485174713765,-1
1485174716973,-1
1485174720305,-1
1485174723481,-1
1485174726556,-1
1485174729684,-1
1485174733091,-1
1485174736257,-1
1485174739529,-1
1485174742960,-1
1485174746101,-1
1485174749166,-1
1485174752294,-1
1485174756089,-1
1485174759117,-1
1485174762265,-1
1485174765970,-1
1485174769143,-1
1485174772679,-1
1485174776577,-1
1485174780349,-1
1485174783621,-1
1485174787119,-1
1485174790553,-1
1485174793812,-1
1485174798084,-1
1485174801669,-1
1485174805032,-1
1485174808235,-1
1485174811463,-1
1485174814822,-1
1485174818025,-1
1485174822001,-1
1485174825027,-1
1485174828190,-1
1485174831274,-1
1485174834511,-1
1485174837675,-1
1485174840952,-1
1485174844198,-1
1485174848502,-1
1485174851918,-1
1485174854937,-1
1485174858676,-1
1485174861883,-1
1485174864921,-1
1485174868171,-1
1485174872793,-1
1485174875915,-1
1485174879373,-1
1485174883230,-1
1485174886559,-1
1485174890032,-1
1485174894715,-1
1485174897796,-1
1485174900831,-1
1485174905152,-1
1485174908186,-1
1485174911777,-1
1485174915608,-1
1485174918950,-1
1485174922375,-1
1485174925966,-1
1485174929486,-1
1485174936101,-1
1485174939141,-1
1485174942357,-1
1485174945719,-1
1485174948954,-1
1485174952127,-1
1485174955150,-1
1485174958835,-1
1485174962401,-1
1485174965546,-1
1485174969098,-1
1485174972479,-1
1485174976076,-1
1485174980815,-1
1485174983862,-1
1485174986886,-1
1485174990093,-1
1485174993705,-1
1485174996869,-1
1485175000793,-1
1485175004292,-1
1485175007330,-1
1485175011334,-1
1485175014942,-1
1485175018113,-1
1485175021777,-1
1485175026123,-1
1485175029405,-1
1485175033125,-1
1485175036909,-1
1485175039942,-1
1485175043740,-1
1485175047957,-1
1485175051368,-1
1485175054942,-1
1485175058922,-1
1485175062185,-1
1485175065525,-1
1485175069446,-1
1485175072458,-1
1485175075933,-1
1485175079392,-1
1485175082735,-1
1485175086931,-1
1485175090516,-1
1485175093598,-1
1485175097404,-1
1485175100635,-1
1485175103768,-1
1485175107454,-1
1485175114023,-1
1485175117850,-1
1485175122404,-1
1485175125421,-1
1485175128963,-1
1485175132574,-1
1485175135602,-1
1485175139506,-1
1485175144082,-1
1485175147101,-1
1485175150407,-1
1485175154320,-1
1485175157477,-1
1485175160958,-1
1485175164721,-1
1485175167751,-1
1485175171234,-1
1485175175114,-1
1485175178131,-1
1485175181497,-1
1485175185711,-1
1485175189309,-1
1485175193110,-1
1485175196857,-1
1485175200132,-1
1485175204150,-1
1485175207703,-1
1485175210726,-1
1485175214042,-1
1485175217258,-1
1485175220773,-1
1485175224600,-1
1485175228162,-1
1485175231574,-1
1485175235444,-1
1485175238952,-1
1485175242485,-1
1485175246122,-1
1485175249697,-1
1485175253129,-1
1485175256807,-1
1485175260296,-1
1485175264616,-1
1485175268119,-1
1485175271138,-1
1485175274721,-1
1485175278955,-1
1485175282096,-1
1485175286175,-1
1485175290088,-1
1485175293157,-1
1485175296721,-1
1485175300788,-1
1485175303817,-1
1485175307430,-1
1485175310690,-1
1485175314030,-1
1485175318148,-1
1485175321423,-1
1485175324436,-1
1485175327903,-1
1485175331458,-1
1485175334847,-1
1485175338639,-1
1485175341828,-1
1485175345086,-1
1485175348972,-1
1485175352823,-1
1485175356237,-1
1485175359491,-1
1485175362700,-1
1485175366014,-1
1485175369079,-1
1485175373119,-1
1485175376984,-1
1485175380237,-1
1485175383765,-1
1485175387591,-1
1485175391142,-1
1485175394522,-1
1485175398198,-1
1485175401390,-1
1485175404770,-1
1485175408399,-1
1485175411415,-1
1485175414486,-1
1485175417651,-1
1485175420923,-1
1485175423993,-1
1485175427013,-1
1485175430218,-1
1485175433540,-1
1485175436569,-1
1485175439592,-1
1485175442886,-1
1485175446248,-1
1485175449269,-1
1485175452311,-1
1485175455441,-1
1485175458586,-1
1485175461609,-1
1485175464624,-1
1485175467672,-1
1485175470799,-1
1485175473811,-1
1485175476829,-1
