timestamp_ms,total_docs
1485174277722,0
1485174280768,0
1485174283784,0
1485174286793,0
1485174289808,0
1485174292817,0
1485174295826,0
1485174298836,0
1485174301843,0
1485174304868,0
1485174307890,0
1485174310899,0
1485174313909,0
1485174316928,0
1485174319940,0
1485174322963,0
1485174325974,429
1485174328984,429
1485174332012,429
1485174335058,939
1485174338074,939
1485174341087,939
1485174344109,939
1485174347289,939
1485174350352,939
1485174353375,939
1485174356391,1158
1485174359458,1509
1485174362486,1509
1485174365508,1731
1485174368729,1731
1485174371879,2281
1485174374912,2281
1485174377950,2281
1485174381201,2513
1485174384300,3696
1485174387318,3696
1485174390349,3696
1485174393648,4157
1485174396665,4157
1485174399714,4157
1485174402762,4157
1485174405778,4157
1485174408805,4157
1485174412456,4157
1485174415945,4157
1485174419082,4157
1485174422333,4647
1485174425398,4647
1485174429130,4647
1485174432387,4647
1485174435567,4647
1485174438586,4647
1485174441748,4647
1485174444853,4647
1485174448398,4647
1485174451504,4647
1485174454660,4647
1485174457679,4647
1485174460858,5188
1485174463887,5663
1485174468491,5663
1485174471546,6112
1485174474576,6112
1485174477598,6573
1485174480615,6573
1485174483688,6573
1485174486731,7037
1485174489761,7037
1485174492814,7037
1485174495842,7716
1485174499167,7716
1485174502252,7716
1485174505434,7716
1485174508451,8385
1485174511634,8385
1485174514650,8385
1485174517673,8385
1485174520689,8385
1485174523714,8385
1485174526976,8385
1485174530128,8385
1485174533337,8385
1485174536354,8385
1485174539693,8385
1485174542762,8385
1485174546004,8660
1485174549071,8660
1485174552695,9241
1485174556165,9241
1485174559183,9241
1485174562311,9241
1485174565421,9545
1485174568869,9545
1485174571888,9886
1485174574918,9886
1485174578089,9886
1485174581442,10620
1485174584471,10620
1485174587491,10620
1485174590715,10620
1485174594006,10620
1485174598576,10620
1485174601851,10620
1485174605383,10620
1485174608406,10620
1485174611662,10620
1485174614698,10620
1485174617727,10620
1485174620754,10988
1485174623790,10988
1485174626809,10988
1485174629889,10988
1485174633045,10988
1485174636204,11424
1485174639278,11797
1485174642683,11797
1485174645701,11797
1485174648720,11797
1485174651853,11797
1485174655263,11797
1485174658738,11797
1485174661838,11797
1485174664932,11797
1485174668022,11797
1485174671081,11797
1485174674479,11797
1485174679862,11797
1485174682900,11797
1485174686191,11797
1485174689597,11797
1485174692778,11797
1485174695866,11797
1485174699155,11797
1485174702176,11797
1485174705202,12246
1485174708694,12246
1485174713681,12246
1485174716914,12658
1485174720304,12658
1485174723478,12658
1485174726554,12658
1485174729679,13109
1485174733087,13109
1485174736250,13109
1485174739426,13109
1485174742959,13109
1485174746037,13109
1485174749165,13109
1485174752226,13109
1485174756088,13109
1485174759115,13521
1485174762259,14005
1485174765956,14005
1485174769080,14005
1485174772687,14005
1485174776564,14005
1485174780348,14005
1485174783626,14005
1485174787115,14005
1485174790551,14005
1485174793698,14005
1485174798049,14524
1485174801669,14524
1485174804960,14524
1485174808148,14524
1485174811460,14524
1485174814805,14524
1485174818014,14524
1485174821888,14524
1485174825014,14524
1485174828099,14524
1485174831272,14524
1485174834472,15533
1485174837635,15533
1485174840950,15533
1485174843970,15533
1485174848278,15533
1485174851839,15533
1485174854936,15533
1485174858674,15533
1485174861871,15533
1485174864920,15533
1485174868159,15533
1485174872792,16120
1485174875914,16120
1485174879371,16120
1485174883217,16120
1485174886542,16120
1485174890023,16120
1485174894711,16120
1485174897794,16714
1485174900828,17325
1485174904663,17900
1485174908169,17900
1485174911763,17900
1485174915603,17900
1485174918944,17900
1485174922373,17900
1485174925965,17900
1485174929385,17900
1485174936095,17900
1485174939139,17900
1485174942356,18385
1485174945671,18385
1485174948952,18893
1485174952124,18893
1485174955148,18893
1485174958790,18893
1485174962399,18893
1485174965545,18893
1485174969096,18893
1485174972478,18893
1485174976074,18893
1485174980812,18893
1485174983860,18893
1485174986884,18893
1485174990090,18893
1485174993704,18893
1485174996842,18893
1485175000791,18893
1485175004284,18893
1485175007328,18893
1485175010822,18893
1485175014934,18893
1485175018107,18893
1485175021750,18893
1485175026123,18893
1485175029232,18893
1485175033074,18893
1485175036845,19496
1485175039930,20036
1485175043737,20036
1485175047951,20036
1485175051366,20036
1485175054940,20036
1485175058920,20036
1485175062181,20036
1485175065477,20036
1485175069435,20036
1485175072457,20036
1485175075933,20036
1485175079390,20036
1485175082728,20036
1485175086789,21418
1485175090253,21418
1485175093598,21418
1485175097400,21418
1485175100633,21418
1485175103767,21418
1485175107453,21418
1485175114022,21418
1485175117849,21418
1485175122401,21418
1485175125420,21974
1485175128851,21974
1485175132572,21974
1485175135601,21974
1485175139472,21974
1485175144079,21974
1485175147099,21974
1485175150322,21974
1485175154318,21974
1485175157474,21974
1485175160956,22589
1485175164718,23228
1485175167748,23855
1485175171230,23855
1485175175062,23855
1485175178129,23855
1485175181497,24478
1485175185708,24478
1485175189301,24478
1485175193109,24478
1485175196853,24478
1485175200128,24478
1485175204063,24478
1485175207693,25745
1485175210724,25745
1485175214039,25745
1485175217200,25745
1485175220772,25745
1485175224582,25745
1485175228151,25745
1485175231575,25745
1485175235443,25745
1485175238934,25745
1485175242484,25745
1485175246091,25745
1485175249691,25745
1485175253105,25745
1485175256806,25745
1485175260251,25745
1485175264617,25745
1485175268116,25745
1485175271136,25745
1485175274702,25745
1485175278959,25745
1485175282040,25745
1485175286173,26376
1485175290084,26376
1485175293139,26376
1485175296643,26376
1485175300786,26376
1485175303814,26376
1485175307373,26376
1485175310690,26376
1485175314029,26376
1485175318129,26376
1485175321416,26376
1485175324433,26376
1485175327902,26376
1485175331306,26376
1485175334484,26376
1485175338505,26376
1485175341825,26376
1485175345071,26947
1485175348971,27535
1485175352821,27535
1485175356202,27535
1485175359478,27535
1485175362690,27535
1485175366010,27535
1485175369067,27964
1485175373112,27964
1485175376964,27964
1485175380235,27964
1485175383771,27964
1485175387468,27964
1485175391141,27964
1485175394521,27964
1485175398132,27964
1485175401238,27964
1485175404769,28585
1485175408397,28585
1485175411412,28585
1485175414483,30249
1485175417639,30249
1485175420921,30800
1485175423991,31362
1485175427016,31844
1485175430210,32272
1485175433403,32594
1485175436559,32594
1485175439590,32594
1485175442884,32594
1485175446246,32594
1485175449268,32594
1485175452308,32594
1485175455438,37667
1485175458579,40511
1485175461606,43555
1485175464623,43555
1485175467666,43555
1485175470793,43749
1485175473810,43749
1485175476822,43749
