timestamp_ms,operations
1485174520699,0
1485174523719,0
1485174526983,0
1485174530136,0
1485174533342,0
1485174536360,0
1485174539731,0
1485174542771,0
1485174546058,0
1485174549076,0
1485174552770,0
1485174556170,0
1485174559188,0
1485174562315,0
1485174565423,0
1485174568876,0
1485174571893,0
1485174574919,0
1485174578093,0
1485174581451,0
1485174584475,0
1485174587493,0
1485174590719,0
1485174594030,0
1485174598602,0
1485174601852,0
1485174605389,0
1485174608410,0
1485174611669,0
1485174614704,0
1485174617732,0
1485174620757,0
1485174623795,0
1485174626876,0
1485174629889,0
1485174633050,0
1485174636208,0
1485174639636,0
1485174642686,0
1485174645705,0
1485174648721,0
1485174651857,0
1485174655266,0
1485174658740,0
1485174661841,0
1485174664978,850
1485174668026,1646
1485174671082,1646
1485174674484,1646
1485174679885,1734
1485174682903,1772
1485174686235,1822
1485174689625,1822
1485174692783,1852
1485174695869,1881
1485174699158,1895
1485174702178,1895
1485174705206,1895
1485174708698,1895
1485174713681,1921
1485174716936,1946
1485174720307,1969
1485174723483,1999
1485174726660,2012
1485174729687,2048
1485174733165,2052
1485174736254,2052
1485174739537,2052
1485174742962,2052
1485174746038,2070
1485174749169,2077
1485174752228,2077
1485174756092,2096
1485174759215,2123
1485174762268,2138
1485174766065,2184
1485174769090,2193
1485174772696,2961
1485174776577,2970
1485174780352,3001
1485174783623,3007
1485174787117,3007
1485174790555,3023
1485174793698,3077
1485174798106,3091
1485174801670,3121
1485174805068,3162
1485174808150,3203
1485174811466,3229
1485174814823,3229
1485174818017,3245
1485174821902,3272
1485174825042,3272
1485174828259,3275
1485174831276,3303
1485174834473,3340
1485174837636,3384
1485174840954,3425
1485174843971,3440
1485174848281,3478
1485174851841,3502
1485174854942,3528
1485174858748,4986
1485174861875,4998
1485174864924,5031
1485174868167,5069
1485174872795,5134
1485174875920,5152
1485174879375,5152
1485174883238,5189
1485174886569,5260
1485174890032,5275
1485174894754,5276
1485174897799,5304
1485174900834,5356
1485174904664,5382
1485174908204,6426
1485174911787,6461
1485174915605,6492
1485174918947,6492
1485174922376,6516
1485174926025,6551
1485174929386,6572
1485174936104,6635
1485174939150,6675
1485174942359,6752
1485174945932,6755
1485174948956,6769
1485174952129,6800
1485174955152,6831
1485174958791,6860
1485174962402,6921
1485174965793,6949
1485174969099,6984
1485174972614,7014
1485174976223,7034
1485174980822,7113
1485174983864,7136
1485174986888,7159
1485174990096,7178
1485174993706,7196
1485174997079,7242
1485175000833,7287
1485175004294,7330
1485175007333,7355
1485175010824,7365
1485175014986,7398
1485175018116,7442
1485175021760,7519
1485175026138,7586
1485175029797,7610
1485175033076,7658
1485175036847,7704
1485175040062,7739
1485175043746,7754
1485175047965,7803
1485175051585,7873
1485175054942,7898
1485175059065,7909
1485175062182,7909
1485175065478,7932
1485175069448,7979
1485175072464,8013
1485175075945,8051
1485175079395,8090
1485175082739,8117
1485175086791,8170
1485175090254,8195
1485175093600,8207
1485175097402,8219
1485175100754,8238
1485175103771,8263
1485175107457,8315
1485175114025,8372
1485175117850,8453
1485175122406,8503
1485175125424,8522
1485175128852,8534
1485175132576,8548
1485175135605,8558
1485175139538,8646
1485175144084,8706
1485175147104,8718
1485175150326,8773
1485175154325,8813
1485175157480,8842
1485175161089,8858
1485175164723,8871
1485175167754,8893
1485175171235,8919
1485175175064,8964
1485175178238,8983
1485175181500,9022
1485175185712,9045
1485175189313,9077
1485175193113,9143
1485175196858,9195
1485175200350,11256
1485175204065,11293
1485175207706,11346
1485175210728,11378
1485175214045,11445
1485175217205,11491
1485175220860,13450
1485175224615,13463
1485175228161,13532
1485175231592,13608
1485175235497,13669
1485175238943,13734
1485175242713,13780
1485175246105,13813
1485175249699,13837
1485175253127,13860
1485175256808,13874
1485175260253,13892
1485175264685,13957
1485175268118,14035
1485175271136,14062
1485175274781,14126
1485175278958,14172
1485175282074,14215
1485175286345,14257
1485175290086,14308
1485175293156,14383
1485175296651,14411
1485175300792,14467
1485175303819,14542
1485175307376,14600
1485175310693,14655
1485175314031,14679
1485175318151,14738
1485175321418,14791
1485175324439,14814
1485175327905,14847
1485175331309,14873
1485175334487,14926
1485175338508,14983
1485175341831,15001
1485175345074,15035
1485175348974,15134
1485175352842,15198
1485175356226,15274
1485175359492,15357
1485175362691,15434
1485175366013,15508
1485175369081,15528
1485175373113,15576
1485175377082,15605
1485175380238,15645
1485175383767,15681
1485175387468,15760
1485175391144,15809
1485175394521,11826
1485175398145,11865
1485175401239,11908
1485175404825,7316
1485175408399,5035
1485175411417,5168
1485175414480,5224
1485175417659,5324
1485175420920,5401
1485175423997,5462
1485175427014,5597
1485175430204,5703
1485175433408,5798
1485175436562,5864
1485175439757,5968
1485175442885,6015
1485175446250,8086
1485175449267,8086
1485175452308,8165
1485175455434,8189
1485175458589,11180
1485175461609,11303
1485175464625,11328
1485175467669,11356
1485175470795,11426
1485175473811,11426
1485175476824,11543
