timestamp_ms,current_open,total_opened
1485174277722,3,4
1485174280768,3,5
1485174283784,3,6
1485174286793,3,8
1485174289808,4,9
1485174292817,3,11
1485174295826,3,12
1485174298836,3,13
1485174301843,4,15
1485174304868,3,16
1485174307890,3,19
1485174310899,3,19
1485174313909,4,22
1485174316928,3,22
1485174319940,4,24
1485174322963,4,26
1485174325974,3,26
1485174328984,4,27
1485174332012,4,28
1485174335058,3,28
1485174338074,3,30
1485174341087,4,33
1485174344109,3,34
1485174347289,3,35
1485174350352,5,37
1485174353375,4,39
1485174356391,3,39
1485174359458,3,40
1485174362486,3,40
1485174365508,5,43
1485174368729,4,43
1485174371879,3,44
1485174374912,4,45
1485174377950,5,46
1485174381201,4,47
1485174384300,3,48
1485174387318,4,49
1485174390349,4,51
1485174393648,4,53
1485174396665,3,54
1485174399714,4,55
1485174402762,3,56
1485174405778,4,58
1485174408805,4,59
1485174412456,4,60
1485174415945,5,63
1485174419082,7,66
1485174422333,7,67
1485174425398,5,67
1485174429130,7,69
1485174432387,6,72
1485174435567,7,74
1485174438586,6,76
1485174441748,7,78
1485174444853,8,80
1485174448398,6,82
1485174451504,7,85
1485174454660,7,87
1485174457679,7,89
1485174460858,7,89
1485174463887,7,90
1485174468491,7,92
1485174471546,7,95
1485174474576,7,95
1485174477598,6,95
1485174480615,8,98
1485174483688,7,99
1485174486731,7,100
1485174489761,7,101
1485174492814,7,102
1485174495842,9,104
1485174499167,7,104
1485174502252,7,104
1485174505434,7,105
1485174508451,7,106
1485174511634,7,106
1485174514650,7,107
1485174517673,7,109
1485174520689,7,110
1485174523714,8,112
1485174526976,8,114
1485174530128,7,115
1485174533337,7,115
1485174536354,9,118
1485174539693,8,119
1485174542762,8,119
1485174546004,8,121
1485174549071,7,121
1485174552695,8,124
1485174556165,8,126
1485174559183,9,129
1485174562311,9,129
1485174565421,8,129
1485174568869,9,131
1485174571888,9,131
1485174574918,9,132
1485174578089,9,133
1485174581442,9,134
1485174584471,9,135
1485174587491,9,136
1485174590715,8,136
1485174594006,9,138
1485174598576,9,140
1485174601851,9,140
1485174605383,9,141
1485174608406,9,141
1485174611662,9,142
1485174614698,9,142
1485174617727,9,142
1485174620754,9,143
1485174623790,9,143
1485174626809,9,144
1485174629889,9,144
1485174633045,9,145
1485174636204,9,146
1485174639278,9,148
1485174642683,9,148
1485174645701,9,148
1485174648720,9,148
1485174651853,9,149
1485174655263,9,150
1485174658738,9,150
1485174661838,9,150
1485174664932,9,152
1485174668022,9,154
1485174671081,9,155
1485174674479,9,155
1485174679862,9,157
1485174682900,9,158
1485174686191,9,158
1485174689597,9,159
1485174692778,9,161
1485174695866,8,161
1485174699155,9,162
1485174702176,9,162
1485174705202,9,163
1485174708694,8,163
1485174713681,9,165
1485174716914,9,166
1485174720304,9,167
1485174723478,8,168
1485174726554,9,169
1485174729679,9,170
1485174733087,9,171
1485174736250,9,171
1485174739426,9,172
1485174742959,9,172
1485174746037,9,173
1485174749165,9,173
1485174752226,9,174
1485174756088,9,175
1485174759115,9,175
1485174762259,8,175
1485174765956,9,176
1485174769080,9,176
1485174772687,9,177
1485174776564,9,177
1485174780348,9,178
1485174783626,9,178
1485174787115,9,179
1485174790551,9,179
1485174793698,9,179
1485174798049,9,181
1485174801669,8,181
1485174804960,9,182
1485174808148,9,183
1485174811460,9,184
1485174814805,9,184
1485174818014,9,185
1485174821888,9,186
1485174825014,9,186
1485174828099,9,186
1485174831272,9,187
1485174834472,9,188
1485174837635,9,189
1485174840950,9,189
1485174843970,9,190
1485174848278,9,190
1485174851839,9,192
1485174854936,9,192
1485174858674,9,192
1485174861871,9,192
1485174864920,9,192
1485174868159,9,193
1485174872792,9,193
1485174875914,9,193
1485174879371,8,193
1485174883217,9,195
1485174886542,9,195
1485174890023,9,195
1485174894711,9,197
1485174897794,9,197
1485174900828,9,198
1485174904663,9,198
1485174908169,9,199
1485174911763,9,199
1485174915603,9,199
1485174918944,9,201
1485174922373,10,202
1485174925965,8,202
1485174929385,9,203
1485174936095,9,205
1485174939139,9,205
1485174942356,9,206
1485174945671,9,206
1485174948952,9,206
1485174952124,9,206
1485174955148,9,208
1485174958790,9,208
1485174962399,9,208
1485174965545,9,209
1485174969096,9,209
1485174972478,9,210
1485174976074,9,211
1485174980812,9,213
1485174983860,9,213
1485174986884,9,213
1485174990090,9,213
1485174993704,9,215
1485174996842,9,215
1485175000791,9,216
1485175004284,9,216
1485175007328,9,217
1485175010822,9,218
1485175014934,9,218
1485175018107,9,219
1485175021750,9,219
1485175026123,9,219
1485175029232,9,220
1485175033074,9,220
1485175036845,9,220
1485175039930,8,221
1485175043737,8,223
1485175047951,9,224
