timestamp_ms,free_in_bytes,total_in_bytes,used_in_bytes
1485174277722,5797376000,8248725504,2451349504
1485174280768,5770412032,8248725504,2478313472
1485174283784,5166272512,8248725504,3082452992
1485174286793,5023301632,8248725504,3225423872
1485174289808,4999245824,8248725504,3249479680
1485174292817,4987105280,8248725504,3261620224
1485174295826,4980031488,8248725504,3268694016
1485174298836,4976816128,8248725504,3271909376
1485174301843,4952092672,8248725504,3296632832
1485174304868,4478939136,8248725504,3769786368
1485174307890,4167753728,8248725504,4080971776
1485174310899,4169752576,8248725504,4078972928
1485174313909,4141166592,8248725504,4107558912
1485174316928,4131008512,8248725504,4117716992
1485174319940,4126990336,8248725504,4121735168
1485174322963,4085501952,8248725504,4163223552
1485174325974,4077539328,8248725504,4171186176
1485174328984,4074921984,8248725504,4173803520
1485174332012,3673837568,8248725504,4574887936
1485174335058,3645734912,8248725504,4602990592
1485174338074,3572461568,8248725504,4676263936
1485174341087,3544887296,8248725504,4703838208
1485174344109,3512762368,8248725504,4735963136
1485174347289,3505553408,8248725504,4743172096
1485174350352,3489505280,8248725504,4759220224
1485174353375,3459780608,8248725504,4788944896
1485174356391,3434237952,8248725504,4814487552
1485174359458,3417104384,8248725504,4831621120
1485174362486,3375939584,8248725504,4872785920
1485174365508,3337158656,8248725504,4911566848
1485174368729,3307675648,8248725504,4941049856
1485174371879,3299991552,8248725504,4948733952
1485174374912,3281178624,8248725504,4967546880
1485174377950,3243008000,8248725504,5005717504
1485174381201,3214974976,8248725504,5033750528
1485174384300,3212816384,8248725504,5035909120
1485174387318,3200421888,8248725504,5048303616
1485174390349,3183558656,8248725504,5065166848
1485174393648,3071291392,8248725504,5177434112
1485174396665,2633093120,8248725504,5615632384
1485174399714,2406862848,8248725504,5841862656
1485174402762,2387243008,8248725504,5861482496
1485174405778,2362572800,8248725504,5886152704
1485174408805,2344194048,8248725504,5904531456
1485174412456,2312503296,8248725504,5936222208
1485174415945,2294312960,8248725504,5954412544
1485174419082,2276851712,8248725504,5971873792
1485174422333,2259546112,8248725504,5989179392
1485174425398,2236645376,8248725504,6012080128
1485174429130,2209427456,8248725504,6039298048
1485174432387,2203475968,8248725504,6045249536
1485174435567,2178203648,8248725504,6070521856
1485174438586,2152255488,8248725504,6096470016
1485174441748,2019856384,8248725504,6228869120
1485174444853,1763225600,8248725504,6485499904
1485174448398,1722355712,8248725504,6526369792
1485174451504,1700724736,8248725504,6548000768
1485174454660,1656676352,8248725504,6592049152
1485174457679,1639104512,8248725504,6609620992
1485174460858,1633476608,8248725504,6615248896
1485174463887,1631870976,8248725504,6616854528
1485174468491,1601257472,8248725504,6647468032
1485174471546,1571713024,8248725504,6677012480
1485174474576,1572585472,8248725504,6676140032
1485174477598,1561325568,8248725504,6687399936
1485174480615,1539215360,8248725504,6709510144
1485174483688,1522937856,8248725504,6725787648
1485174486731,1496408064,8248725504,6752317440
1485174489761,1461260288,8248725504,6787465216
1485174492814,1441488896,8248725504,6807236608
1485174495842,1394163712,8248725504,6854561792
1485174499167,1385005056,8248725504,6863720448
1485174502252,1361719296,8248725504,6887006208
1485174505434,1320071168,8248725504,6928654336
1485174508451,1308798976,8248725504,6939926528
1485174511634,1314353152,8248725504,6934372352
1485174514650,1316241408,8248725504,6932484096
1485174517673,1300705280,8248725504,6948020224
1485174520689,1265692672,8248725504,6983032832
1485174523714,1251147776,8248725504,6997577728
1485174526976,1232658432,8248725504,7016067072
1485174530128,1198862336,8248725504,7049863168
1485174533337,1180209152,8248725504,7068516352
1485174536354,1166487552,8248725504,7082237952
1485174539693,1151827968,8248725504,7096897536
1485174542762,1138323456,8248725504,7110402048
1485174546004,1119641600,8248725504,7129083904
1485174549071,1099325440,8248725504,7149400064
1485174552695,1091039232,8248725504,7157686272
1485174556165,1076211712,8248725504,7172513792
1485174559183,1063616512,8248725504,7185108992
1485174562311,1047609344,8248725504,7201116160
1485174565421,1048829952,8248725504,7199895552
1485174568869,1033441280,8248725504,7215284224
1485174571888,1016307712,8248725504,7232417792
1485174574918,985104384,8248725504,7263621120
1485174578089,980406272,8248725504,7268319232
1485174581442,968192000,8248725504,7280533504
1485174584471,969981952,8248725504,7278743552
1485174587491,966103040,8248725504,7282622464
1485174590715,981995520,8248725504,7266729984
1485174594006,962564096,8248725504,7286161408
1485174598576,925437952,8248725504,7323287552
1485174601851,911667200,8248725504,7337058304
