timestamp_ms,non_heap_committed_in_bytes,non_heap_used_in_bytes
1485174277484,47398912,46429448
1485174280537,51593216,49594696
1485174283548,51986432,49944488
1485174286555,51986432,50094328
1485174289564,55742464,54761680
1485174292621,57839616,56787064
1485174295627,59150336,58287392
1485174298634,59281408,58319848
1485174301640,60133376,59216104
1485174304649,60657664,59659232
1485174307659,61247488,60387592
1485174310666,61378560,60524152
1485174313717,62492672,61332440
1485174316736,62754816,61722864
1485174319772,62951424,62074744
1485174322800,64065536,62937080
1485174325813,65703936,64668168
1485174328834,65703936,64678464
1485174331855,66228224,65270160
1485174334875,66818048,65893536
1485174337890,67215360,65604368
1485174340901,67215360,65631080
1485174343920,67477504,66183496
1485174346947,67674112,66556216
1485174349973,67805184,66507744
1485174353028,67936256,66910376
1485174356048,68198400,67085096
1485174359155,68329472,67334464
1485174362226,68460544,67294504
1485174365249,68853760,67577632
1485174368303,68919296,67807576
1485174371585,69312512,68196544
1485174374607,69574656,68499304
1485174377663,69705728,68714320
1485174380681,70230016,69220976
1485174383723,70295552,69213984
1485174386776,70426624,69438128
1485174389939,70819840,69587328
1485174392953,70950912,69976296
1485174395969,71147520,70089944
1485174398994,71278592,70282688
1485174402038,71278592,70342016
1485174405233,71344128,70415624
1485174408304,71606272,70680240
1485174412851,72130560,71017856
1485174415962,72392704,71382576
1485174419274,72523776,71422416
1485174422217,72523776,71614464
1485174425400,72654848,71701808
1485174429133,72785920,71810520
1485174432062,72785920,71853256
1485174435575,72916992,72023552
1485174438045,73113600,72199440
1485174441361,73113600,72205720
1485174445371,73375744,72260768
1485174448218,73506816,72330640
1485174450509,73572352,72449320
1485174454664,73703424,72591672
1485174457412,73768960,72747192
1485174460862,74031104,72964544
1485174464016,74096640,73032960
1485174467689,74096640,73083160
1485174470746,74162176,73101016
1485174474453,74162176,73169336
1485174477603,74227712,73259456
1485174480632,74293248,73315984
1485174483711,74293248,73318096
1485174486725,74358784,73385136
1485174489741,74489856,73514592
1485174492011,74489856,73489528
1485174495861,74489856,73541872
1485174499221,74817536,73642616
1485174502233,74817536,73655512
1485174505439,74817536,73659512
1485174508473,74883072,73729160
1485174511521,74948608,73795712
1485174514537,75014144,73843600
1485174517267,75014144,73804128
1485174520361,75014144,73910488
1485174523582,75210752,74039640
1485174527003,75210752,74072336
1485174530131,75210752,74075712
1485174533328,75210752,74121072
1485174536340,75276288,74163872
1485174539735,75735040,74464480
1485174542764,75735040,74532096
1485174546011,75735040,74635160
1485174549227,75735040,74711600
1485174552697,75866112,74864160
1485174556116,75931648,74750976
1485174559135,75931648,74843424
1485174562378,75931648,74967096
1485174565400,75997184,74988800
1485174568744,76062720,75099624
1485174571772,76324864,75098432
1485174574924,76390400,75165440
1485174578117,76455936,75254192
1485174581389,76455936,75257872
1485174584477,76587008,75347496
1485174587528,76587008,75393160
1485174590727,76652544,75404544
1485174593961,76652544,75438416
1485174598843,76652544,75511344
1485174601867,76718080,75523360
1485174605394,76718080,75536824
1485174608413,76718080,75500048
1485174611677,76718080,75570000
1485174614708,76783616,75670984
1485174617740,76849152,75726352
1485174620764,76849152,75747616
1485174622972,76849152,75752784
