timestamp_ms,free_in_bytes,total_in_bytes,used_in_bytes
1485174277722,8077238272,8321495040,244256768
1485174280768,8077238272,8321495040,244256768
1485174283784,8077238272,8321495040,244256768
1485174286793,8077238272,8321495040,244256768
1485174289808,8077238272,8321495040,244256768
1485174292817,8077238272,8321495040,244256768
1485174295826,8077238272,8321495040,244256768
1485174298836,8077238272,8321495040,244256768
1485174301843,8077238272,8321495040,244256768
1485174304868,8077238272,8321495040,244256768
1485174307890,8077238272,8321495040,244256768
1485174310899,8077238272,8321495040,244256768
1485174313909,8077238272,8321495040,244256768
1485174316928,8077238272,8321495040,244256768
1485174319940,8077238272,8321495040,244256768
1485174322963,8077238272,8321495040,244256768
1485174325974,8077238272,8321495040,244256768
1485174328984,8077238272,8321495040,244256768
1485174332012,8077238272,8321495040,244256768
1485174335058,8077238272,8321495040,244256768
1485174338074,8077238272,8321495040,244256768
1485174341087,8077238272,8321495040,244256768
1485174344109,8077238272,8321495040,244256768
1485174347289,8077238272,8321495040,244256768
1485174350352,8077238272,8321495040,244256768
1485174353375,8077238272,8321495040,244256768
1485174356391,8077238272,8321495040,244256768
1485174359458,8077238272,8321495040,244256768
1485174362486,8077238272,8321495040,244256768
1485174365508,8077238272,8321495040,244256768
1485174368729,8077238272,8321495040,244256768
1485174371879,8077238272,8321495040,244256768
1485174374912,8077238272,8321495040,244256768
1485174377950,8077238272,8321495040,244256768
1485174381201,8077238272,8321495040,244256768
1485174384300,8077238272,8321495040,244256768
1485174387318,8077238272,8321495040,244256768
1485174390349,8077238272,8321495040,244256768
1485174393648,8077238272,8321495040,244256768
1485174396665,8077238272,8321495040,244256768
1485174399714,8077238272,8321495040,244256768
1485174402762,8077238272,8321495040,244256768
1485174405778,8077238272,8321495040,244256768
1485174408805,8077238272,8321495040,244256768
1485174412456,8077238272,8321495040,244256768
1485174415945,8077238272,8321495040,244256768
1485174419082,8077238272,8321495040,244256768
1485174422333,8077238272,8321495040,244256768
1485174425398,8077238272,8321495040,244256768
1485174429130,8077238272,8321495040,244256768
1485174432387,8077238272,8321495040,244256768
1485174435567,8077238272,8321495040,244256768
1485174438586,8077238272,8321495040,244256768
1485174441748,8077238272,8321495040,244256768
1485174444853,8077238272,8321495040,244256768
1485174448398,8077238272,8321495040,244256768
1485174451504,8077238272,8321495040,244256768
1485174454660,8077238272,8321495040,244256768
1485174457679,8077238272,8321495040,244256768
1485174460858,8077238272,8321495040,244256768
1485174463887,8077238272,8321495040,244256768
1485174468491,8077238272,8321495040,244256768
1485174471546,8077238272,8321495040,244256768
1485174474576,8077238272,8321495040,244256768
1485174477598,8077238272,8321495040,244256768
1485174480615,8077238272,8321495040,244256768
1485174483688,8077238272,8321495040,244256768
1485174486731,8077238272,8321495040,244256768
