timestamp_ms,delete_total,index_failed,index_total,noop_update_total
1485174520699,0,0,0,0
1485174523719,0,0,0,0
1485174526983,0,0,0,0
1485174530136,0,0,0,0
1485174533342,0,0,0,0
1485174536360,0,0,0,0
1485174539731,0,0,0,0
1485174542771,0,0,0,0
1485174546058,0,0,0,0
1485174549076,0,0,0,0
1485174552770,0,0,0,0
1485174556170,0,0,0,0
1485174559188,0,0,0,0
1485174562315,0,0,0,0
1485174565423,0,0,0,0
1485174568876,0,0,0,0
1485174571893,0,0,0,0
1485174574919,0,0,0,0
1485174578093,0,0,0,0
1485174581451,0,0,0,0
1485174584475,0,0,0,0
1485174587493,0,0,0,0
1485174590719,0,0,0,0
1485174594030,0,0,0,0
1485174598602,0,0,0,0
1485174601852,0,0,0,0
1485174605389,0,0,0,0
1485174608410,0,0,0,0
1485174611669,0,0,0,0
1485174614704,0,0,0,0
1485174617732,0,0,0,0
1485174620757,0,0,0,0
1485174623795,0,0,0,0
1485174626876,0,0,0,0
1485174629889,0,0,0,0
1485174633050,0,0,0,0
1485174636208,0,0,0,0
1485174639636,0,0,0,0
1485174642686,0,0,0,0
1485174645705,0,0,0,0
1485174648721,0,0,0,0
1485174651857,0,0,0,0
1485174655266,0,0,0,0
1485174658740,0,0,0,0
1485174661841,0,0,0,0
1485174664978,0,0,216,0
1485174668026,0,0,417,0
1485174671082,0,0,417,0
1485174674484,0,0,417,0
1485174679885,0,0,505,0
1485174682903,0,0,542,0
1485174686235,0,0,593,0
1485174689625,0,0,593,0
1485174692783,0,0,623,0
1485174695869,0,0,652,0
1485174699158,0,0,666,0
1485174702178,0,0,666,0
1485174705206,0,0,666,0
1485174708698,0,0,666,0
1485174713681,0,0,692,0
1485174716936,0,0,716,0
1485174720307,0,0,740,0
1485174723483,0,0,770,0
1485174726660,0,0,783,0
1485174729687,0,0,819,0
1485174733165,0,0,823,0
1485174736254,0,0,823,0
1485174739537,0,0,823,0
1485174742962,0,0,823,0
1485174746038,0,0,841,0
1485174749169,0,0,848,0
1485174752228,0,0,848,0
1485174756092,0,0,867,0
1485174759215,0,0,894,0
1485174762268,0,0,909,0
1485174766065,0,0,955,0
1485174769090,0,0,964,0
1485174772696,0,0,1151,0
1485174776577,0,0,1160,0
1485174780352,0,0,1191,0
1485174783623,0,0,1197,0
1485174787117,0,0,1197,0
1485174790555,0,0,1213,0
1485174793698,0,0,1267,0
1485174798106,0,0,1281,0
1485174801670,0,0,1311,0
1485174805068,0,0,1352,0
1485174808150,0,0,1393,0
1485174811466,0,0,1419,0
1485174814823,0,0,1419,0
1485174818017,0,0,1435,0
1485174821902,0,0,1462,0
1485174825042,0,0,1462,0
1485174828259,0,0,1465,0
1485174831276,0,0,1493,0
1485174834473,0,0,1530,0
1485174837636,0,0,1574,0
1485174840954,0,0,1615,0
1485174843971,0,0,1630,0
1485174848281,0,0,1668,0
1485174851841,0,0,1692,0
1485174854942,0,0,1718,0
1485174858748,0,0,2127,0
1485174861875,0,0,2139,0
1485174864924,0,0,2172,0
1485174868167,0,0,2210,0
1485174872795,0,0,2275,0
1485174875920,0,0,2293,0
1485174879375,0,0,2293,0
1485174883238,0,0,2330,0
1485174886569,0,0,2401,0
1485174890032,0,0,2416,0
1485174894754,0,0,2417,0
1485174897799,0,0,2445,0
1485174900834,0,0,2497,0
1485174904664,0,0,2523,0
1485174908204,0,0,2792,0
1485174911787,0,0,2827,0
1485174915605,0,0,2858,0
1485174918947,0,0,2858,0
1485174922376,0,0,2882,0
1485174926025,0,0,2917,0
1485174929386,0,0,2938,0
1485174936104,0,0,3001,0
1485174939150,0,0,3041,0
1485174942359,0,0,3118,0
1485174945932,0,0,3121,0
1485174948956,0,0,3135,0
1485174952129,0,0,3166,0
1485174955152,0,0,3197,0
1485174958791,0,0,3226,0
1485174962402,0,0,3287,0
1485174965793,0,0,3315,0
1485174969099,0,0,3350,0
1485174972614,0,0,3380,0
1485174976223,0,0,3400,0
1485174980822,0,0,3479,0
1485174983864,0,0,3502,0
1485174986888,0,0,3525,0
1485174990096,0,0,3544,0
1485174993706,0,0,3562,0
1485174997079,0,0,3608,0
1485175000833,0,0,3653,0
1485175004294,0,0,3696,0
1485175007333,0,0,3721,0
1485175010824,0,0,3731,0
1485175014986,0,0,3764,0
1485175018116,0,0,3808,0
1485175021760,0,0,3885,0
1485175026138,0,0,3952,0
1485175029797,0,0,3976,0
1485175033076,0,0,4024,0
1485175036847,0,0,4070,0
1485175040062,0,0,4105,0
1485175043746,0,0,4120,0
1485175047965,0,0,4169,0
1485175051585,0,0,4239,0
1485175054942,0,0,4264,0
1485175059065,0,0,4275,0
1485175062182,0,0,4275,0
1485175065478,0,0,4298,0
1485175069448,0,0,4345,0
1485175072464,0,0,4379,0
1485175075945,0,0,4417,0
1485175079395,0,0,4456,0
1485175082739,0,0,4483,0
1485175086791,0,0,4536,0
1485175090254,0,0,4561,0
1485175093600,0,0,4573,0
1485175097402,0,0,4585,0
1485175100754,0,0,4604,0
1485175103771,0,0,4629,0
1485175107457,0,0,4681,0
1485175114025,0,0,4738,0
1485175117850,0,0,4819,0
1485175122406,0,0,4869,0
1485175125424,0,0,4888,0
1485175128852,0,0,4900,0
1485175132576,0,0,4914,0
1485175135605,0,0,4924,0
1485175139538,0,0,5012,0
1485175144084,0,0,5072,0
1485175147104,0,0,5084,0
1485175150326,0,0,5139,0
1485175154325,0,0,5179,0
1485175157480,0,0,5208,0
1485175161089,0,0,5224,0
1485175164723,0,0,5237,0
1485175167754,0,0,5259,0
1485175171235,0,0,5285,0
1485175175064,0,0,5330,0
1485175178238,0,0,5349,0
1485175181500,0,0,5388,0
1485175185712,0,0,5411,0
1485175189313,0,0,5443,0
1485175193113,0,0,5509,0
