timestamp_ms,transactions_sec/CPU_uperf-client:perf86,transactions_sec/CPU_uperf-server:perf88
1426182236000,38308.6604673266,42216.7691323803
1426182239000,37505.807689402,43022.1761792676
1426182242000,44229.7673072358,45654.3282228257
1426182245000,32636.3849250783,56804.2876445895
1426182248000,40032.7734632339,48908.1713162091
1426182251000,37950.374111285,42819.3400466471
1426182254000,48440.1232346848,40557.6553369683
1426182257000,31608.0181523146,35234.4338326793
1426182260000,41089.1586989041,48961.4890478194
1426182263000,35955.8342397306,37866.6433179275
1426182266000,36716.8610514947,54659.3674117752
1426182269000,37617.3286274219,43634.5874320095
1426182272000,43026.4582250132,37970.0505087491
1426182275000,39859.1688251483,38309.8725103899
1426182278000,39523.9269064802,47120.2430945056
1426182281000,36495.5073523038,45463.2412151177
1426182284000,39123.7447396655,44219.11381732
1426182287000,44053.7301248688,46097.1028272015
