timestamp_hostname:perf102_ms,hostname:perf102,timestamp_hostname:perf104_ms,hostname:perf104
1459955116000,0.3589,1459955117000,2.0896
1459955117000,0.0705,1459955118000,2.0501
1459955118000,0.0897,1459955119000,2.1298
1459955119000,0.1707,1459955120000,2.1704
1459955120000,0.0918,1459955121000,2.1237
1459955121000,0.2002,1459955122000,2.1399
1459955122000,0.1116,1459955123000,2.152
1459955123000,0.1621,1459955124000,2.1443
1459955124000,0.1532,1459955125000,2.1782
1459955125000,0.1918,1459955126000,2.1579
1459955126000,0.2024,1459955127000,2.1673
1459955127000,0.153,1459955128000,2.166
1459955128000,0.2123,1459955129000,2.1567
1459955129000,0.1619,1459955130000,2.2053
1459955130000,0.1934,1459955131000,2.1768
1459955131000,0.1625,1459955132000,2.1676
1459955132000,0.1915,1459955133000,2.2049
1459955133000,0.1834,1459955134000,2.1276
1459955134000,0.1831,1459955135000,2.2061
1459955135000,0.1825,1459955136000,2.1469
1459955136000,0.1826,1459955137000,2.1855
1459955137000,0.1832,1459955138000,2.1565
1459955138000,0.1922,1459955139000,2.2062
1459955139000,0.1828,1459955140000,2.1665
1459955140000,0.1633,1459955141000,2.1764
1459955141000,0.1926,1459955142000,2.215
1459955142000,0.1428,1459955143000,2.1168
1459955143000,0.192,1459955144000,2.1769
1459955144000,0.1535,1459955145000,2.1764
1459955145000,0.1829,1459955146000,2.1957
1459955146000,0.1534,1459955147000,2.187
1459955147000,0.2024,1459955148000,2.1653
1459955148000,0.1629,1459955149000,2.2361
1459955149000,0.1533,1459955150000,2.1371
1459955150000,0.2017,1459955151000,2.234
1459955151000,0.1928,1459955152000,2.1665
1459955152000,0.1819,1459955153000,2.1947
1459955153000,0.1534,1459955154000,2.1864
1459955154000,0.1819,1459955155000,2.1667
1459955155000,0.1923,1459955156000,2.1566
1459955156000,0.1548,1459955157000,2.1758
1459955157000,0.1722,1459955158000,2.1776
1459955158000,0.1533,1459955159000,2.1959
1459955159000,0.2221,1459955160000,2.1664
1459955160000,0.1918,1459955161000,2.1666
1459955161000,0.1725,1459955162000,2.177
1459955162000,0.1935,1459955163000,2.1762
1459955163000,0.1925,1459955164000,2.1662
1459955164000,0.163,1459955165000,2.1955
1459955165000,0.1922,1459955166000,2.1567
1459955166000,0.1634,1459955167000,2.1766
1459955167000,0.2031,1459955168000,2.1562
1459955168000,0.2033,1459955169000,2.1674
1459955169000,0.1731,1459955170000,2.176
1459955170000,0.1819,1459955171000,2.1866
1459955171000,0.1434,1459955172000,2.1665
1459955172000,0.204,1459955173000,2.1753
1459955173000,0.1816,1459955174000,2.1666
1459955174000,0.1921,1459955175000,2.1563
1459955175000,0.2021,1459955176000,2.1765
,,1459955177000,2.1257
,,1459955178000,2.1469
,,1459955179000,2.1343
,,1459955180000,2.1134
,,1459955181000,2.1586
,,1459955182000,2.3559
