timestamp_ms,CPU_uperf-client:perf86,CPU_uperf-server:perf88
1426182236000,0.4591,0.4166
1426182239000,0.4695,0.4093
1426182242000,0.4006,0.3881
1426182245000,0.5554,0.3191
1426182248000,0.4447,0.364
1426182251000,0.4661,0.4131
1426182254000,0.3612,0.4314
1426182257000,0.5509,0.4942
1426182260000,0.4223,0.3544
1426182263000,0.4875,0.4629
1426182266000,0.4731,0.3178
1426182269000,0.4612,0.3976
1426182272000,0.404,0.4578
1426182275000,0.4352,0.4528
1426182278000,0.4491,0.3767
1426182281000,0.4877,0.3915
1426182284000,0.4478,0.3962
1426182287000,0.3993,0.3816
