timestamp_ms,172.168.10.88-latency_us
1426182233695.4290,56.4863786858115
1426182235697.4875,57.9599682316093
1426182237699.5488,57.3865460943546
1426182239701.5969,55.8981828346619
1426182241703.6438,57.2864785270259
1426182243705.4558,55.4970520400208
1426182244706.4827,54.7457946660514
1426182245707.5059,56.2151509720545
1426182246708.4258,57.4613882470291
1426182247709.4622,56.2158913322359
1426182248710.5085,56.063755521758
1426182249711.5425,55.9221214796723
1426182250712.4299,56.4834904724534
1426182251713.4543,56.6574832500849
1426182252714.4802,55.4277895296927
1426182253715.5051,57.4542215659617
1426182254716.5317,56.4117560624472
1426182255717.5566,57.7558794336343
1426182256718.5813,57.3455922435337
1426182257719.6057,57.642774044829
1426182258720.6316,58.0203952301774
1426182259721.6577,57.5732514549304
1426182260722.6846,57.7793278769841
1426182261723.7117,56.9606862188105
1426182262724.7378,57.1198928985378
1426182263725.7625,56.8667078454312
1426182264726.7888,57.744303146001
1426182265727.8108,57.6974536820225
1426182266728.8369,57.2243824985351
1426182267729.4270,57.1569797721138
1426182268730.4543,57.63630491421
1426182269731.4790,57.6494274477727
1426182270732.5049,56.0783103502003
1426182271733.5288,57.521846044031
1426182272734.5562,57.5468435613682
1426182273735.5818,57.3982588741757
1426182274736.6089,57.6827878073859
1426182275737.6355,57.5501098843351
1426182276738.6694,57.9704618685936
1426182277739.6912,56.5197746324671
1426182278740.7146,55.8248577921535
1426182279741.7390,55.9841399324683
1426182280742.7678,56.4055225443033
1426182281743.7927,55.5507714952137
1426182282744.8181,56.2184314627092
1426182284746.8708,56.6351827705092
1426182286748.9282,56.5517462819897
1426182288750.9744,55.4185026885069
1426182290753.0178,57.5465909295056
1426182292955.1379,68.0333747681186
