timestamp_ms,172.168.10.88-trans_sec
1426182234696.4609,17743.6888250333
1426182236698.5266,17503.8124448815
1426182238700.5723,17599.4880239755
1426182240702.6199,17662.9317177984
1426182242704.4277,17748.58625233
1426182243705.4558,18018.9751210365
1426182244706.4827,18266.2432082681
1426182245707.5059,17788.7986193814
1426182246708.4258,17402.9906082491
1426182247709.4622,17788.5643418869
1426182248710.5085,17836.8357719437
1426182249711.5425,17882.0111530193
1426182250712.4299,17704.2883085933
1426182251713.4543,17649.9191745956
1426182252714.4802,18041.4916143156
1426182253715.5051,17405.1614092783
1426182254716.5317,17726.8014648048
1426182255717.5566,17314.2545799008
1426182256718.5813,17438.131875127
1426182257719.6057,17348.2282310407
1426182258720.6316,17235.3186501543
1426182259721.6577,17369.1770870857
1426182260722.6846,17307.2279783016
1426182261723.7117,17555.9682718458
1426182262724.7378,17507.0356272604
1426182263725.7625,17584.981404552
1426182264726.7888,17317.725654626
1426182265727.8108,17331.7873872063
1426182266728.8369,17475.0684295387
1426182267729.4270,17495.6760134462
1426182268730.4543,17350.1754057355
1426182269731.4790,17346.2260471875
1426182270732.5049,17832.2063156888
1426182271733.5288,17384.6993581279
1426182272734.5562,17377.1476959218
1426182273735.5818,17422.1312564921
1426182274736.6089,17336.1940019126
1426182275737.6355,17376.1614358306
1426182276738.6694,17250.1644417942
1426182277739.6912,17692.9226364176
1426182278740.7146,17913.1669931554
1426182279741.7390,17862.2017093817
1426182280742.7678,17728.7604988423
1426182281743.7927,18001.5501690406
1426182282744.8181,17787.760597044
1426182283745.8440,17529.0173508525
1426182285747.9058,17454.9356757009
1426182287749.9500,17671.9440708163
1426182289751.9949,17279.3662717247
1426182291754.0427,17670.8890643818
