Linux 3.16.6-200.fc20.x86_64 (a.foo.example.com) 	02/25/2015 	_x86_64_	(8 CPU)

05:48:49 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
05:48:52 PM     all      2.43      0.04      4.94     29.82      0.00      0.42      0.13     30.53      0.00     31.70
05:48:52 PM       0      1.68      0.00     10.44     42.09      0.00      0.67      1.01     12.46      0.00     31.65
05:48:52 PM       1      1.34      0.00      8.39     44.30      0.00      0.00      0.00     10.40      0.00     35.57
05:48:52 PM       2      3.37      0.00      5.39     29.97      0.00      0.00      0.00     51.52      0.00      9.76
05:48:52 PM       3      5.42      0.00      5.76     30.51      0.00      0.00      0.00      6.10      0.00     52.20
05:48:52 PM       4      1.00      0.00      2.66     25.91      0.00      0.66      0.00     55.48      0.00     14.29
05:48:52 PM       5      5.33      0.33      5.67     33.33      0.00      1.00      0.00      0.00      0.00     54.33
05:48:52 PM       6      0.67      0.34      0.34     16.11      0.00      0.34      0.00     54.70      0.00     27.52
05:48:52 PM       7      0.67      0.00      0.33     16.33      0.00      0.33      0.00     53.33      0.00     29.00

05:48:49 PM    proc/s   cswch/s
05:48:52 PM     15.00  16192.67

05:48:49 PM      INTR    intr/s
05:48:52 PM       sum   7856.33
05:48:52 PM         0      0.00
05:48:52 PM         1      0.00
05:48:52 PM         2      0.00
05:48:52 PM         3      0.00
05:48:52 PM         4      0.00
05:48:52 PM         5      0.00
05:48:52 PM         6      0.00
05:48:52 PM         7      0.00
05:48:52 PM         8      0.00
05:48:52 PM         9      0.00
05:48:52 PM        10      0.00
05:48:52 PM        11      0.00
05:48:52 PM        12      0.00
05:48:52 PM        13      0.00
05:48:52 PM        14      0.00
05:48:52 PM        15      0.00
05:48:52 PM        16      2.67
05:48:52 PM        17      0.00
05:48:52 PM        18      0.00
05:48:52 PM        19      0.00
05:48:52 PM        20      0.00
05:48:52 PM        21      0.00
05:48:52 PM        22      0.00
05:48:52 PM        23      0.00
05:48:52 PM        24      0.00
05:48:52 PM        25      0.00
05:48:52 PM        26      0.00
05:48:52 PM        27      0.00
05:48:52 PM        28      0.00
05:48:52 PM        29      0.00
05:48:52 PM        30      0.00
05:48:52 PM        31      0.00
05:48:52 PM        32      0.00
05:48:52 PM        33      0.00
05:48:52 PM        34      0.00
