timestamp_ms,client_hostname:perf102-server_hostname:perf104-server_port:21000/hostname:perf102,client_hostname:perf102-server_hostname:perf104-server_port:22000/hostname:perf102
1459958321000,5.7437863695891,3.80551890008403
1459958322000,4.85136458224213,3.70876269729213
1459958323000,4.27340001470281,3.48872964579843
1459958324000,4.62018949519398,3.97008393513548
1459958325000,7.05689004257347,6.20541679839121
1459958326000,4.90776103754695,4.47159150940957
1459958327000,4.95392188203321,4.4444940296733
1459958328000,5.02827198477913,4.39048281092129
1459958329000,4.493591208485,4.020345839238
1459958330000,6.2324165967458,5.55655708826388
1459958331000,4.53285227887409,4.08830722949655
1459958332000,5.48087713113978,4.82832467261707
1459958333000,4.90316262808913,4.43035625142661
1459958334000,3.77369738821837,3.43294169842409
1459958335000,5.02974824560055,4.47684995124755
1459958336000,4.13467919104899,3.70508828042272
1459958337000,4.47089743265973,3.99759915042819
1459958338000,5.51972314243054,4.9418286696692
1459958339000,5.47612705563364,4.9325339497652
1459958340000,4.0550307923546,3.73060399217578
1459958341000,5.50428666391375,4.92342542050655
1459958342000,4.90509363652221,4.53307344194743
1459958343000,4.49685532592349,4.07159789115994
1459958344000,6.95250525879533,6.35193756928749
1459958345000,4.05731558174462,3.74413395435336
1459958346000,4.89207490224759,4.45996504740047
1459958347000,5.43485327770635,5.03545370245113
1459958348000,3.75084904607419,3.44426202258511
1459958349000,5.47204621103559,5.04126184209715
1459958350000,4.11718896662342,3.70698194502161
1459958351000,4.40070233037699,4.03256356694514
1459958352000,6.08997918851335,5.71524763782454
1459958353000,4.13558083976733,3.7238591515573
1459958354000,6.14902417232063,5.6215192509354
1459958355000,4.40901373968019,4.0764629197193
1459958356000,5.35471104018764,4.92944937347952
1459958357000,4.08579569807786,3.7531099548807
1459958358000,7.10513018125083,6.49449135346454
1459958359000,6.03694633609223,5.5902835042161
1459958360000,4.39499685997883,4.08505240260615
1459958361000,4.48664985839869,4.09323685485848
1459958362000,4.90713454883259,4.44912391696041
1459958363000,4.48390344972581,4.07280869259554
1459958364000,4.0946712548688,3.75140779330435
1459958365000,5.365389732219,5.10954692918893
1459958366000,4.82612262191418,4.41216247364123
1459958367000,6.19438654950692,5.62160158285176
1459958368000,3.77386662564151,3.46223860689656
1459958369000,4.45030934637415,4.0902341149734
1459958370000,6.08971819051769,5.66934332735446
1459958371000,6.14509921487104,5.6472354083479
1459958372000,3.49133301247062,3.1945955694655
