timestamp_Gb_sec-_client::perf102-server::perf104:21000_ms,Gb_sec-_client::perf102-server::perf104:21000,timestamp_Gb_sec-_client::perf102-server::perf104:22000_ms,Gb_sec-_client::perf102-server::perf104:22000
1459958320601,0.691368791208791,1459958320828,0.421106445554446
1459958321602,0.540524691308691,1459958321829,0.40434599000999
1459958322603,0.519574121878122,1459958322830,0.419011388611389
1459958323604,0.513288951048951,1459958323832,0.437429908183633
1459958324605,0.502813666333666,1459958324833,0.437866901098901
1459958325606,0.496528495504496,1459958325834,0.450437242757243
1459958326607,0.488148267732268,1459958326835,0.444152071928072
1459958327608,0.502813666333666,1459958327836,0.437866901098901
1459958328608,0.505413632,1459958328837,0.450437242757243
1459958329609,0.496528495504496,1459958329838,0.442057014985015
1459958330610,0.498623552447552,1459958330839,0.450437242757243
1459958331612,0.493939992015968,1459958331840,0.435771844155844
1459958332613,0.500718609390609,1459958332841,0.446247128871129
1459958333614,0.483958153846154,1459958333842,0.448342185814186
1459958334615,0.50700378021978,1459958334843,0.448342185814186
1459958335616,0.496528495504496,1459958335844,0.444152071928072
1459958336617,0.492338381618382,1459958336845,0.439961958041958
1459958337618,0.494433438561439,1459958337846,0.446247128871129
1459958338619,0.504908723276723,1459958338847,0.446247128871129
1459958339620,0.481863096903097,1459958339848,0.450437242757243
1459958340621,0.498623552447552,1459958340849,0.442057014985015
1459958341622,0.494433438561439,1459958341850,0.458817470529471
1459958342623,0.494433438561439,1459958342851,0.446247128871129
1459958343624,0.490243324675325,1459958343852,0.446247128871129
1459958344625,0.488148267732268,1459958344853,0.4525322997003
1459958345626,0.492338381618382,1459958345854,0.448342185814186
1459958346627,0.494433438561439,1459958346855,0.456722413586414
1459958347628,0.486053210789211,1459958347856,0.446247128871129
1459958348629,0.490243324675325,1459958348857,0.456722413586414
1459958349630,0.500718609390609,1459958349858,0.446247128871129
1459958350631,0.486053210789211,1459958350859,0.444152071928072
1459958351632,0.490243324675325,1459958351860,0.463007584415584
1459958352633,0.490243324675325,1459958352861,0.442057014985015
1459958353634,0.496528495504496,1459958353862,0.4525322997003
1459958354635,0.492338381618382,1459958354863,0.4525322997003
1459958355636,0.481863096903097,1459958355864,0.446247128871129
1459958356637,0.492338381618382,1459958356865,0.4525322997003
1459958357638,0.492338381618382,1459958357866,0.450437242757243
1459958358639,0.494433438561439,1459958358867,0.4525322997003
1459958359640,0.477672983016983,1459958359868,0.450437242757243
1459958360641,0.498623552447552,1459958360869,0.454627356643357
1459958361642,0.494433438561439,1459958361870,0.446247128871129
1459958362643,0.488148267732268,1459958362871,0.446247128871129
1459958363644,0.498623552447552,1459958363872,0.450437242757243
1459958364645,0.483958153846154,1459958364873,0.463007584415584
1459958365646,0.483958153846154,1459958365874,0.446247128871129
1459958366647,0.496528495504496,1459958366875,0.448342185814186
1459958367648,0.490243324675325,1459958367876,0.450437242757243
1459958368649,0.492338381618382,1459958368877,0.450437242757243
1459958369650,0.488148267732268,1459958369879,0.456266602794411
1459958370651,0.492338381618382,1459958370880,0.4525322997003
1459958371652,0.490243324675325,1459958371881,0.446247128871129
1459958372653,0.486053210789211,1459958372882,0.454627356643357
1459958373655,0.483475161676647,1459958373883,0.4525322997003
1459958374656,0.498623552447552,1459958374884,0.446247128871129
1459958375657,0.488148267732268,1459958375885,0.448342185814186
1459958376658,0.494433438561439,1459958376886,0.446247128871129
1459958377659,0.494433438561439,1459958377887,0.456722413586414
1459958378660,0.481863096903097,1459958378888,0.4525322997003
1459958379861,0.415588329725229,1459958380089,0.447019557035803
