timestamp_transactions_sec/CPU_uperf-client:perf86_ms,transactions_sec/CPU_uperf-client:perf86,timestamp_transactions_sec/CPU_uperf-server:perf88_ms,transactions_sec/CPU_uperf-server:perf88
1426179736000,34482.2208793195,1426179736000,43925.8441854648
1426179739000,39558.6736581689,1426179739000,45248.2662412154
1426179742000,37201.9340081944,1426179742000,37676.2023976679
1426179745000,42904.8160855317,1426179745000,46328.9833708894
1426179748000,31963.249483922,1426179748000,30861.6528686225
1426179751000,32903.1327361302,1426179751000,36515.7254778378
1426179754000,28788.677963979,1426179754000,33679.9582005774
1426179757000,36492.1569118974,1426179757000,36077.1239562861
1426179760000,31266.0799274862,1426179760000,33283.6314768352
1426179763000,35617.3188326316,1426179763000,38958.934728483
1426179766000,27892.6324614629,1426179766000,29929.2989485656
1426179769000,31549.1745080801,1426179769000,37677.7234155244
1426179772000,37044.5832848028,1426179772000,35712.5399924788
1426179775000,32084.9000444763,1426179775000,37009.5591210704
1426179778000,33885.2340176245,1426179778000,34878.6782538812
1426179781000,39388.9488873032,1426179781000,45068.7634204658
,,1426179784000,38923.8894503204
,,1426179787000,39798.0788785727
