1000, 25, 0, 0
2000, 23, 0, 0
3003, 21, 0, 0
4003, 20, 0, 0
0, 20, 0, 0
1000, 21, 0, 0
2000, 21, 0, 0
3000, 20, 0, 0
4000, 20, 0, 0
5000, 20, 0, 0
6000, 21, 0, 0
7000, 21, 0, 0
8000, 20, 0, 0
9000, 21, 0, 0
10000, 21, 0, 0
11000, 21, 0, 0
12000, 21, 0, 0
13000, 20, 0, 0
14000, 20, 0, 0
15000, 20, 0, 0
16000, 20, 0, 0
17000, 20, 0, 0
18000, 21, 0, 0
19000, 21, 0, 0
20000, 19, 0, 0
21000, 21, 0, 0
22000, 20, 0, 0
23000, 21, 0, 0
24000, 20, 0, 0
25000, 21, 0, 0
26000, 21, 0, 0
27000, 20, 0, 0
28000, 20, 0, 0
29000, 19, 0, 0
30000, 21, 0, 0
