1000, 2888, 0, 0
2000, 2885, 0, 0
3000, 2887, 0, 0
4000, 2891, 0, 0
5000, 2889, 0, 0
6000, 2887, 0, 0
7000, 2889, 0, 0
8000, 2888, 0, 0
9000, 2896, 0, 0
10000, 2896, 0, 0
11000, 2893, 0, 0
12000, 2896, 0, 0
13000, 2898, 0, 0
14000, 2887, 0, 0
15000, 2887, 0, 0
16000, 2890, 0, 0
17000, 2886, 0, 0
18000, 2887, 0, 0
19000, 2886, 0, 0
20000, 2890, 0, 0
21000, 2885, 0, 0
22000, 2886, 0, 0
23000, 2887, 0, 0
24000, 2887, 0, 0
25000, 2888, 0, 0
26000, 2889, 0, 0
27000, 2882, 0, 0
28000, 2888, 0, 0
29000, 2892, 0, 0
30000, 2897, 0, 0
30002, 4159, 0, 0
