1000, 2909, 0, 0
2000, 2906, 0, 0
3000, 2908, 0, 0
4000, 2911, 0, 0
5000, 2909, 0, 0
6000, 2908, 0, 0
7000, 2910, 0, 0
8000, 2909, 0, 0
9000, 2917, 0, 0
10000, 2918, 0, 0
11000, 2914, 0, 0
12000, 2917, 0, 0
13000, 2919, 0, 0
14000, 2908, 0, 0
15000, 2908, 0, 0
16000, 2910, 0, 0
17000, 2906, 0, 0
18000, 2909, 0, 0
19000, 2908, 0, 0
20000, 2910, 0, 0
21000, 2906, 0, 0
22000, 2906, 0, 0
23000, 2908, 0, 0
24000, 2908, 0, 0
25000, 2910, 0, 0
26000, 2910, 0, 0
27000, 2903, 0, 0
28000, 2908, 0, 0
29000, 2912, 0, 0
30000, 2918, 0, 0
30002, 4182, 0, 0
