timestamp_CPU_uperf-client:perf86_ms,CPU_uperf-client:perf86,timestamp_CPU_uperf-server:perf88_ms,CPU_uperf-server:perf88
1426179736000,0.507,1426179736000,0.398
1426179739000,0.4382,1426179739000,0.3831
1426179742000,0.4687,1426179742000,0.4628
1426179745000,0.4059,1426179745000,0.3759
1426179748000,0.5463,1426179748000,0.5658
1426179751000,0.5246,1426179751000,0.4727
1426179754000,0.6025,1426179754000,0.515
1426179757000,0.4694,1426179757000,0.4748
1426179760000,0.5576,1426179760000,0.5238
1426179763000,0.4885,1426179763000,0.4466
1426179766000,0.6172,1426179766000,0.5752
1426179769000,0.557,1426179769000,0.4664
1426179772000,0.4665,1426179772000,0.4839
1426179775000,0.5456,1426179775000,0.473
1426179778000,0.5161,1426179778000,0.5014
1426179781000,0.4388,,
1426179784000,0.553,,
1426179787000,0.513,,
