timestamp_ms,transactions_sec
1426179734890.0359,17241.8203990049
1426179736892.0823,17675.9098110528
1426179738894.1384,17339.681952798
1426179740896.1917,17243.7762943849
1426179742898.2454,17593.4169225479
1426179743899.2695,17308.2733869974
1426179744900.2957,17410.634546631
1426179745901.3203,17455.114473768
1426179746902.3452,17564.9975927992
1426179747903.3674,17486.1253889152
1426179748904.3965,17231.268116428
1426179749905.4250,17352.152193069
1426179750906.4500,17264.805260624
1426179751907.4712,17223.9102498596
1426179752908.4963,17688.8663208786
1426179753909.5208,17336.2405114292
1426179754910.5459,17435.1264414239
1426179755911.5723,17618.9165222023
1426179756912.4292,17108.3392893297
1426179757913.4497,17349.294909004
1426179758914.4734,17192.4004552956
1426179759915.4956,17437.1754263891
1426179760916.5210,17399.1590654114
1426179761917.5479,17060.4813514248
1426179762918.5710,17405.1911240232
1426179763919.5911,17329.8232418202
1426179764920.6143,17512.5812431665
1426179765921.6353,17215.423120242
1426179766922.6653,17214.2687988129
1426179767923.6895,17202.381837937
1426179768924.7136,17594.9797509631
1426179769925.7383,17301.2721096084
1426179770926.7644,17505.5371648672
1426179771927.7881,17271.3196671474
1426179772928.8137,17409.644063791
1426179773929.4231,17410.3905432627
1426179774930.4463,17521.0725549127
1426179775931.4719,17297.2593294817
1426179776932.4958,17666.9103949716
1426179777933.5195,17508.0773027026
1426179778934.5474,17208.312744957
1426179779935.4314,17217.7789117579
1426179780936.4551,17285.3053502603
1426179781937.4858,17262.7062632218
1426179782938.5110,17787.26544736
1426179783939.5457,17346.0525949957
1426179785941.6038,17165.239676331
1426179787943.6526,17541.0264433636
1426179789945.7036,17340.7189893176
