timestamp_ms,docker0-rx,eth0-rx,lo-rx
1455698999000,0.00,0.00,0.00
1455699002000,0.00,0.00,0.00
1455699005000,0.00,0.00,0.00
1455699008000,0.00,0.00,0.00
1455699011000,0.00,0.00,0.00
1455699014000,0.00,0.00,0.00
1455699017000,0.00,0.00,0.00
1455699020000,0.00,0.00,0.00
1455699023000,0.00,0.00,0.00
1455699026000,0.00,0.00,0.00
1455699029000,0.00,0.00,0.00
1455699032000,0.00,0.00,0.00
1455699035000,0.00,0.00,0.00
1455699038000,0.00,0.00,0.00
1455699041000,0.00,0.00,0.00
1455699044000,0.00,0.00,0.00
1455699047000,0.00,0.00,0.00
1455699050000,0.00,0.00,0.00
1455699053000,0.00,0.00,0.00
1455699056000,0.00,0.00,0.00
