timestamp_ms,fault_sec,majflt_sec,page_swaps_in_sec,page_swaps_out_sec,pgfree_sec,pgpgin_sec,pgpgout_sec,pgscand_sec,pgscank_sec,pgsteal_sec,vmeff_pct
1455698999000,894.98,0.33,0.00,0.00,601.00,287.63,0.00,0.00,0.00,0.00,0.00
1455699002000,246.98,0.00,0.00,0.00,233.22,0.00,0.00,0.00,0.00,0.00,0.00
1455699005000,519.27,0.00,0.00,0.00,288.04,0.00,0.00,0.00,0.00,0.00,0.00
1455699008000,683.61,0.00,0.00,0.00,349.16,0.00,0.00,0.00,0.00,0.00,0.00
1455699011000,678.41,0.00,0.00,0.00,345.85,0.00,0.00,0.00,0.00,0.00,0.00
1455699014000,686.91,0.00,0.00,0.00,349.33,0.00,0.00,0.00,0.00,0.00,0.00
1455699017000,683.00,0.00,0.00,0.00,347.33,0.00,0.00,0.00,0.00,0.00,0.00
1455699020000,682.33,0.00,0.00,0.00,347.33,0.00,0.00,0.00,0.00,0.00,0.00
1455699023000,684.95,0.00,0.00,0.00,349.83,0.00,8.03,0.00,0.00,0.00,0.00
1455699026000,685.95,0.00,0.00,0.00,350.50,0.00,2.68,0.00,0.00,0.00,0.00
1455699029000,682.33,0.00,0.00,0.00,347.00,3.00,709.33,0.00,0.00,0.00,0.00
1455699032000,684.62,0.00,0.00,0.00,350.50,0.00,0.00,0.00,0.00,0.00,0.00
1455699035000,683.33,0.00,0.00,0.00,348.33,0.00,0.00,0.00,0.00,0.00,0.00
1455699038000,685.62,0.00,0.00,0.00,350.17,0.00,0.00,0.00,0.00,0.00,0.00
1455699041000,704.67,0.00,0.00,0.00,349.00,0.00,0.00,0.00,0.00,0.00,0.00
1455699044000,686.29,0.00,0.00,0.00,348.16,0.00,0.00,0.00,0.00,0.00,0.00
1455699047000,687.63,0.00,0.00,0.00,350.50,0.00,0.00,0.00,0.00,0.00,0.00
1455699050000,684.00,0.00,0.00,0.00,351.00,0.00,0.00,0.00,0.00,0.00,0.00
1455699053000,683.67,0.00,0.00,0.00,347.33,0.00,86.67,0.00,0.00,0.00,0.00
1455699056000,17148.32,0.00,0.00,0.00,4392.28,0.00,0.00,0.00,0.00,0.00,0.00
