timestamp_ms,active_opens_sec,passive_opens_sec,rx_segments_sec,tcp_attempt_fails_sec,tcp_establish_resets_sec,tcp_rx_segments_error_sec,tcp_segments_retransmitted_sec,tcp_tx_segments_RSTflag_sec,tx_segments_sec
1455698999000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1455699002000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1455699005000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1455699008000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1455699011000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1455699014000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1455699017000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1455699020000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1455699023000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1455699026000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1455699029000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1455699032000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1455699035000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1455699038000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1455699041000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1455699044000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1455699047000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1455699050000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1455699053000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1455699056000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
