timestamp_ms,commit_pct,hugeused_pct,kbactive,kbanonpg,kbavail,kbbuffers,kbcached,kbcommit,kbdirty,kbhugefree,kbhugeused,kbinactive,kbkstack,kbmemfree,kbmemused,kbpgtbl,kbslab,kbswpcad,kbswpfree,kbswpused,kbvmused,memused_pct,swpcad_pct,swpused_pct
1455698999000,19.74,0.00,123452,71852,63387252,872,212300,371924,1704,0,0,161596,2224,1505580,378616,5964,53072,0,0,0,11484,20.09,0.00,0.00
1455699002000,19.72,0.00,123444,71812,63387252,872,212340,371580,1744,0,0,161572,2224,1505540,378656,5892,53128,0,0,0,11484,20.10,0.00,0.00
1455699005000,19.74,0.00,123540,71880,63387252,872,212384,371924,1788,0,0,161572,2224,1505532,378664,5972,53128,0,0,0,11484,20.10,0.00,0.00
1455699008000,19.74,0.00,123580,71876,63387252,872,212428,371924,1832,0,0,161576,2224,1505532,378664,5964,53144,0,0,0,11484,20.10,0.00,0.00
1455699011000,19.74,0.00,123616,71872,63387252,872,212464,371924,1868,0,0,161568,2224,1505532,378664,5960,53144,0,0,0,11484,20.10,0.00,0.00
1455699014000,19.74,0.00,123664,71884,63387252,872,212516,371924,1920,0,0,161580,2224,1505532,378664,5968,53144,0,0,0,11484,20.10,0.00,0.00
1455699017000,19.74,0.00,123720,71888,63387252,872,212552,371924,1956,0,0,161568,2224,1505408,378788,5968,53144,0,0,0,11484,20.10,0.00,0.00
1455699020000,19.74,0.00,123764,71888,63387252,872,212600,371924,2004,0,0,161576,2224,1505408,378788,5968,53148,0,0,0,11484,20.10,0.00,0.00
1455699023000,19.74,0.00,123800,71888,63387252,872,212644,371924,2048,0,0,161576,2224,1505284,378912,5972,53148,0,0,0,11484,20.11,0.00,0.00
1455699026000,19.74,0.00,123872,71888,63387252,872,212684,371924,2080,0,0,161572,2224,1505284,378912,5960,53148,0,0,0,11484,20.11,0.00,0.00
1455699029000,19.74,0.00,123884,71888,63387252,872,212728,371924,12,0,0,161572,2224,1505256,378940,5960,53196,0,0,0,11484,20.11,0.00,0.00
1455699032000,19.74,0.00,123936,71884,63387252,872,212780,371924,68,0,0,161576,2224,1505144,379052,5960,53180,0,0,0,11484,20.12,0.00,0.00
1455699035000,19.74,0.00,123980,71888,63387252,872,212816,371924,112,0,0,161572,2224,1505144,379052,5968,53180,0,0,0,11484,20.12,0.00,0.00
1455699038000,19.74,0.00,124024,71888,63387252,872,212860,371924,156,0,0,161572,2224,1505144,379052,5968,53180,0,0,0,11484,20.12,0.00,0.00
1455699041000,19.74,0.00,124092,71884,63387252,872,213168,371924,468,0,0,161828,2224,1504772,379424,5968,53188,0,0,0,11484,20.14,0.00,0.00
1455699044000,19.74,0.00,124120,71884,63387252,872,213212,371924,512,0,0,161828,2224,1504772,379424,5964,53192,0,0,0,11484,20.14,0.00,0.00
1455699047000,19.74,0.00,124172,71888,63387252,872,213248,371924,548,0,0,161820,2224,1504772,379424,5968,53192,0,0,0,11484,20.14,0.00,0.00
1455699050000,19.74,0.00,124196,71880,63387252,872,213296,371924,596,0,0,161828,2224,1504648,379548,5960,53192,0,0,0,11484,20.14,0.00,0.00
1455699053000,19.74,0.00,124248,71884,63387252,872,213336,371924,636,0,0,161820,2224,1504640,379556,5968,53204,0,0,0,11484,20.14,0.00,0.00
1455699056000,21.22,0.00,144972,92556,63387252,872,213380,399912,680,0,0,161824,2576,1481264,402932,7240,53516,0,0,0,11484,21.38,0.00,0.00
