timestamp_ms,guest,idle,iowait,irq,nice,softirq,steal,sys,usr
1424886532000,56.67,14.33,25.00,0.67,0.00,0.00,0.00,2.67,0.67
1424886535000,1.01,11.07,86.58,0.34,0.00,0.00,0.00,0.67,0.34
1424886538000,2.74,39.04,55.14,0.00,0.00,0.00,0.00,1.71,1.37
1424886541000,0.00,96.28,0.34,0.00,0.00,0.00,0.00,1.35,2.03
1424886544000,0.68,89.83,5.42,0.34,0.00,0.00,0.00,1.02,2.71
1424886547000,0.00,97.97,0.00,0.34,0.00,0.00,0.00,0.34,1.36
1424886550000,0.34,97.96,0.00,0.34,0.00,0.00,0.00,0.68,0.68
1424886553000,0.34,96.96,0.34,0.00,0.00,0.00,0.00,1.35,1.01
1424886556000,0.34,96.96,1.01,0.00,0.00,0.34,0.00,0.68,0.68
1424886559000,2.93,74.27,15.31,0.65,0.00,0.00,0.00,2.61,4.23
1424886562000,3.90,91.23,2.27,0.32,0.00,0.00,0.00,1.95,0.32
1424886565000,0.68,82.94,5.46,0.00,0.00,0.34,0.00,2.05,8.53
1424886568000,1.02,89.49,4.75,0.34,0.00,0.00,0.00,1.69,2.71
1424886571000,0.34,81.69,10.51,0.34,0.00,0.00,0.00,1.02,6.10
1424886574000,0.34,94.28,2.69,0.00,0.00,0.34,0.00,1.35,1.01
1424886577000,0.67,96.63,0.34,0.34,0.00,0.00,0.00,1.01,1.01
1424886580000,0.68,92.49,5.46,0.00,0.00,0.00,0.00,0.68,0.68
1424886583000,0.34,91.25,6.06,0.34,0.00,0.00,0.00,0.67,1.35
1424886586000,0.67,96.97,0.00,0.34,0.34,0.34,0.00,0.67,0.67
1424886589000,0.34,96.60,2.04,0.00,0.00,0.00,0.00,0.34,0.68
1424886592000,0.68,97.97,0.00,0.34,0.00,0.00,0.00,0.68,0.34
