timestamp_ms,guest,idle,iowait,irq,nice,softirq,steal,sys,usr
1424886532000,12.42,32.55,41.28,0.67,0.00,1.01,0.00,10.40,1.68
1424886535000,0.34,2.01,87.92,0.00,0.00,1.34,0.00,4.36,4.03
1424886538000,1.68,65.10,26.17,0.67,0.00,1.01,0.00,3.36,2.01
1424886541000,0.34,97.96,0.34,0.00,0.00,0.00,0.00,0.68,0.68
1424886544000,0.34,93.22,2.37,0.34,0.34,0.34,0.00,0.68,2.37
1424886547000,0.34,97.64,0.34,0.34,0.00,0.34,0.00,0.68,0.34
1424886550000,0.00,92.57,3.72,0.34,0.00,0.34,0.00,1.35,1.69
1424886553000,0.34,93.58,4.05,0.00,0.34,0.00,0.00,0.68,1.01
1424886556000,0.68,96.95,0.34,0.34,0.00,0.00,0.00,0.68,1.02
1424886559000,1.67,87.33,5.33,0.67,0.00,0.67,0.00,1.67,2.67
1424886562000,1.65,93.07,1.32,0.33,0.00,0.00,0.00,1.98,1.65
1424886565000,0.34,84.54,3.78,0.69,0.00,1.03,0.00,2.41,7.22
1424886568000,0.00,91.13,2.73,0.68,0.00,0.34,0.00,1.02,4.10
1424886571000,0.00,23.73,3.39,0.68,0.00,0.34,0.00,65.08,6.78
1424886574000,0.00,0.00,0.00,0.66,0.00,0.33,0.00,90.70,8.31
1424886577000,0.00,0.00,0.00,0.67,0.00,0.00,0.00,91.97,7.36
1424886580000,0.00,32.12,2.65,0.66,0.00,0.66,0.00,58.61,5.30
1424886583000,0.00,94.44,2.94,2.29,0.00,0.00,0.00,0.00,0.33
1424886586000,0.00,96.66,2.68,0.00,0.00,0.00,0.00,0.00,0.67
1424886589000,0.00,97.67,1.33,0.00,0.00,0.00,0.00,0.33,0.66
1424886592000,0.00,99.66,0.34,0.00,0.00,0.00,0.00,0.00,0.00
