timestamp_ms,guest,idle,iowait,irq,nice,softirq,steal,sys,usr
1424886532000,51.34,9.73,29.19,0.00,0.00,0.00,0.00,6.04,3.69
1424886535000,0.00,0.00,34.23,0.34,0.00,0.00,0.00,60.40,5.03
1424886538000,0.00,0.00,0.00,0.66,0.00,0.33,0.00,92.36,6.64
1424886541000,0.00,0.33,0.00,0.66,0.00,0.00,0.00,92.69,6.31
1424886544000,0.00,0.00,0.00,0.67,0.00,0.00,0.00,93.00,6.33
1424886547000,0.00,0.00,0.00,0.67,0.00,0.33,0.00,91.33,7.67
1424886550000,0.00,0.00,0.00,0.67,0.00,0.00,0.00,92.67,6.67
1424886553000,0.00,0.00,0.00,0.67,0.00,0.00,0.00,93.00,6.33
1424886556000,0.00,0.00,0.00,0.67,0.00,0.00,0.00,91.64,7.69
1424886559000,0.00,0.00,0.00,0.66,0.00,0.33,0.00,92.05,6.95
1424886562000,0.00,0.00,0.00,0.67,0.00,0.00,0.00,92.98,6.35
1424886565000,0.00,0.00,0.00,0.67,0.00,0.00,0.00,91.97,7.36
1424886568000,0.00,0.00,0.00,0.66,0.00,0.33,0.00,90.73,8.28
1424886571000,0.68,62.37,2.37,0.34,0.00,0.00,0.00,29.15,5.08
1424886574000,0.34,97.64,0.00,0.34,0.00,0.00,0.00,0.68,1.01
1424886577000,1.34,96.64,0.34,0.00,0.00,0.34,0.00,0.67,0.67
1424886580000,0.68,96.61,0.34,0.34,0.00,0.00,0.00,0.68,1.36
1424886583000,1.01,89.26,7.05,0.34,0.34,0.00,0.00,0.67,1.34
1424886586000,1.01,97.32,0.00,0.00,0.00,0.34,0.00,0.67,0.67
1424886589000,1.01,96.97,0.00,0.67,0.00,0.00,0.00,0.67,0.67
1424886592000,0.00,94.90,3.40,0.00,0.00,0.00,0.00,0.68,1.02
