timestamp_ms,guest,idle,iowait,irq,nice,softirq,steal,sys,usr
1424886532000,54.70,28.19,15.44,0.34,0.34,0.00,0.00,0.34,0.67
1424886535000,0.34,54.05,42.57,0.34,0.00,0.00,0.00,1.01,1.69
1424886538000,2.70,32.43,61.15,0.34,0.00,0.00,0.00,2.03,1.35
1424886541000,0.68,95.59,0.00,0.00,0.00,0.00,0.00,1.36,2.37
1424886544000,0.34,89.83,6.10,0.34,0.00,0.34,0.00,1.69,1.36
1424886547000,0.34,93.92,2.70,0.34,0.00,0.00,0.00,1.35,1.35
1424886550000,0.68,95.59,0.00,0.00,0.00,0.00,0.00,1.36,2.37
1424886553000,0.67,94.28,1.68,0.34,0.00,0.34,0.00,1.01,1.68
1424886556000,0.00,93.92,3.04,0.34,0.00,0.00,0.00,1.35,1.35
1424886559000,2.67,74.33,11.33,0.00,0.00,0.00,0.00,2.33,9.33
1424886562000,1.99,94.04,0.00,0.33,0.00,0.33,0.00,1.99,1.32
1424886565000,0.34,86.44,2.03,0.34,0.00,0.00,0.00,2.03,8.81
1424886568000,0.00,90.54,2.36,0.34,0.00,0.00,0.00,2.03,4.73
1424886571000,0.68,85.47,4.05,0.00,0.00,0.34,0.00,2.36,7.09
1424886574000,1.01,95.97,0.00,0.00,0.00,0.34,0.00,1.01,1.68
1424886577000,0.00,94.28,3.03,0.34,0.00,0.00,0.00,1.01,1.35
1424886580000,1.35,95.27,0.68,0.34,0.00,0.00,0.00,1.01,1.35
1424886583000,0.33,94.98,0.00,0.33,0.00,0.00,0.00,2.01,2.34
1424886586000,0.34,96.26,0.00,0.00,0.00,0.00,0.00,1.36,2.04
1424886589000,0.34,94.97,0.67,0.34,0.00,0.34,0.00,1.68,1.68
1424886592000,0.68,96.26,0.00,0.00,0.00,0.00,0.00,2.04,1.02
