timestamp_ms,guest,idle,iowait,irq,nice,softirq,steal,sys,usr
1424886532000,6.10,52.20,29.49,0.00,0.00,0.00,0.00,6.10,6.10
1424886535000,0.00,53.00,29.67,0.00,0.00,0.00,0.00,16.33,1.00
1424886538000,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1424886541000,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1424886544000,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1424886547000,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1424886550000,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1424886553000,0.00,99.67,0.00,0.00,0.00,0.00,0.00,0.00,0.33
1424886556000,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1424886559000,0.00,99.67,0.00,0.00,0.00,0.00,0.00,0.00,0.33
1424886562000,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1424886565000,0.00,99.33,0.00,0.00,0.00,0.00,0.00,0.33,0.33
1424886568000,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1424886571000,0.67,97.32,0.00,0.00,0.00,0.00,0.00,0.34,1.68
1424886574000,0.34,99.32,0.00,0.00,0.00,0.00,0.00,0.00,0.34
1424886577000,0.00,99.66,0.00,0.00,0.00,0.00,0.00,0.00,0.34
1424886580000,0.00,92.64,6.02,0.00,0.00,0.00,0.00,0.67,0.67
1424886583000,0.67,98.66,0.00,0.00,0.00,0.00,0.00,0.34,0.34
1424886586000,0.34,98.99,0.34,0.00,0.00,0.00,0.00,0.00,0.34
1424886589000,0.67,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33
1424886592000,0.00,99.33,0.00,0.00,0.00,0.00,0.00,0.33,0.33
