timestamp_ms,guest,idle,iowait,irq,nice,softirq,steal,sys,usr
1424886532000,0.00,53.97,33.11,0.99,0.33,0.00,0.00,5.96,5.63
1424886535000,0.00,24.50,73.49,0.00,0.00,0.00,0.00,1.01,1.01
1424886538000,2.00,56.67,37.33,0.00,0.33,0.00,0.00,1.33,2.33
1424886541000,0.34,96.98,1.34,0.00,0.00,0.00,0.00,0.67,0.67
1424886544000,0.00,97.65,0.00,0.67,0.00,0.00,0.00,0.67,1.01
1424886547000,0.00,97.68,0.00,0.99,0.00,0.00,0.00,0.66,0.66
1424886550000,0.34,98.98,0.00,0.00,0.00,0.00,0.00,0.34,0.34
1424886553000,0.00,98.66,0.00,0.00,0.00,0.00,0.00,0.67,0.67
1424886556000,0.00,98.33,0.00,0.00,0.00,0.00,0.00,0.67,1.00
1424886559000,0.33,68.67,22.67,0.33,0.00,0.00,0.00,2.33,5.67
1424886562000,0.34,97.98,0.00,0.00,0.00,0.00,0.00,1.35,0.34
1424886565000,0.00,87.76,3.74,0.34,0.00,0.00,0.00,2.38,5.78
1424886568000,0.00,91.33,3.00,1.00,0.00,0.00,0.00,1.33,3.33
1424886571000,0.00,87.88,7.41,0.00,0.00,0.00,0.00,1.68,3.03
1424886574000,0.00,98.32,0.00,0.34,0.00,0.00,0.00,0.67,0.67
1424886577000,0.00,98.66,0.33,0.00,0.00,0.00,0.00,0.67,0.33
1424886580000,0.34,92.62,4.70,1.01,0.00,0.00,0.00,1.01,0.34
1424886583000,0.00,92.00,5.67,0.00,0.00,0.00,0.00,1.00,1.33
1424886586000,0.67,98.32,0.00,0.00,0.00,0.00,0.00,0.34,0.67
1424886589000,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.67,0.33
1424886592000,0.00,99.33,0.00,0.00,0.00,0.00,0.00,0.00,0.67
