timestamp_ms,em1-rx,em1-tx,lo-rx,lo-tx,macvtap0-rx,macvtap0-tx,virbr0-nic-rx,virbr0-nic-tx,virbr0-rx,virbr0-tx,vnet0-rx,vnet0-tx,vnet1-rx,vnet1-tx,wlp3s0-rx,wlp3s0-tx
1424886532000,0.0032768,0.00016384,0.012288,0.012288,0.0016384,0,0,0,0.02768896,0.0180224,0.02023424,0.01523712,0.00925696,0.00303104,0,0
1424886535000,0,0,0.03883008,0.03883008,0,0,0,0,0,0,0,0.00024576,0.00016384,0.00024576,0,0
1424886538000,0.00360448,0.00139264,0.01417216,0.01417216,0.0016384,0,0,0,0.0008192,0,0,0.00016384,0.00098304,0.00016384,0,0
1424886541000,0.00172032,0,0.01245184,0.01245184,0.0016384,0,0,0,0,0,0.00016384,0.00024576,0,0.00024576,0,0
1424886544000,0.01024,0.00090112,0.23453696,0.23453696,0.00114688,0,0,0,0,0,0,0.00016384,0.00016384,0.00016384,0,0
1424886547000,0.00106496,0.00049152,0.1110016,0.1110016,0.00065536,0,0,0,0,0,0,0.00024576,0,0.00024576,0,0
1424886550000,0.00761856,0.00335872,1.95387392,1.95387392,0.0008192,0,0,0,0,0,0,0.00016384,0,0.00016384,0,0
1424886553000,0.0004096,0.00016384,0.014336,0.014336,0,0,0,0,0,0,0.00016384,0.00024576,0.00016384,0.00024576,0,0
1424886556000,0.0012288,0.00057344,0.03923968,0.03923968,0.00073728,0,0,0,0,0,0,0.00016384,0,0.00016384,0,0
1424886559000,0.00057344,0.0008192,0.01245184,0.01245184,0,0,0,0,0,0,0,0.00024576,0,0.00024576,0,0
1424886562000,0.0024576,0.00016384,0.012288,0.012288,0.0016384,0,0,0,0,0,0.00016384,0.00016384,0,0.00016384,0,0
1424886565000,0.0004096,0.00016384,0.04227072,0.04227072,0,0,0,0,0,0,0,0.00024576,0.00016384,0.00024576,0,0
1424886568000,0.00212992,0.00024576,0.01204224,0.01204224,0.0016384,0,0,0,0,0,0,0.00016384,0,0.00016384,0,0
1424886571000,0.00237568,0.0004096,0.00548864,0.00548864,0.0016384,0,0,0,0,0,0.00016384,0.00024576,0,0.00024576,0,0
1424886574000,0.00057344,0.0004096,0.026624,0.026624,0.00024576,0.00024576,0,0,0,0,0,0.00016384,0.00016384,0.00016384,0,0
1424886577000,0.00745472,0.00352256,0.290816,0.290816,0.00180224,0,0,0,0.0004096,0.00049152,0.00049152,0.00073728,0,0.00024576,0,0
1424886580000,0.0008192,0,0,0,0.0008192,0,0,0,0,0,0,0.00016384,0,0.00016384,0,0
1424886583000,0.01875968,0.01990656,0,0,0,0,0,0,8.192e-05,8.192e-05,0.00024576,0.0004096,0.00016384,0.00024576,0,0
1424886586000,0.00630784,0.00401408,0.02678784,0.02678784,0.00073728,0,0,0,0,0,0,0.00016384,0,0.00016384,0,0
1424886589000,0.0024576,0.00303104,0,0,0,0,0,0,0,0,0,0.00024576,0,0.00024576,0,0
1424886592000,0.0045056,0.00221184,0,0,0.0016384,0,0,0,0,0,0.00016384,0.00016384,0,0.00016384,0,0
