timestamp_ms,gnice,guest,idle,iowait,irq,nice,soft,steal,sys,usr
1424886532000,0.00,55.48,14.29,25.91,0.66,0.00,0.00,0.00,2.66,1.00
1424886535000,0.00,1.01,11.11,86.53,0.34,0.00,0.00,0.00,0.67,0.34
1424886538000,0.00,2.74,39.73,54.45,0.00,0.00,0.00,0.00,1.71,1.37
1424886541000,0.00,0.00,96.28,0.34,0.00,0.00,0.00,0.00,1.35,2.03
1424886544000,0.00,0.68,89.86,5.41,0.34,0.00,0.00,0.00,1.01,2.70
1424886547000,0.00,0.00,97.96,0.00,0.34,0.00,0.00,0.00,0.34,1.36
1424886550000,0.00,0.34,97.97,0.00,0.34,0.00,0.00,0.00,0.68,0.68
1424886553000,0.00,0.34,96.95,0.34,0.00,0.00,0.00,0.00,1.36,1.02
1424886556000,0.00,0.34,96.96,1.01,0.00,0.00,0.34,0.00,0.68,0.68
1424886559000,0.00,2.92,74.35,15.26,0.65,0.00,0.00,0.00,2.60,4.22
1424886562000,0.00,3.90,91.23,2.27,0.32,0.00,0.00,0.00,1.95,0.32
1424886565000,0.00,0.68,82.25,5.46,0.00,0.00,0.34,0.00,2.39,8.87
1424886568000,0.00,1.02,90.17,4.75,0.34,0.00,0.00,0.00,1.36,2.37
1424886571000,0.00,0.34,81.63,10.54,0.34,0.00,0.00,0.00,1.02,6.12
1424886574000,0.00,0.34,94.28,2.69,0.00,0.00,0.34,0.00,1.35,1.01
1424886577000,0.00,0.67,96.63,0.34,0.34,0.00,0.00,0.00,1.01,1.01
1424886580000,0.00,0.68,92.20,5.42,0.00,0.00,0.00,0.00,1.02,0.68
1424886583000,0.00,0.34,91.53,6.10,0.34,0.00,0.00,0.00,0.34,1.36
1424886586000,0.00,0.67,96.98,0.00,0.34,0.34,0.34,0.00,0.67,0.67
1424886589000,0.00,0.34,96.60,2.04,0.00,0.00,0.00,0.00,0.34,0.68
1424886592000,0.00,0.68,97.97,0.00,0.34,0.00,0.00,0.00,0.68,0.34
