timestamp_ms,rx_datagrams_discard_no_dest_port_sec,rx_datagrams_discard_other_error,rx_datagrams_sec,tx_datagrams_sec
1424886532000,0.00,0.00,0.33,0.33
1424886535000,0.00,0.00,0.00,0.00
1424886538000,0.00,0.00,0.00,0.00
1424886541000,0.00,0.00,0.00,0.00
1424886544000,0.00,0.00,0.67,0.00
1424886547000,0.00,0.00,0.33,0.00
1424886550000,0.00,0.00,0.67,0.67
1424886553000,0.00,0.00,0.00,0.00
1424886556000,0.00,0.00,0.00,0.00
1424886559000,0.00,0.00,0.00,0.00
1424886562000,0.00,0.00,0.00,0.00
1424886565000,0.00,0.00,0.00,0.00
1424886568000,0.00,0.00,0.00,0.00
1424886571000,0.00,0.00,0.00,0.00
1424886574000,0.00,0.00,0.00,0.00
1424886577000,0.00,0.00,5.00,4.00
1424886580000,0.00,0.00,0.00,0.00
1424886583000,0.00,0.00,4.67,4.67
1424886586000,0.00,0.00,0.00,0.00
1424886589000,0.00,0.00,0.00,0.00
1424886592000,0.00,0.00,0.00,0.00
