timestamp_ms,context_switches_sec,processes_created_sec
1424886532000,16192.67,15.00
1424886535000,5755.33,2.33
1424886538000,8620.33,15.00
1424886541000,3543.67,2.00
1424886544000,4121.33,2.00
1424886547000,3377.33,2.00
1424886550000,3589.33,2.00
1424886553000,3500.33,2.00
1424886556000,3371.33,2.00
1424886559000,5655.33,2.00
1424886562000,3862.67,2.00
1424886565000,6401.00,2.00
1424886568000,4271.33,2.00
1424886571000,5199.00,2.67
1424886574000,3920.00,2.00
1424886577000,3539.00,3.33
1424886580000,4197.67,8.33
1424886583000,4018.33,2.67
1424886586000,3581.00,2.00
1424886589000,3462.67,2.00
1424886592000,3584.33,2.00
